ticker,series_id,fund_name,type,first_year,last_year
AIVL,S000012387,WisdomTree U.S. AI Enhanced Value Fund,equity_longonly,2022,2026
AIVI,S000012389,WisdomTree International AI Enhanced Value Fund,equity_longonly,2022,2026
WTV,S000015479,WisdomTree U.S. Value Fund,equity_longonly,2019,2026
RESP,S000015504,WisdomTree U.S. ESG Fund,equity_longonly,2020,2023
RSX,S000016885,VanEck Russia ETF,equity_longonly,2023,2025
PSR,S000023365,Invesco Active U.S. Real Estate ETF,equity_longonly,2018,2025
AADR,S000026954,AdvisorShares Dorsey Wright ADR ETF,equity_longonly,2018,2025
HDGE,S000030090,AdvisorShares Ranger Equity Bear ETF,equity_longshort,2018,2025
HECO,S000031176,Strategy Shares EcoLogical Strategy ETF,equity_longonly,2019,2019
RSXJ,S000031766,VanEck Russia Small-Cap ETF,equity_longonly,2023,2025
SURE,S000031813,AdvisorShares Insider Advantage ETF,equity_longonly,2018,2025
BTAL,S000033013,AGF U.S. Market Neutral Anti-Beta Fund,equity_longshort,2022,2025
EMLP,S000033458,First Trust North American Energy Infrastructure Fund,equity_longonly,2018,2025
FM,S000036005,iShares Frontier and Select EM ETF,equity_longonly,2023,2024
PHDG,S000036643,Invesco S&P 500 Downside Hedged ETF,equity_longshort,2018,2025
SYLD,S000037634,Cambria Shareholder Yield ETF,equity_longonly,2021,2025
FYLD,S000037635,Cambria Foreign Shareholder Yield ETF,equity_longonly,2021,2025
EYLD,S000037636,Cambria Emerging Shareholder Yield ETF,equity_longonly,2021,2025
SYE,S000040073,SPDR MFS Systematic Core Equity ETF,equity_longonly,2018,2020
SYG,S000040074,SPDR MFS Systematic Growth Equity ETF,equity_longonly,2018,2020
SYV,S000040075,SPDR MFS Systematic Value Equity ETF,equity_longonly,2018,2020
EMCG,S000041431,WisdomTree Emerging Markets Consumer Growth Fund,equity_longonly,2019,2020
DGRE,S000041433,WisdomTree Emerging Markets Quality Dividend Growth Fund,equity_longonly,2019,2026
IPO,S000041784,Renaissance IPO ETF,equity_longonly,2018,2024
ARKG,S000042975,ARK Genomic Revolution ETF,equity_longonly,2018,2025
ARKQ,S000042976,ARK Autonomous Technology & Robotics ETF,equity_longonly,2018,2025
ARKK,S000042977,ARK Innovation ETF,equity_longonly,2018,2025
ARKW,S000042978,ARK Next Generation Internet ETF,equity_longonly,2018,2025
GVAL,S000043317,Cambria Global Value ETF,equity_longonly,2021,2025
VAMO,S000043319,Cambria Value and Momentum ETF,equity_longonly,2019,2025
WBIA,S000044175,WBI BullBear Rising Income 2000 ETF,equity_longonly,2018,2019
WBIB,S000044177,WBI BullBear Value 2000 ETF,equity_longonly,2018,2019
WBIC,S000044178,WBI BullBear Yield 2000 ETF,equity_longonly,2018,2019
WBID,S000044179,WBI BullBear Quality 2000 ETF,equity_longonly,2018,2019
WBIE,S000044180,WBI BullBear Rising Income 3000 ETF,equity_longonly,2018,2020
WBIF,S000044181,WBI BullBear Value 3000 ETF,equity_longonly,2018,2025
WBIG,S000044182,WBI BullBear Yield 3000 ETF,equity_longonly,2018,2025
WBIL,S000044183,WBI BullBear Quality 3000 ETF,equity_longonly,2018,2025
AMZA,S000045418,InfraCap MLP ETF,equity_longonly,2018,2025
FTLS,S000045700,First Trust Long/Short Equity ETF,equity_longshort,2018,2025
QVAL,S000046016,Alpha Architect US Quantitative Value ETF,equity_longonly,2022,2024
IVAL,S000046017,Alpha Architect International Quantitative Value ETF,equity_longonly,2022,2024
QMOM,S000046018,Alpha Architect US Quantitative Momentum ETF,equity_longonly,2022,2024
IMOM,S000046019,Alpha Architect International Quantitative Momentum ETF,equity_longonly,2022,2024
IPOS,S000046875,Renaissance International IPO ETF,equity_longonly,2018,2024
ERUS,S000047227,iShares MSCI Russia ETF,equity_longonly,2022,2022
SMCP,S000049009,AlphaMark Actively Managed Small Cap ETF,equity_longonly,2019,2024
UTES,S000049397,Virtus Reaves Utilities ETF,equity_longonly,2018,2025
PRME,S000051581,First Trust Heitman Global Prime Real Estate ETF,equity_longonly,2018,2018
JAMF,S000052355,WisdomTree Japan Multifactor Fund,equity_longonly,2019,2019
EUMF,S000052357,WisdomTree Europe Multifactor Fund,equity_longonly,2019,2019
JSML,S000052563,Janus Henderson Small Cap Growth Alpha ETF,equity_longonly,2025,2025
JSMD,S000052564,Janus Henderson Small/Mid Cap Growth Alpha ETF,equity_longonly,2025,2025
RFAP,S000052735,First Trust RiverFront Dynamic Asia Pacific ETF,equity_longonly,2018,2020
RFDI,S000052736,First Trust RiverFront Dynamic Developed International ETF,equity_longonly,2018,2025
RFEM,S000052737,First Trust RiverFront Dynamic Emerging Markets ETF,equity_longonly,2018,2025
RFEU,S000052738,First Trust RiverFront Dynamic Europe ETF,equity_longonly,2018,2025
RFDA,S000052852,RiverFront Dynamic US Dividend Advantage ETF,equity_longonly,2018,2025
RFFC,S000052853,ALPS Active Equity Opportunity ETF,equity_longonly,2018,2025
PSET,S000052929,Principal Quality ETF,equity_longonly,2023,2025
