ticker,series_id,fund_name,first_year,last_year,net_assets_last
HUSE,S000031175,Strategy Shares US Market Rotation Strategy ETF,2019,2019,188525552.87
FWDD,S000031214,AdvisorShares Madrona Domestic ETF,2018,2018,28864345
FWDI,S000031215,AdvisorShares Madrona International ETF,2018,2018,12780912
MATH,S000031642,AdvisorShares Meidell Tactical Advantage ETF,2018,2018,13496571
RLY,S000033059,SPDR SSGA Multi-Asset Real Return ETF,2018,2025,498967144.95153846
INKM,S000033060,SPDR SSGA Income Allocation ETF,2018,2025,73255540.78
GAL,S000033062,SPDR SSGA Global Allocation ETF,2018,2025,241865604.37076923
DWAT,S000041726,Arrow DWA Tactical: Macro ETF,2018,2024,2901404.84355191
HTUS,S000042584,Hull Tactical US ETF,2019,2022,24544110.16
GMOM,S000043316,Cambria Global Momentum ETF,2019,2025,116919230
WBIH,S000044176,WBI BullBear Global High Income ETF,2018,2018,273726115.45
WBII,S000044184,WBI BullBear Global Income ETF,2018,2023,40242871
GAA,S000047294,Cambria Global Asset Allocation ETF,2019,2025,54604092
WBIR,S000051544,WBI BullBear Global Rotation ETF,2018,2018,20339785.252
FCEF,S000053967,First Trust Income Opportunities ETF,2018,2025,43662371.1
XLSR,S000054091,SPDR(R) SSGA U.S. Sector Rotation ETF,2019,2025,649583560.33461538
FISR,S000055185,SPDR SSGA Fixed Income Sector Rotation ETF,2019,2025,324091895.4176923
TERM,S000056062,EquityCompass Tactical Risk Manager ETF,2018,2021,12535569.37
FFHG,S000056066,FormulaFolios Hedged Growth ETF,2019,2023,52756831.64676707
FFTI,S000056067,FormulaFolios Tactical Income ETF,2019,2023,97592169.71501371
PSMC,S000056347,Invesco Conservative Multi-Asset Allocation ETF,2018,2022,14494519.0008333
PSMM,S000056348,Invesco Moderately Conservative Multi-Asset Allocation ETF,2018,2022,22091856.0491667
PSMB,S000056349,Invesco Balanced Multi-Asset Allocation ETF,2018,2022,30214029.25
PSMG,S000056350,Invesco Growth Multi-Asset Allocation ETF,2018,2022,23004111.0675
CEFS,S000056657,Saba Closed-End Funds ETF,2018,2025,284152613.21493101
VMOT,S000057372,Alpha Architect Value Momentum Trend ETF,2022,2024,28563748.7
OCIO,S000057712,ClearShares OCIO ETF,2019,2025,145576310.17
SECT,S000058154,Main Sector Rotation ETF,2019,2025,2051474057.13
FFSG,S000059209,FormulaFolios Smart Growth ETF,2019,2023,25730468.56367122
FFTG,S000059210,FormulaFolios Tactical Growth ETF,2019,2023,27337931.34257535
DALT,S000059538,Anfield Capital Diversified Alternatives ETF,2019,2023,63206176.04991781
RAAX,S000059742,VanEck Real Assets ETF,2019,2025,113546200.65384615
THY,S000060136,Toews Agility Shares Dynamic Tactical Income ETF,2021,2025,32919530.76301371
MRSK,S000060147,Toews Agility Shares Managed Risk ETF,2021,2025,181768430.95942473
MSUS,S000061427,LHA Market State U.S. Tactical ETF,2018,2019,5733323
NTSX,S000061867,WisdomTree U.S. Efficient Core Fund,2019,2025,1159777027
GDG,S000062881,Gadsden Dynamic Growth ETF,2019,2019,22223965
GDMA,S000062882,Gadsden Dynamic Multi-Asset ETF,2019,2020,59276120
TRTY,S000062926,Cambria Trinity ETF,2019,2025,109436710
MAAX,S000062990,VanEck Muni Allocation ETF,2022,2023,2652874.99461538
WBIT,S000065589,WBI BullBear Trend Switch US 3000 Total Return ETF,2019,2023,23363133
WBIN,S000065590,WBI BullBear Trend Switch US Total Return ETF,2020,2020,25072142
LCR,S000066699,Leuthold Core ETF,2020,2024,80563086.285
SSUS,S000066772,Day Hagan Smart Sector ETF,2020,2025,600605795.04
RPAR,S000066941,RPAR Risk Parity ETF,2020,2025,532747374.04
AESR,S000067047,Anfield U.S. Equity Sector Rotation ETF,2020,2025,139700147.78551924
DWAW,S000067383,AdvisorShares Dorsey Wright FSM All Cap World ETF,2020,2025,80350338
DWUS,S000067384,AdvisorShares Dorsey Wright FSM US Core ETF,2020,2025,113568175
TAEQ,S000067517,Trend Aggregation U.S. ETF,2021,2021,48050643.54
TEGS,S000067518,Trend Aggregation ESG ETF,2021,2021,16525188.36
RSPY,S000067519,Revere Sector Opportunity ETF,2022,2023,6983771.11
TADS,S000067520,Trend Aggregation Dividend Stock ETF,2021,2021,38008703.21
TAAG,S000067521,Trend Aggregation Growth ETF,2021,2021,7146339.3
TDSA,S000068386,Cabana Target Drawdown 5 ETF,2021,2023,28287279
TDSB,S000068387,Cabana Target Beta ETF,2021,2025,93160815.25783559
TDSC,S000068388,Cabana Target Drawdown 10 ETF,2021,2025,204948152.45317793
TDSD,S000068389,Cabana Target Drawdown 13 ETF,2021,2023,192774914
TDSE,S000068390,Cabana Target Drawdown 16 ETF,2021,2023,142437264
MSTB,S000069542,LHA Market State Tactical Beta ETF,2020,2025,157314133.35
TACE,S000069579,Trend Aggregation Conservative ETF,2021,2021,12853862.32
RORO,S000070010,ATAC US Rotation ETF,2021,2025,4908559.487
QPT,S000070110,AdvisorShares Q Portfolio Blended Allocation ETF,2021,2022,4216664
QPX,S000070111,AdvisorShares Q Dynamic Growth ETF,2021,2025,25077491
