ticker,series_id,fund_name,first_year,last_year,net_assets_last
HDGE,S000030090,AdvisorShares Ranger Equity Bear ETF,2018,2025,54706619
BTAL,S000033013,AGF U.S. Market Neutral Anti-Beta Fund,2022,2025,337260954.77999997
PHDG,S000036643,Invesco S&P 500 Downside Hedged ETF,2018,2025,97702551.91666667
FTLS,S000045700,First Trust Long/Short Equity ETF,2018,2025,1894171613.54
JPHF,S000052985,JPMorgan Diversified Alternatives ETF,2018,2019,160681692.38
JPED,S000054538,JPMorgan Event Driven ETF,2018,2019,27168016.98
JPLS,S000059123,JPMorgan Long/Short ETF,2018,2019,24517774.07
DWSH,S000062084,AdvisorShares Dorsey Wright Short ETF,2019,2025,11976546
USHG,S000065470,AGFIQ Dynamic Hedged U.S. Equity ETF,2019,2020,2655608.67
DBEH,S000066474,iM DBi Hedge Strategy ETF,2019,2019,14179360
MARB,S000067481,First Trust Merger Arbitrage ETF,2020,2025,30876822.43
LBAY,S000069694,Leatherback Long/Short Alternative Yield ETF,2021,2025,34615948.04
CBLS,S000069997,Clough Hedged Equity ETF,2021,2024,19887914.0980601
ASPY,S000070934,ASYMshares ASYMmetric S&P 500 ETF,2021,2022,29053758
EOPS,S000071225,Emles Alpha Opportunities ETF,2021,2022,57572339.7
XVOL,S000071415,Acruence Active Hedge U.S. Equity ETF,2022,2026,2930412.68
EVNT,S000072757,AltShares Event-Driven ETF,2022,2025,4946523.02692307
CLSE,S000074838,Convergence Long/Short Equity ETF,2022,2025,208965341
FFLS,S000074927,The Future Long/Short ETF,2024,2025,34108834.70761641
CSH,S000075116,Morgan Creek - Exos Active SPAC Arbitrage ETF,2022,2022,9295204.606
RPHS,S000075684,Regents Park Hedged Market Strategy ETF,2023,2026,52170958.08509589
SHDG,S000077614,Soundwatch Hedged Equity ETF,2022,2022,101539290.811
TPMN,S000079419,Timothy Plan Market Neutral ETF,2023,2024,39462111
EQLS,S000080583,Simplify Market Neutral Equity Long/Short ETF,2023,2024,113026576
LSEQ,S000081567,Harbor Long-Short Equity ETF,2024,2025,20022779.26
SHRT,S000082296,Gotham Short Strategies ETF,2024,2025,12097848.49
HFEQ,S000082853,Unlimited HFEQ Equity Long/Short ETF,2025,2025,4554906.89
PRMN,S000083338,PlanRock Market Neutral Income ETF,2024,2024,2275965.2
EHLS,S000084434,Even Herd Long Short ETF,2025,2026,55970658.53
ORR,S000089579,Militia Long/Short Equity ETF,2025,2025,83343921.669
THEQ,S000089786,T. Rowe Price Hedged Equity ETF,2025,2025,20777870
MKTN,S000094625,Federated Hermes MDT Market Neutral ETF,2025,2025,11050122.425
HEDG,S000094633,Equable Shares Hedged Equity ETF,2025,2025,250209335
NLSI,S000097595,NEOS Long/Short Equity Income ETF,2025,2025,3029205
