ticker,name_type,phi_63,phibar_63,status_book,n_advisers,crds,adviser_names,text_paths,coverage
ADIV,equity_longonly,0.9842,0.9911,active,2,159042;124465,"Penserra Capital Management, LLC | Guinness Atkinson Asset Management, Inc.",adv_data/brochures/159042/text.txt,on_disk
AMOM,equity_longonly,0.498,0.6673,active,1,151197,"Exchange Traded Concepts, LLC",adv_data/brochures/151197/text.txt,on_disk
ARKG,equity_longonly,0.9463,0.9733,active,1,169525,ARK Investment Management LLC,adv_data/brochures/169525/text.txt,on_disk
AVDE,equity_longonly,0.9617,0.9803,active,1,105778,"American Century Investment Management, Inc.",adv_data/brochures/105778/text.txt,on_disk
AVIE,equity_longonly,0.9766,0.9872,active,1,105778,"American Century Investment Management, Inc.",adv_data/brochures/105778/text.txt,on_disk
AVIV,equity_longonly,0.9052,0.9523,active,1,105778,"American Century Investment Management, Inc.",adv_data/brochures/105778/text.txt,on_disk
AVLV,equity_longonly,0.9393,0.9707,active,1,105778,"American Century Investment Management, Inc.",adv_data/brochures/105778/text.txt,on_disk
AVRE,equity_longonly,0.9903,0.9949,active,1,105778,"American Century Investment Management, Inc.",adv_data/brochures/105778/text.txt,on_disk
AVSC,equity_longonly,0.8984,0.9488,active,1,105778,"American Century Investment Management, Inc.",adv_data/brochures/105778/text.txt,on_disk
AVSD,equity_longonly,0.9671,0.9827,active,1,105778,"American Century Investment Management, Inc.",adv_data/brochures/105778/text.txt,on_disk
AVSE,equity_longonly,0.9757,0.9872,active,1,105778,"American Century Investment Management, Inc.",adv_data/brochures/105778/text.txt,on_disk
AVSU,equity_longonly,0.9912,0.9955,active,1,105778,"American Century Investment Management, Inc.",adv_data/brochures/105778/text.txt,on_disk
AVUS,equity_longonly,0.9906,0.9953,active,1,105778,"American Century Investment Management, Inc.",adv_data/brochures/105778/text.txt,on_disk
AVUV,equity_longonly,0.9313,0.9663,active,1,105778,"American Century Investment Management, Inc.",adv_data/brochures/105778/text.txt,on_disk
BEDZ,equity_longonly,0.8398,0.9136,active,1,149782,"AdvisorShares Investments, LLC",,bulk_needed
