SERIES_ID,fund_name,registrant,adviser,tickers,first_year,last_year,years,fund_of_funds,net_assets_last,terminated
S000012387,WisdomTree U.S. AI Enhanced Value Fund,WisdomTree Trust,,AIVL,2022,2026,5,,384969895,
S000012389,WisdomTree International AI Enhanced Value Fund,WisdomTree Trust,,AIVI,2022,2026,5,,56097433,
S000015479,WisdomTree U.S. Value Fund,WisdomTree Trust,,WTV,2019,2026,8,,1751809894,
S000015504,WisdomTree U.S. ESG Fund,WisdomTree Trust,,RESP,2020,2023,4,,69281932.84153846,
S000016885,VanEck Russia ETF,VanEck ETF Trust,,RSX,2023,2025,3,,32694494.68615384,
S000021346,WisdomTree Emerging Currency Strategy Fund,WisdomTree Trust,,CEW,2018,2025,8,,8224916,
S000021351,WisdomTree Brazilian Real Strategy Fund,WisdomTree Trust,,BZF,2018,2018,1,,16448843.69,
S000021353,WisdomTree Chinese Yuan Strategy Fund,WisdomTree Trust,,CYB,2018,2023,6,,25999270.86,
S000023365,Invesco Active U.S. Real Estate ETF,Invesco Actively Managed Exchange-Traded Fund Trust,,PSR,2018,2025,8,,59318746.55666667,
S000026387,WisdomTree Managed Futures Strategy Fund,WisdomTree Trust,,WTMF,2018,2025,8,,175047710,
S000026751,PIMCO Enhanced Short Maturity Active Exchange-Traded Fund,PIMCO ETF Trust,,MINT,2018,2025,8,,12476252906.91,
S000026752,PIMCO Ultra Short Government Active Exchange-Traded Fund,PIMCO ETF Trust,,BILZ,2023,2025,3,,632612608.46,
S000026754,PIMCO Short Term Municipal Bond Active Exchange-Traded Fund,PIMCO ETF Trust,,SMMU,2018,2025,8,,694321852.97,
S000026755,PIMCO Intermediate Municipal Bond Active Exchange-Traded Fund,PIMCO ETF Trust,,MUNI,2018,2025,8,,1788910027.06,
S000026954,AdvisorShares Dorsey Wright ADR ETF,AdvisorShares Trust,,AADR,2018,2025,8,,31096662,
S000028984,WisdomTree Emerging Markets Local Debt Fund,WisdomTree Trust,,ELD,2018,2025,8,,69231360,
S000030090,AdvisorShares Ranger Equity Bear ETF,AdvisorShares Trust,,HDGE,2018,2025,8,,54706619,
S000030145,RiverFront Strategic Income Fund,ALPS ETF Trust,,RIGS,2018,2025,8,,87123866,
S000030945,WisdomTree Asia Local Debt Fund,WisdomTree Trust,,ALD,2018,2018,1,,19820315.97,
S000031175,Strategy Shares US Market Rotation Strategy ETF,Strategy Shares,,HUSE,2019,2019,1,,188525552.87,
S000031176,Strategy Shares EcoLogical Strategy ETF,Strategy Shares,,HECO,2019,2019,1,,44622064.67,
S000031214,AdvisorShares Madrona Domestic ETF,AdvisorShares Trust,,FWDD,2018,2018,1,,28864345,
S000031215,AdvisorShares Madrona International ETF,AdvisorShares Trust,,FWDI,2018,2018,1,,12780912,
S000031216,AdvisorShares North Square McKee ESG Core Bond ETF,AdvisorShares Trust,,MENV,2018,2022,5,Y,4104826,
S000031642,AdvisorShares Meidell Tactical Advantage ETF,AdvisorShares Trust,,MATH,2018,2018,1,,13496571,04/2018
S000031766,VanEck Russia Small-Cap ETF,VanEck ETF Trust,,RSXJ,2023,2025,3,,454104.31538461,
S000031813,AdvisorShares Insider Advantage ETF,AdvisorShares Trust,,SURE,2018,2025,8,,47207758,
S000032499,AlphaCore Absolute Fund,Northern Lights Fund Trust,,GDAMX,2018,2018,1,Y,32344288,
S000033013,AGF U.S. Market Neutral Anti-Beta Fund,AGF Investments Trust,,BTAL,2022,2025,4,,337260954.77999997,
S000033059,SPDR SSGA Multi-Asset Real Return ETF,SSGA Active Trust,,RLY,2018,2025,8,Y,498967144.95153846,
S000033060,SPDR SSGA Income Allocation ETF,SSGA Active Trust,,INKM,2018,2025,8,Y,73255540.78,
S000033062,SPDR SSGA Global Allocation ETF,SSGA Active Trust,,GAL,2018,2025,8,Y,241865604.37076923,
S000033064,SPDR Blackstone Senior Loan ETF,SSGA Active Trust,,SRLN,2018,2025,8,,7264800598.82,
S000033233,PIMCO Active Bond Exchange-Traded Fund,PIMCO ETF Trust,,BOND,2018,2025,8,Y,5191634487.16,
S000033458,First Trust North American Energy Infrastructure Fund,First Trust Exchange-Traded Fund IV,,EMLP,2018,2025,8,,3186251457.58,
S000033843,WisdomTree Emerging Markets Corporate Bond Fund,WisdomTree Trust,,EMCB,2018,2025,8,,71151499,
S000034146,First Trust Senior Loan Fund,First Trust Exchange-Traded Fund IV,,FTSL,2018,2025,8,,2337990429.69,
S000034456,AdvisorShares STAR Global Buy-Write ETF,AdvisorShares Trust,,VEGA,2018,2025,8,Y,63852633,
S000034980,First Trust Preferred Securities and Income ETF,First Trust Exchange-Traded Fund III,,FPE,2018,2025,8,,5876401371.07,
S000035596,FlexShares Ultra-Short Income Fund,FlexShares Trust,,RAVI,2018,2025,8,,1260991170.91,
