series_id,fund_name,registrant,adviser,tickers,first_year,last_year,years,fund_of_funds,net_assets_last,terminated,type,transparent,confidence,note
S000012387,WisdomTree U.S. AI Enhanced Value Fund,WisdomTree Trust,,AIVL,2022,2026,5,,384969895,,equity_longonly,Y,high,WisdomTree AI-enhanced value
S000012389,WisdomTree International AI Enhanced Value Fund,WisdomTree Trust,,AIVI,2022,2026,5,,56097433,,equity_longonly,Y,high,WisdomTree AI-enhanced value
S000015479,WisdomTree U.S. Value Fund,WisdomTree Trust,,WTV,2019,2026,8,,1751809894,,equity_longonly,Y,high,US value equity
S000015504,WisdomTree U.S. ESG Fund,WisdomTree Trust,,RESP,2020,2023,4,,69281932.84153846,,equity_longonly,Y,high,WisdomTree ESG equity
S000016885,VanEck Russia ETF,VanEck ETF Trust,,RSX,2023,2025,3,,32694494.68615384,,equity_longonly,Y,high,Russia equity
S000021346,WisdomTree Emerging Currency Strategy Fund,WisdomTree Trust,,CEW,2018,2025,8,,8224916,,other,Y,high,currency strategy
S000021351,WisdomTree Brazilian Real Strategy Fund,WisdomTree Trust,,BZF,2018,2018,1,,16448843.69,,other,Y,high,currency strategy
S000021353,WisdomTree Chinese Yuan Strategy Fund,WisdomTree Trust,,CYB,2018,2023,6,,25999270.86,,other,Y,high,currency strategy
S000023365,Invesco Active U.S. Real Estate ETF,Invesco Actively Managed Exchange-Traded Fund Trust,,PSR,2018,2025,8,,59318746.55666667,,equity_longonly,Y,high,active US real estate equities / REITs
S000026387,WisdomTree Managed Futures Strategy Fund,WisdomTree Trust,,WTMF,2018,2025,8,,175047710,,commodity_futures,Y,high,managed futures
S000026751,PIMCO Enhanced Short Maturity Active Exchange-Traded Fund,PIMCO ETF Trust,,MINT,2018,2025,8,,12476252906.91,,fixed_income,Y,high,PIMCO enhanced short maturity
S000026752,PIMCO Ultra Short Government Active Exchange-Traded Fund,PIMCO ETF Trust,,BILZ,2023,2025,3,,632612608.46,,fixed_income,Y,high,ultra short government
S000026754,PIMCO Short Term Municipal Bond Active Exchange-Traded Fund,PIMCO ETF Trust,,SMMU,2018,2025,8,,694321852.97,,fixed_income,Y,high,short term municipal
S000026755,PIMCO Intermediate Municipal Bond Active Exchange-Traded Fund,PIMCO ETF Trust,,MUNI,2018,2025,8,,1788910027.06,,fixed_income,Y,high,PIMCO intermediate municipal
S000026954,AdvisorShares Dorsey Wright ADR ETF,AdvisorShares Trust,,AADR,2018,2025,8,,31096662,,equity_longonly,Y,high,"AdvisorShares, ADR momentum stocks"
S000028984,WisdomTree Emerging Markets Local Debt Fund,WisdomTree Trust,,ELD,2018,2025,8,,69231360,,fixed_income,Y,high,WisdomTree; EM local debt
S000030090,AdvisorShares Ranger Equity Bear ETF,AdvisorShares Trust,,HDGE,2018,2025,8,,54706619,,equity_longshort,Y,medium,"dedicated short equity (Ranger Bear), not daily-reset"
S000030145,RiverFront Strategic Income Fund,ALPS ETF Trust,,RIGS,2018,2025,8,,87123866,,fixed_income,Y,high,strategic income bonds
S000030945,WisdomTree Asia Local Debt Fund,WisdomTree Trust,,ALD,2018,2018,1,,19820315.97,,fixed_income,Y,high,Asia local debt
S000031175,Strategy Shares US Market Rotation Strategy ETF,Strategy Shares,,HUSE,2019,2019,1,,188525552.87,,allocation_fof,Y,medium,US market rotation via sector ETFs
S000031176,Strategy Shares EcoLogical Strategy ETF,Strategy Shares,,HECO,2019,2019,1,,44622064.67,,equity_longonly,Y,high,ecological strategy equities
S000031214,AdvisorShares Madrona Domestic ETF,AdvisorShares Trust,,FWDD,2018,2018,1,,28864345,,allocation_fof,Y,low,AdvisorShares Madrona; ETF-of-ETFs
S000031215,AdvisorShares Madrona International ETF,AdvisorShares Trust,,FWDI,2018,2018,1,,12780912,,allocation_fof,Y,low,AdvisorShares Madrona; ETF-of-ETFs
S000031216,AdvisorShares North Square McKee ESG Core Bond ETF,AdvisorShares Trust,,MENV,2018,2022,5,Y,4104826,,fixed_income,Y,high,ESG core bond; fof flag noted
S000031642,AdvisorShares Meidell Tactical Advantage ETF,AdvisorShares Trust,,MATH,2018,2018,1,,13496571,04/2018,allocation_fof,Y,medium,AdvisorShares tactical ETF-of-ETFs
S000031766,VanEck Russia Small-Cap ETF,VanEck ETF Trust,,RSXJ,2023,2025,3,,454104.31538461,,equity_longonly,Y,high,Russia small-cap equity
S000031813,AdvisorShares Insider Advantage ETF,AdvisorShares Trust,,SURE,2018,2025,8,,47207758,,equity_longonly,Y,high,insider-signal equity
S000032499,AlphaCore Absolute Fund,Northern Lights Fund Trust,,GDAMX,2018,2018,1,Y,32344288,,allocation_fof,N,medium,mutual fund; absolute return FoF
S000033013,AGF U.S. Market Neutral Anti-Beta Fund,AGF Investments Trust,,BTAL,2022,2025,4,,337260954.77999997,,equity_longshort,Y,high,market neutral anti-beta
S000033059,SPDR SSGA Multi-Asset Real Return ETF,SSGA Active Trust,,RLY,2018,2025,8,Y,498967144.95153846,,allocation_fof,Y,high,multi-asset real return; fof flag
S000033060,SPDR SSGA Income Allocation ETF,SSGA Active Trust,,INKM,2018,2025,8,Y,73255540.78,,allocation_fof,Y,high,"fund_of_funds=Y, income allocation"
