alpha,sleeve_i,sleeve_j,es_attribution_bp
0.2000,CSCarry,LongOnlyEW,2.8236
0.2000,LongOnlyEW,TSMomentum,1.5100
0.2000,CSMomentum,LongOnlyEW,0.6041
0.2000,eq_momentum,eq_value,0.4262
0.2000,CSCarry,eq_momentum,-0.3342
0.2000,CSValue,LongOnlyEW,-0.3162
0.2000,CSValue,TSMomentum,0.3067
0.2000,LongOnlyEW,eq_momentum,0.2979
0.2000,CSCarry,CSValue,0.2900
0.2000,CSMomentum,CSValue,0.2817
0.2000,CSMomentum,eq_momentum,0.1986
0.2000,CSCarry,CSMomentum,0.1614
0.2000,CSMomentum,TSMomentum,0.1551
0.2000,TSMomentum,eq_momentum,0.1329
0.2000,LongOnlyEW,eq_quality,0.1277
0.2000,eq_value,eq_quality,0.0874
0.2000,CSValue,eq_momentum,-0.0786
0.2000,CSCarry,eq_value,-0.0713
0.2000,CSCarry,eq_quality,-0.0711
0.2000,LongOnlyEW,eq_value,0.0667
0.2000,CSMomentum,eq_quality,-0.0511
0.2000,eq_momentum,eq_quality,-0.0424
0.2000,TSMomentum,eq_quality,-0.0334
0.2000,CSCarry,TSMomentum,0.0303
0.2000,TSMomentum,eq_value,-0.0235
0.2000,CSMomentum,eq_value,0.0160
0.2000,CSValue,eq_quality,0.0131
0.2000,CSValue,eq_value,0.0066
0.1000,CSCarry,LongOnlyEW,3.0385
0.1000,LongOnlyEW,TSMomentum,1.4252
0.1000,CSMomentum,LongOnlyEW,0.8106
0.1000,CSValue,TSMomentum,0.3437
0.1000,eq_momentum,eq_value,0.3394
0.1000,CSMomentum,eq_momentum,0.2841
0.1000,TSMomentum,eq_momentum,0.2329
0.1000,CSValue,LongOnlyEW,-0.2229
0.1000,CSCarry,CSMomentum,0.2174
0.1000,CSCarry,TSMomentum,0.2046
0.1000,CSMomentum,TSMomentum,0.1942
0.1000,CSCarry,eq_momentum,-0.1939
0.1000,CSMomentum,CSValue,0.1928
0.1000,LongOnlyEW,eq_quality,0.1855
0.1000,LongOnlyEW,eq_momentum,0.1711
0.1000,eq_value,eq_quality,0.1661
0.1000,CSCarry,CSValue,0.1620
0.1000,LongOnlyEW,eq_value,0.1009
0.1000,CSValue,eq_momentum,-0.0986
0.1000,eq_momentum,eq_quality,-0.0837
0.1000,CSMomentum,eq_quality,-0.0807
0.1000,CSCarry,eq_quality,-0.0751
0.1000,CSMomentum,eq_value,0.0728
0.1000,CSValue,eq_quality,-0.0465
0.1000,TSMomentum,eq_quality,-0.0199
0.1000,TSMomentum,eq_value,-0.0078
0.1000,CSCarry,eq_value,0.0058
0.1000,CSValue,eq_value,0.0052
0.0500,CSCarry,LongOnlyEW,3.2316
0.0500,LongOnlyEW,TSMomentum,2.0059
0.0500,CSMomentum,LongOnlyEW,1.0730
0.0500,CSCarry,TSMomentum,0.5405
0.0500,CSValue,LongOnlyEW,-0.4893
0.0500,LongOnlyEW,eq_momentum,0.4492
0.0500,CSValue,TSMomentum,0.4477
0.0500,CSCarry,CSMomentum,0.3959
0.0500,TSMomentum,eq_momentum,0.3639
0.0500,CSMomentum,eq_momentum,0.3490
0.0500,eq_momentum,eq_value,0.2369
0.0500,eq_value,eq_quality,0.2178
0.0500,CSMomentum,TSMomentum,0.2159
0.0500,LongOnlyEW,eq_quality,0.1836
0.0500,CSCarry,eq_quality,-0.1405
0.0500,CSValue,eq_momentum,-0.0857
0.0500,CSCarry,eq_value,-0.0680
0.0500,CSCarry,CSValue,0.0594
0.0500,TSMomentum,eq_quality,0.0553
0.0500,CSValue,eq_quality,-0.0538
0.0500,TSMomentum,eq_value,-0.0470
0.0500,CSCarry,eq_momentum,-0.0441
0.0500,eq_momentum,eq_quality,-0.0321
0.0500,LongOnlyEW,eq_value,0.0284
0.0500,CSMomentum,CSValue,0.0194
0.0500,CSMomentum,eq_quality,0.0096
0.0500,CSValue,eq_value,-0.0043
0.0500,CSMomentum,eq_value,-0.0030
0.0200,CSCarry,LongOnlyEW,3.3244
0.0200,LongOnlyEW,TSMomentum,2.4586
0.0200,CSCarry,TSMomentum,2.0450
0.0200,CSCarry,CSValue,1.1079
0.0200,CSMomentum,LongOnlyEW,1.0480
0.0200,LongOnlyEW,eq_momentum,0.5726
0.0200,CSValue,eq_momentum,-0.4925
0.0200,CSMomentum,eq_momentum,0.4717
0.0200,CSValue,TSMomentum,0.4559
0.0200,TSMomentum,eq_momentum,0.4498
0.0200,eq_momentum,eq_value,-0.4379
0.0200,CSCarry,eq_value,-0.4358
0.0200,CSValue,LongOnlyEW,-0.4054
0.0200,eq_momentum,eq_quality,0.2785
0.0200,CSMomentum,TSMomentum,0.2775
0.0200,CSCarry,eq_quality,-0.2630
0.0200,eq_value,eq_quality,0.2511
0.0200,CSCarry,eq_momentum,0.1549
0.0200,CSMomentum,eq_value,0.1526
0.0200,CSMomentum,CSValue,-0.1450
0.0200,TSMomentum,eq_quality,0.1211
0.0200,LongOnlyEW,eq_quality,0.1147
0.0200,CSCarry,CSMomentum,-0.1138
0.0200,LongOnlyEW,eq_value,-0.0631
0.0200,CSMomentum,eq_quality,0.0583
0.0200,CSValue,eq_value,-0.0232
0.0200,TSMomentum,eq_value,0.0214
0.0200,CSValue,eq_quality,-0.0196
