dropped,gap_bp,CSCarry/LongOnlyEW,LongOnlyEW/TSMomentum,CSMomentum/LongOnlyEW
2001,9.498,3.519,2.060,1.139
2002,8.974,3.313,2.047,1.090
2003,8.929,3.324,2.040,1.088
2004,8.617,3.083,2.064,1.085
2005,8.902,3.338,2.071,1.084
2006,9.288,3.337,2.049,1.096
2007,8.497,3.271,2.234,0.984
2008,8.240,2.970,2.088,0.712
2009,9.075,3.187,2.045,1.105
2010,8.857,3.504,1.566,1.105
2011,9.318,3.256,2.072,1.085
2012,7.893,3.203,1.302,0.973
2013,8.896,3.262,2.231,1.092
2014,9.142,3.318,2.005,1.117
2015,9.273,3.286,1.983,1.110
2016,8.701,2.946,1.850,1.097
2017,9.115,3.182,2.152,1.144
2018,8.488,2.762,1.939,1.110
2019,9.017,3.317,2.016,1.117
2020,8.636,3.071,2.056,0.904
2021,8.928,3.156,2.043,1.102
2022,9.268,3.301,2.087,1.121
2023,9.082,3.348,1.976,1.098
2024,9.296,3.317,2.086,1.121
2025,8.982,3.309,2.001,1.036
