estimator,delivered_median,dispersion,max_dd,ann_turnover,sharpe,sharpe_5bp,d_sharpe_vs_stream,d_sharpe_ci_lo,d_sharpe_ci_hi
invvol,0.9053,0.30307,-0.43694,2.2764,0.5011,0.49018,-0.018868,-0.17915,0.18977
stream,0.90788,0.32103,-0.47168,3.5514,0.51997,0.5029,0,0,0
pic_daily,0.89963,0.33845,-0.39434,5.4119,0.54223,0.51626,0.022257,-0.07928,0.19471
c2_daily,0.89801,0.34059,-0.41046,5.4173,0.53814,0.51248,0.018173,-0.058237,0.20323
blend_daily,0.90155,0.32892,-0.43562,4.2538,0.54726,0.52662,0.027293,-0.035141,0.12418
varblend_daily,0.9011,0.32703,-0.42037,4.4691,0.53796,0.51646,0.01799,-0.077641,0.13771
c2_q63lag45,0.89922,0.36736,-0.53925,5.3487,0.49092,0.4666,-0.029053,-0.23372,0.11744
blend_q63lag45,0.90647,0.32145,-0.47764,3.6078,0.52116,0.50378,0.0011945,-0.028289,0.021318
varblend_q63lag45,0.90352,0.32692,-0.48054,4.1218,0.52146,0.50149,0.0014883,-0.056726,0.060901
oracle,0.92892,0.22895,-0.34609,5.953,0.58978,0.55862,0.069812,-0.11339,0.32802
