estimator,band,ann_turnover,dispersion,sharpe_0bp,sharpe_2bp,sharpe_5bp,sharpe_10bp,sharpe_20bp
invvol,0,12.48,0.225,0.5277,0.5029,0.4657,0.4039,0.2804
invvol,0.05,4.186,0.2439,0.5081,0.4996,0.487,0.4659,0.4238
invvol,0.1,2.889,0.261,0.5219,0.5161,0.5075,0.4931,0.4643
stream,0,18.89,0.2348,0.5344,0.4968,0.4404,0.3464,0.1584
stream,0.05,8.235,0.2429,0.525,0.5085,0.4839,0.4428,0.3606
stream,0.1,5.73,0.2534,0.5231,0.5119,0.495,0.4668,0.4103
pic_daily,0,31.12,0.2918,0.5512,0.4879,0.393,0.2349,-0.08
pic_daily,0.05,19.13,0.2953,0.5541,0.5151,0.4567,0.3593,0.165
pic_daily,0.1,15,0.3023,0.5619,0.5316,0.4862,0.4104,0.2591
c2_daily,0,30.16,0.2802,0.6054,0.5443,0.4528,0.3003,-0.003515
c2_daily,0.05,18.77,0.2849,0.6039,0.5659,0.5089,0.4138,0.2241
c2_daily,0.1,15.04,0.2888,0.5722,0.5421,0.4969,0.4216,0.2711
blend_daily,0,29.82,0.2783,0.6049,0.5445,0.454,0.3032,0.002761
blend_daily,0.05,18.41,0.2821,0.5914,0.5541,0.4981,0.4049,0.2189
blend_daily,0.1,14.7,0.2843,0.5907,0.5613,0.5172,0.4436,0.2966
varblend_daily,0,30.81,0.2911,0.5523,0.4896,0.3956,0.2391,-0.07271
varblend_daily,0.05,18.82,0.2959,0.5465,0.5082,0.4507,0.3549,0.1639
varblend_daily,0.1,14.8,0.3026,0.5417,0.5118,0.4669,0.392,0.2427
c2_q63lag45,0,22.49,0.2724,0.6368,0.593,0.5273,0.4178,0.1991
c2_q63lag45,0.05,11.81,0.2831,0.6385,0.6155,0.5808,0.523,0.4073
c2_q63lag45,0.1,8.973,0.294,0.6211,0.6038,0.5779,0.5345,0.4477
blend_q63lag45,0,19.52,0.2356,0.5446,0.5057,0.4475,0.3505,0.1564
blend_q63lag45,0.05,8.59,0.2435,0.5461,0.5289,0.5032,0.4603,0.3744
blend_q63lag45,0.1,6.108,0.2521,0.5441,0.5322,0.5142,0.4843,0.4244
varblend_q63lag45,0,21.26,0.2402,0.5893,0.5471,0.4837,0.3781,0.1669
varblend_q63lag45,0.05,10.36,0.2481,0.583,0.5623,0.5313,0.4796,0.3762
varblend_q63lag45,0.1,7.467,0.2579,0.5806,0.566,0.5441,0.5075,0.4344
oracle,0,205.5,0.3201,0.7988,0.2862,-0.4809,-1.748,-4.197
oracle,0.05,189.8,0.3173,0.8164,0.3445,-0.3617,-1.528,-3.777
oracle,0.1,167.8,0.3171,0.8141,0.4026,-0.2135,-1.231,-3.195
