date,pic_corr,roll_corr,gap,pic_cov,roll_cov,gap_cov,cos,real_corr,err,err_cov,pair21,pv63,jm21,crowded,q
1992-05-28,0.78396,0.587699,0.196261,1.47316e-05,7.28497e-06,7.44665e-06,0.629683,0.642622,0.0549232,-6.97182e-07,-0.00293142,0.0370989,0,0,3
1992-05-29,0.112365,0.588423,-0.476058,1.70636e-06,7.3068e-06,-5.60044e-06,0.501852,0.501466,-0.0869571,-2.29713e-06,-0.00330685,0.0368101,0,0,0
1992-06-02,0.108675,0.5821,-0.473425,1.64053e-06,7.11422e-06,-5.47369e-06,0.501852,0.510825,-0.0712744,-2.02227e-06,-0.00236889,0.0372665,0,0,0
1992-06-03,0.109622,0.581489,-0.471868,1.65501e-06,7.10592e-06,-5.45091e-06,0.501852,0.520425,-0.0610644,-1.79564e-06,-0.00741822,0.0372027,0,0,0
1992-06-04,0.107313,0.581528,-0.474215,1.61615e-06,7.10606e-06,-5.4899e-06,0.501852,0.52565,-0.0558776,-1.63376e-06,-0.00817703,0.0371879,0,0,0
1992-06-05,0.107028,0.580684,-0.473656,1.60896e-06,7.103e-06,-5.49403e-06,0.501852,0.53048,-0.0502041,-1.61644e-06,-0.0126002,0.037009,0,0,0
1992-06-09,0.24258,0.585767,-0.343187,3.05317e-06,7.15458e-06,-4.10141e-06,0.501852,0.555072,-0.0306949,-1.20001e-06,-0.00871422,0.0372956,0,0,1
1992-06-10,0.266323,0.585397,-0.319074,3.28987e-06,7.14406e-06,-3.85419e-06,0.501852,0.549046,-0.0363506,-1.33119e-06,-0.0146216,0.0363688,0,0,1
1992-06-11,0.268685,0.586433,-0.317748,3.31093e-06,7.15067e-06,-3.83974e-06,0.501852,0.547827,-0.0386065,-1.35944e-06,-0.0139453,0.0362813,0,0,1
1992-06-12,0.254509,0.577662,-0.323153,3.07499e-06,6.90108e-06,-3.82609e-06,0.501852,0.547898,-0.0297646,-1.11439e-06,-0.014817,0.0362672,0,0,1
1992-06-16,0.25523,0.577253,-0.322024,3.07963e-06,6.90034e-06,-3.8207e-06,0.501852,0.533379,-0.0438742,-1.22684e-06,-0.0158996,0.0370948,0,0,1
1992-06-17,0.250017,0.57327,-0.323253,2.99223e-06,6.80873e-06,-3.8165e-06,0.501852,0.532887,-0.0403833,-1.12988e-06,-0.0171279,0.0371079,0,0,1
1992-06-18,0.250098,0.572745,-0.322647,2.99304e-06,6.79509e-06,-3.80206e-06,0.501852,0.542279,-0.0304659,-7.08303e-07,-0.0143611,0.0392102,0,0,1
1992-06-19,0.250814,0.572888,-0.322074,3.00027e-06,6.79913e-06,-3.79885e-06,0.501852,0.538169,-0.0347193,-7.82651e-07,-0.0180068,0.0388969,0,0,1
1992-06-23,0.249758,0.572121,-0.322364,2.98417e-06,6.78558e-06,-3.80141e-06,0.501852,0.530578,-0.0415433,-7.05386e-07,-0.014526,0.0398477,0,0,1
1992-06-24,0.26803,0.565673,-0.297643,3.15842e-06,6.60711e-06,-3.4487e-06,0.501852,0.55067,-0.0150034,-3.66321e-07,-0.0127282,0.0403313,0,0,1
1992-06-25,0.265473,0.560921,-0.295447,3.14933e-06,6.58193e-06,-3.43259e-06,0.501852,0.548624,-0.0122966,-3.75726e-07,-0.00822211,0.0403508,0,0,1
1992-06-26,0.261754,0.561366,-0.299612,3.07379e-06,6.5868e-06,-3.51301e-06,0.501852,0.549555,-0.0118108,-3.50788e-07,-0.00368571,0.0399005,0,0,1
1992-06-30,0.289937,0.562581,-0.272644,3.49576e-06,6.6186e-06,-3.12284e-06,0.350613,0.372157,-0.190424,-2.6364e-06,-0.00479342,0.0404074,0,0,1
1992-07-01,0.288266,0.555228,-0.266962,3.45471e-06,6.49642e-06,-3.0417e-06,0.350613,0.357006,-0.198222,-2.75513e-06,-0.000149393,0.0400068,0,0,1
1992-07-02,0.290731,0.554782,-0.264051,3.49637e-06,6.48929e-06,-2.99292e-06,0.350613,0.371135,-0.183647,-2.75551e-06,0.0129718,0.039436,0,0,1
1992-07-07,0.296477,0.548585,-0.252108,3.56411e-06,6.40187e-06,-2.83776e-06,0.350613,0.38124,-0.167345,-2.66947e-06,0.00660936,0.0392127,0,0,1
1992-07-08,0.297426,0.546198,-0.248772,3.58652e-06,6.40164e-06,-2.81512e-06,0.350613,0.371357,-0.174841,-2.78075e-06,0.0108065,0.0387745,0,0,1
