sample,outcome,model,regressor,beta,t,ci_lo,ci_hi
material,jm21,gap,gap,0.0654,3.55,0.0336,0.0952
material,jm21,H,H,0.1399,8.96,0.1127,0.1641
material,jm21,H+gap,H,0.1719,7.84,0.1342,0.2068
material,jm21,H+gap,gap,-0.0555,-2.24,-0.0977,-0.0162
material,pv63,gap,gap,0.0157,8.29,0.0125,0.0187
material,pv63,H,H,0.0297,18.89,0.0272,0.0324
material,pv63,H+gap,H,0.0348,14.52,0.0307,0.0387
material,pv63,H+gap,gap,-0.0088,-3.26,-0.0132,-0.0042
all_pairs,jm21,gap,gap,0.0778,5.55,0.0558,0.1016
all_pairs,jm21,H,H,0.1389,11.89,0.1191,0.1565
all_pairs,jm21,H+gap,H,0.1526,10.4,0.1279,0.1759
all_pairs,jm21,H+gap,gap,-0.0274,-1.68,-0.0542,0.0004
all_pairs,pv63,gap,gap,0.0188,10.95,0.016,0.0216
all_pairs,pv63,H,H,0.0325,23.64,0.0302,0.0347
all_pairs,pv63,H+gap,H,0.0352,17.83,0.0318,0.0383
all_pairs,pv63,H+gap,gap,-0.0055,-2.34,-0.0094,-0.0018
material,jm21_tercile,H_tercile_0,gap_top_minus_bottom,-0.007,,,
material,jm21_tercile,H_tercile_1,gap_top_minus_bottom,-0.022,,,
material,jm21_tercile,H_tercile_2,gap_top_minus_bottom,-0.002,,,
