pair,h,n,mean_rho_fwd,lambda_mean,resid_pic_stress,resid_trail_stress,resid_stresscond_stress,resid_calmcond_stress,resid_pic_calm,resid_stresscond_calm,ind_hit_rate,ind_recall,rmse_C2_on,rmse_C2L_on,rmse_C2_all,rmse_switch_all
CSCarry|CSMomentum,21,1356,0.178375,-0.035605,-0.0587322,-0.0469064,-0.017104,-0.0695171,-0.0164094,0.0449276,0.279245,0.280303,1.67267e-05,1.86614e-05,1.47693e-05,1.52155e-05
CSCarry|CSValue,21,1303,-0.126572,0.0274123,0.0591989,0.00852329,-0.00727766,0.016163,0.00326885,-0.0446974,0.284585,0.285714,1.55283e-05,1.71336e-05,1.3837e-05,1.42001e-05
CSCarry|LongOnlyEW,21,1356,-0.640144,-0.072414,-0.00432693,-0.0131854,0.0541395,-0.026538,0.0358879,0.0928714,0.279245,0.280303,2.14618e-05,2.22561e-05,1.77732e-05,1.79631e-05
CSCarry|TSMomentum,21,1356,0.13666,-0.00870637,-0.0133453,-0.0248847,-0.0313694,-0.0496999,-0.0347589,-0.0034336,0.279245,0.280303,2.15079e-05,2.51968e-05,1.80382e-05,1.89485e-05
CSMomentum|CSValue,21,1303,-0.467186,-0.00329238,-0.0545636,-0.0559437,-0.0379312,-0.0698178,-0.0192187,-0.0062124,0.284585,0.285714,1.6177e-05,1.60939e-05,1.46451e-05,1.46273e-05
CSMomentum|LongOnlyEW,21,1356,-0.0164847,0.0502509,0.103495,0.0631396,0.0116146,0.0902614,0.0459704,-0.0640622,0.279245,0.280303,1.68794e-05,1.8181e-05,1.48442e-05,1.51416e-05
CSMomentum|TSMomentum,21,1356,0.687575,-0.0116306,0.0916923,0.0458995,0.0544739,0.0501561,0.0360852,0.0183726,0.279245,0.280303,1.78055e-05,1.80059e-05,1.52517e-05,1.52976e-05
CSValue|LongOnlyEW,21,1303,0.0233059,-0.0448162,-0.08273,-0.0381325,0.0058385,-0.0497388,-0.029485,0.0649479,0.284585,0.285714,1.64475e-05,1.78594e-05,1.45444e-05,1.48642e-05
CSValue|TSMomentum,21,1303,-0.299455,0.00870874,-0.0764001,-0.0752272,-0.0682564,-0.0839039,-0.0162937,-0.00929394,0.284585,0.285714,1.73059e-05,1.7982e-05,1.48914e-05,1.50462e-05
LongOnlyEW|TSMomentum,21,1356,-0.00833604,-0.0421881,0.0587917,0.0292647,0.079983,0.0424287,0.0631544,0.0602644,0.279245,0.280303,2.38496e-05,2.82816e-05,1.96991e-05,2.08136e-05
CSCarry|CSMomentum,63,1347,0.177211,-0.0357271,-0.0527414,-0.0162764,0.0187431,-0.0407014,-0.0191938,0.0353815,0.188462,0.180812,1.2585e-05,1.38742e-05,1.17543e-05,1.20311e-05
CSCarry|CSValue,63,1294,-0.124285,0.0272055,0.0619895,0.0234317,0.0160707,0.0362906,0.00335834,-0.0486534,0.197581,0.188462,1.06427e-05,1.25781e-05,1.05007e-05,1.09031e-05
CSCarry|LongOnlyEW,63,1347,-0.644848,-0.0720822,0.0146203,0.0263231,0.0962742,0.0164856,0.0249632,0.0782246,0.188462,0.180812,1.33767e-05,1.45796e-05,1.26831e-05,1.29365e-05
CSCarry|TSMomentum,63,1347,0.136051,-0.00938594,0.043622,0.00937077,0.000522564,-0.0203233,-0.04921,-0.0116991,0.188462,0.180812,1.78007e-05,1.92632e-05,1.62902e-05,1.66083e-05
CSMomentum|CSValue,63,1294,-0.468546,-0.00400617,-0.0690825,-0.031464,0.00744076,-0.0370242,-0.0180079,-0.0193706,0.197581,0.188462,1.17447e-05,1.11451e-05,1.12121e-05,1.10942e-05
CSMomentum|LongOnlyEW,63,1347,-0.0120266,0.0508466,0.0921437,0.0500874,-0.00117576,0.080652,0.0533707,-0.0557374,0.188462,0.180812,1.15712e-05,1.2915e-05,1.13817e-05,1.16574e-05
CSMomentum|TSMomentum,63,1347,0.688297,-0.0116225,0.0648475,0.014532,0.0258199,0.0190611,0.0447174,0.0267227,0.188462,0.180812,9.73913e-06,9.8316e-06,9.75208e-06,9.76998e-06
CSValue|LongOnlyEW,63,1294,0.0147597,-0.0454353,-0.0917141,-0.0434901,0.000374608,-0.0583192,-0.037024,0.0564485,0.197581,0.188462,9.70951e-06,1.1194e-05,9.99373e-06,1.0287e-05
CSValue|TSMomentum,63,1294,-0.299781,0.00859134,-0.0803803,-0.013725,0.00788305,-0.0188805,-0.017567,-0.0288871,0.197581,0.188462,1.21765e-05,1.25866e-05,1.15208e-05,1.1605e-05
LongOnlyEW|TSMomentum,63,1347,-0.00635606,-0.0414128,-0.0314395,0.0159652,0.0746399,0.0334703,0.0868253,0.0646402,0.188462,0.180812,1.79064e-05,2.06603e-05,1.73151e-05,1.78973e-05
