indicator,pair,h,n,mean_rho_fwd,hit_rate,recall,resid_on,resid_off,resid_post_stress,lambda_hist,resid_lambda_on,delta_hat_last,rmse_C2_on,rmse_C2L_on,rmse_C2D_on,rmse_C2_all,rmse_switchD_all
vix,CSCarry|CSMomentum,21,1413,0.183554,0.222222,0.227586,0.000218881,-0.0211227,-0.0446317,0.000207902,-0.0264438,0.0024242,1.71474e-05,2.09416e-05,1.74612e-05,1.48931e-05,1.49626e-05
vix,CSCarry|CSValue,21,1305,-0.12677,0.222222,0.227586,0.0109539,0.0147258,0.0588208,0.0276986,-0.0273857,0.0078391,1.76662e-05,2.01521e-05,1.79179e-05,1.38764e-05,1.39315e-05
vix,CSCarry|LongOnlyEW,21,1413,-0.643605,0.222222,0.227586,0.0350199,0.0241873,-0.00157129,-0.0346876,0.0418662,0.0344277,2.14149e-05,2.23809e-05,2.13738e-05,1.77037e-05,1.76943e-05
vix,CSCarry|TSMomentum,21,1413,0.150188,0.222222,0.227586,-0.00152018,-0.032506,-0.0118793,0.0780616,-0.0327894,0.000196371,2.06742e-05,2.65098e-05,2.08015e-05,1.79563e-05,1.79844e-05
vix,CSMomentum|CSValue,21,1305,-0.467605,0.222222,0.227586,-0.0744253,-0.0158466,-0.0533228,-0.0266213,-0.0969351,-0.0749544,1.70276e-05,1.82906e-05,1.66894e-05,1.4975e-05,1.49097e-05
vix,CSMomentum|LongOnlyEW,21,1413,-0.0247788,0.222222,0.227586,0.0234946,0.0483229,0.0823499,0.00766157,-0.00746906,0.021044,1.69442e-05,1.92555e-05,1.74882e-05,1.49744e-05,1.50934e-05
vix,CSMomentum|TSMomentum,21,1413,0.683512,0.222222,0.227586,0.0462386,0.047023,0.090049,-0.0261195,0.00728194,0.0464047,1.73217e-05,1.73451e-05,1.71569e-05,1.52742e-05,1.52386e-05
vix,CSValue|LongOnlyEW,21,1305,0.0231525,0.222222,0.227586,-0.0678369,-0.0341233,-0.0829146,-0.0480581,0.00779026,-0.0667181,1.75148e-05,1.86673e-05,1.74127e-05,1.45437e-05,1.45227e-05
vix,CSValue|TSMomentum,21,1305,-0.299557,0.222222,0.227586,-0.0867008,-0.0154327,-0.0744402,-0.0467053,-0.0398562,-0.0869564,1.67351e-05,1.74159e-05,1.61902e-05,1.4953e-05,1.48502e-05
vix,LongOnlyEW|TSMomentum,21,1413,-0.0308383,0.222222,0.227586,0.030884,0.0575957,0.0450799,-0.0700432,0.0148632,0.0288074,2.3051e-05,2.79981e-05,2.28216e-05,1.96896e-05,1.96384e-05
assetvol,CSCarry|CSMomentum,21,1331,0.17547,0.151261,0.186207,-0.0559274,-0.0177914,-0.0637793,-0.0831841,0.039273,-0.0559274,1.32339e-05,1.43529e-05,1.30501e-05,1.48206e-05,1.47801e-05
assetvol,CSCarry|CSValue,21,1297,-0.125041,0.151261,0.186207,0.00748125,0.0174939,0.0647824,0.0553456,-0.0176615,0.00748125,1.3411e-05,1.48679e-05,1.355e-05,1.37236e-05,1.37564e-05
assetvol,CSCarry|LongOnlyEW,21,1331,-0.636854,0.151261,0.186207,0.0297968,0.0273174,-0.00385581,-0.0492584,0.0642595,0.0297968,1.76093e-05,1.87692e-05,1.7542e-05,1.77952e-05,1.77787e-05
assetvol,CSCarry|TSMomentum,21,1331,0.124104,0.151261,0.186207,-0.0403348,-0.0275523,-0.0145743,0.00415299,-0.00675356,-0.0403348,1.67988e-05,1.96596e-05,1.65302e-05,1.80655e-05,1.8004e-05
assetvol,CSMomentum|CSValue,21,1297,-0.465685,0.151261,0.186207,-0.0410892,-0.0213926,-0.0555744,-0.0701519,-0.034102,-0.0410892,1.44846e-05,1.52036e-05,1.48658e-05,1.439e-05,1.44832e-05
assetvol,CSMomentum|LongOnlyEW,21,1331,-0.00754402,0.151261,0.186207,0.102538,0.049655,0.111062,0.0485805,0.00131162,0.102538,1.44461e-05,1.50372e-05,1.36544e-05,1.48565e-05,1.46697e-05
assetvol,CSMomentum|TSMomentum,21,1331,0.691075,0.151261,0.186207,0.0152095,0.0530618,0.0887683,-0.044945,0.0378417,0.0152095,1.36606e-05,1.34641e-05,1.3955e-05,1.52848e-05,1.53506e-05
assetvol,CSValue|LongOnlyEW,21,1297,0.0227911,0.151261,0.186207,-0.0460092,-0.0393961,-0.0898389,-0.0942742,0.0332232,-0.0460092,1.34477e-05,1.34263e-05,1.33928e-05,1.45163e-05,1.45041e-05
assetvol,CSValue|TSMomentum,21,1297,-0.298027,0.151261,0.186207,-0.00735143,-0.0330079,-0.0718222,-0.00591816,-0.0134704,-0.00735143,1.35379e-05,1.39614e-05,1.37866e-05,1.46978e-05,1.47533e-05
assetvol,LongOnlyEW|TSMomentum,21,1331,0.0100129,0.151261,0.186207,0.0766486,0.0591893,0.0599736,-0.0784023,0.104013,0.0766486,1.83466e-05,2.26256e-05,1.79078e-05,1.97465e-05,1.96464e-05
vix,CSCarry|CSMomentum,63,1404,0.183606,0.179661,0.184028,0.0287559,-0.0279204,-0.0398102,0.00100366,0.00154503,0.0287559,1.2073e-05,1.54674e-05,1.29014e-05,1.18304e-05,1.19961e-05
vix,CSCarry|CSValue,63,1296,-0.124666,0.179661,0.184028,-0.00155824,0.0183491,0.0607192,0.0269297,-0.0378816,-0.00155824,1.1429e-05,1.38183e-05,1.17694e-05,1.05429e-05,1.06066e-05
vix,CSCarry|LongOnlyEW,63,1404,-0.648575,0.179661,0.184028,0.0228909,0.0203619,0.0126199,-0.0346563,0.032226,0.0228909,1.4208e-05,1.46055e-05,1.38708e-05,1.26482e-05,1.25765e-05
vix,CSCarry|TSMomentum,63,1404,0.151614,0.179661,0.184028,0.0275594,-0.0368837,0.0430116,0.0783991,-0.00462145,0.0275594,1.71457e-05,2.17195e-05,1.7449e-05,1.61844e-05,1.62462e-05
vix,CSMomentum|CSValue,63,1296,-0.468976,0.179661,0.184028,-0.0950815,-0.0143037,-0.0678219,-0.0268844,-0.117994,-0.0950815,1.01733e-05,1.20155e-05,9.96414e-06,1.13917e-05,1.13601e-05
vix,CSMomentum|LongOnlyEW,63,1404,-0.022845,0.179661,0.184028,-0.0101783,0.0580673,0.0713651,0.00725486,-0.0390755,-0.0101783,1.26572e-05,1.39858e-05,1.3897e-05,1.16077e-05,1.18753e-05
vix,CSMomentum|TSMomentum,63,1404,0.683386,0.179661,0.184028,0.0269787,0.0527879,0.0644689,-0.0260005,-0.0132444,0.0269787,1.02261e-05,9.92522e-06,1.06413e-05,9.82001e-06,9.90386e-06
vix,CSValue|LongOnlyEW,63,1296,0.0147714,0.179661,0.184028,-0.0564642,-0.0461989,-0.0910674,-0.0478336,0.0176551,-0.0564642,1.04274e-05,1.07172e-05,1.05185e-05,9.98733e-06,1.00036e-05
vix,CSValue|TSMomentum,63,1296,-0.300077,0.179661,0.184028,-0.0789883,-0.0200117,-0.0794075,-0.0466016,-0.0304231,-0.0789883,1.06788e-05,1.12218e-05,1.0701e-05,1.15749e-05,1.15784e-05
vix,LongOnlyEW|TSMomentum,63,1404,-0.0325782,0.179661,0.184028,0.00529881,0.0600893,-0.0398154,-0.070389,-0.0079723,0.00529881,1.8545e-05,2.16157e-05,1.86666e-05,1.73647e-05,1.73896e-05
