pair,h,n,mean_rho_fwd,mean_rho_pic,mean_rho_stream,pair_phibar,rmse_A_stream,r2_A_stream,rmse_B_pic,r2_B_pic,rmse_C1_target_picR,r2_C1_target_picR,rmse_C2_streamD_picR,r2_C2_streamD_picR,dm_t_C2_vs_A,resid_corr_stress,resid_corr_calm,resid_corr_stream_stress
CSCarry|CSMomentum,21,1449,0.195538,0.20207,0.202448,0.900119,1.84908e-05,0.103639,1.61248e-05,0.31835,1.92326e-05,0.0302705,1.62153e-05,0.31068,3.69989,-0.0275146,-0.00128154,-0.0236318
CSCarry|CSValue,21,1302,-0.137487,-0.134232,-0.123838,0.924606,1.64974e-05,0.128812,1.56293e-05,0.218085,1.71831e-05,0.0548843,1.58121e-05,0.199685,1.6245,0.0698243,-0.0211407,0.0192742
CSCarry|LongOnlyEW,21,1449,-0.643026,-0.682308,-0.632749,0.933483,2.59346e-05,0.0338187,2.91028e-05,-0.21666,3.40347e-05,-0.663963,2.51008e-05,0.0949417,1.34893,0.0247577,0.0429162,-0.0260614
CSCarry|TSMomentum,21,1449,0.155749,0.184111,0.162607,0.878282,3.03016e-05,0.154037,2.52091e-05,0.414487,3.01775e-05,0.160952,2.4766e-05,0.434888,3.42247,-0.0281231,-0.0284209,-0.00404132
CSMomentum|CSValue,21,1302,-0.479024,-0.45505,-0.463387,0.953656,2.0215e-05,-0.00968712,1.68411e-05,0.299222,2.46127e-05,-0.496777,1.70653e-05,0.280439,3.83193,-0.0547375,-0.0164446,-0.066374
CSMomentum|LongOnlyEW,21,1449,-0.0204607,-0.0636432,-0.00621008,0.962812,1.75194e-05,0.101976,1.64439e-05,0.208853,1.75336e-05,0.100515,1.61987e-05,0.232268,2.07715,0.0677184,0.0370432,0.0298302
CSMomentum|TSMomentum,21,1449,0.676034,0.638318,0.66483,0.905877,1.75473e-05,-0.0317625,1.71082e-05,0.0192227,2.86709e-05,-1.7545,1.79093e-05,-0.0747737,-1.66805,0.085021,0.0258797,0.0390307
CSValue|LongOnlyEW,21,1302,0.0217791,0.0632343,0.00538104,0.989005,1.73753e-05,0.0983382,1.71569e-05,0.12086,1.76945e-05,0.0648969,1.69823e-05,0.138665,1.10594,-0.11038,-0.0245864,-0.0554043
CSValue|TSMomentum,21,1302,-0.3028,-0.271592,-0.284472,0.930521,1.90105e-05,0.0222949,1.73467e-05,0.185935,2.10799e-05,-0.202158,1.78221e-05,0.140707,2.09198,-0.0855767,-0.0179013,-0.0702583
LongOnlyEW|TSMomentum,21,1449,-0.0219058,-0.0828404,0.00107124,0.939454,3.4127e-05,0.178255,2.74473e-05,0.468456,3.36855e-05,0.199378,2.6617e-05,0.500129,4.22254,0.0538554,0.0627059,-0.0209391
CSCarry|CSMomentum,63,1440,0.195115,0.202105,0.202178,0.789867,1.42159e-05,0.116239,1.32249e-05,0.235153,1.52218e-05,-0.0132613,1.28946e-05,0.272887,1.57797,-0.0241595,-0.00269762,0.0116119
CSCarry|CSValue,63,1293,-0.133331,-0.133006,-0.12294,0.846765,1.15938e-05,0.208322,1.22057e-05,0.12256,1.2639e-05,0.0591466,1.17554e-05,0.1861,-0.351486,0.0535855,-0.0138933,0.0112228
CSCarry|LongOnlyEW,63,1440,-0.649848,-0.681948,-0.634122,0.865683,1.79927e-05,0.0268167,2.32488e-05,-0.624809,2.83986e-05,-1.42436,1.75681e-05,0.0722033,0.641546,0.0322847,0.0320539,-0.015364
CSCarry|TSMomentum,63,1440,0.157552,0.183924,0.162748,0.750444,2.38985e-05,0.186021,2.23579e-05,0.287583,2.37712e-05,0.194671,2.03147e-05,0.411847,1.66025,0.0173625,-0.0373058,-0.00814387
CSMomentum|CSValue,63,1293,-0.481333,-0.454266,-0.462478,0.887752,1.56547e-05,-0.0662297,1.38156e-05,0.169574,2.09487e-05,-0.909305,1.27362e-05,0.294267,2.53658,-0.0669356,-0.0170329,-0.0362399
CSMomentum|LongOnlyEW,63,1440,-0.017872,-0.063332,-0.0069741,0.907585,1.41537e-05,0.0861013,1.29275e-05,0.237589,1.37276e-05,0.140294,1.24867e-05,0.288697,1.7118,0.0646379,0.0406656,0.0260243
CSMomentum|TSMomentum,63,1440,0.676102,0.637124,0.66434,0.786769,1.08077e-05,-0.114505,1.18894e-05,-0.348778,2.51497e-05,-5.03509,1.13583e-05,-0.230967,-1.84365,0.0614206,0.0333671,0.0219957
CSValue|LongOnlyEW,63,1293,0.00926052,0.0629694,0.00592675,0.972962,1.24762e-05,0.13701,1.19592e-05,0.207048,1.26302e-05,0.115573,1.18491e-05,0.221583,1.25053,-0.0932539,-0.0437556,-0.0308015
CSValue|TSMomentum,63,1293,-0.303278,-0.270008,-0.283914,0.843443,1.34851e-05,0.00792299,1.32749e-05,0.0386196,1.63443e-05,-0.457355,1.32851e-05,0.037139,0.275724,-0.0729113,-0.0232933,-0.0194483
LongOnlyEW|TSMomentum,63,1440,-0.022117,-0.0822872,-7.96057e-05,0.862287,2.82706e-05,0.195504,2.40661e-05,0.417002,2.72615e-05,0.251909,2.1162e-05,0.549215,2.94498,-0.00892295,0.0774435,0.00232173
