pair,h,n,mean_rho_fwd,pair_phibar_h,w_model_h,rmse_A,rmse_C2_daily,phibar_daily,w_model_daily,n_blend_daily,rmse_BL_daily,rmse_BLM_daily,rmse_C2_m21,phibar_m21,w_model_m21,n_blend_m21,rmse_BL_m21,rmse_BLM_m21,rmse_C2_q63,phibar_q63,w_model_q63,n_blend_q63,rmse_BL_q63,rmse_BLM_q63,rmse_C2_q63lag45,phibar_q63lag45,w_model_q63lag45,n_blend_q63lag45,rmse_BL_q63lag45,rmse_BLM_q63lag45
CSCarry|CSMomentum,21,1449,0.195538,0.890188,0.792929,1.84908e-05,1.62153e-05,0.990005,0.77576,1449,1.62059e-05,1.61325e-05,1.66003e-05,0.890188,0.500717,1449,1.64886e-05,1.66757e-05,1.76564e-05,0.772855,0.199668,1449,1.72849e-05,1.77208e-05,1.94796e-05,0.6954,0.0745597,1449,1.86628e-05,1.83263e-05
CSCarry|CSValue,21,1288,-0.134239,0.9253,0.821692,1.63243e-05,1.5668e-05,0.993254,0.806696,1251,1.57749e-05,1.5525e-05,1.58972e-05,0.9253,0.558123,1251,1.58798e-05,1.56027e-05,1.67045e-05,0.848721,0.257498,1251,1.64985e-05,1.60833e-05,1.7712e-05,0.804689,0.112414,1251,1.71846e-05,1.63232e-05
CSCarry|LongOnlyEW,21,1449,-0.643026,0.927399,0.830716,2.59346e-05,2.51008e-05,0.993591,0.816417,1449,2.50941e-05,2.49623e-05,2.54242e-05,0.927399,0.576903,1449,2.53374e-05,2.51716e-05,2.60055e-05,0.854293,0.27823,1449,2.58248e-05,2.56856e-05,2.71451e-05,0.811,0.127375,1449,2.67083e-05,2.59724e-05
CSCarry|TSMomentum,21,1449,0.155749,0.875679,0.778831,3.03016e-05,2.4766e-05,0.988685,0.760624,1449,2.47356e-05,2.45965e-05,2.54252e-05,0.875679,0.473926,1449,2.51208e-05,2.60632e-05,2.74061e-05,0.745544,0.175487,1449,2.65577e-05,2.86784e-05,3.12352e-05,0.661943,0.0605288,1449,2.95248e-05,2.99621e-05
CSMomentum|CSValue,21,1288,-0.475052,0.954686,0.866493,1.97277e-05,1.66504e-05,0.995899,0.855025,1251,1.65333e-05,1.65418e-05,1.68484e-05,0.954686,0.655023,1251,1.67601e-05,1.69919e-05,1.8121e-05,0.888906,0.374317,1251,1.79356e-05,1.82848e-05,2.01123e-05,0.831781,0.205525,1251,1.96731e-05,1.92211e-05
CSMomentum|LongOnlyEW,21,1449,-0.0204607,0.961726,0.878051,1.75194e-05,1.61987e-05,0.996582,0.867521,1449,1.61943e-05,1.6063e-05,1.61905e-05,0.961726,0.681526,1449,1.61475e-05,1.60093e-05,1.62973e-05,0.904878,0.41059,1449,1.62025e-05,1.63046e-05,1.7456e-05,0.857082,0.238569,1449,1.72229e-05,1.70618e-05
CSMomentum|TSMomentum,21,1449,0.676034,0.903895,0.823224,1.75473e-05,1.79093e-05,0.991283,0.808346,1449,1.7898e-05,1.76823e-05,1.79694e-05,0.903895,0.561286,1449,1.78526e-05,1.75452e-05,1.78319e-05,0.783934,0.260925,1449,1.7613e-05,1.74284e-05,1.78682e-05,0.69092,0.114838,1449,1.76027e-05,1.75116e-05
CSValue|LongOnlyEW,21,1288,0.0201842,0.987705,0.908508,1.73434e-05,1.6944e-05,0.998889,0.9005,1251,1.69855e-05,1.69577e-05,1.6978e-05,0.987705,0.754368,1251,1.70334e-05,1.6996e-05,1.69556e-05,0.969229,0.520107,1251,1.70046e-05,1.7034e-05,1.70353e-05,0.955464,0.349194,1251,1.70964e-05,1.71734e-05
CSValue|TSMomentum,21,1288,-0.299671,0.928059,0.830259,1.88045e-05,1.76881e-05,0.993552,0.815924,1251,1.78282e-05,1.75937e-05,1.79241e-05,0.928059,0.575943,1251,1.79534e-05,1.77243e-05,1.82907e-05,0.83835,0.277147,1251,1.82017e-05,1.82136e-05,1.93416e-05,0.771307,0.126576,1251,1.90268e-05,1.8674e-05
LongOnlyEW|TSMomentum,21,1449,-0.0219058,0.938074,0.860179,3.4127e-05,2.6617e-05,0.994522,0.848204,1449,2.66019e-05,2.65027e-05,2.68997e-05,0.938074,0.640808,1449,2.67628e-05,2.74133e-05,2.92098e-05,0.858767,0.355637,1449,2.87607e-05,3.04946e-05,3.36761e-05,0.795058,0.189243,1449,3.25941e-05,3.29784e-05
CSCarry|CSMomentum,63,1440,0.195115,0.772941,0.536371,1.42159e-05,1.28946e-05,0.990012,0.524748,1440,1.2868e-05,1.23684e-05,1.33486e-05,0.890346,0.338578,1440,1.30515e-05,1.28602e-05,1.40787e-05,0.772941,0.134911,1440,1.34117e-05,1.35887e-05,1.56644e-05,0.695895,0.0503374,1440,1.45959e-05,1.40588e-05
CSCarry|CSValue,63,1279,-0.129542,0.848755,0.585601,1.14786e-05,1.16939e-05,0.993261,0.574888,1242,1.17132e-05,1.07667e-05,1.19068e-05,0.925383,0.397377,1242,1.16718e-05,1.08341e-05,1.25466e-05,0.848755,0.182981,1242,1.20318e-05,1.11513e-05,1.32415e-05,0.806268,0.0797168,1242,1.24064e-05,1.13265e-05
CSCarry|LongOnlyEW,63,1440,-0.649848,0.854438,0.603805,1.79927e-05,1.75681e-05,0.993603,0.593451,1440,1.75533e-05,1.70667e-05,1.77827e-05,0.927417,0.419904,1440,1.76153e-05,1.72369e-05,1.86778e-05,0.854438,0.203075,1440,1.83369e-05,1.78391e-05,1.96898e-05,0.811144,0.0932453,1440,1.90925e-05,1.80297e-05
CSCarry|TSMomentum,63,1440,0.157552,0.745548,0.513676,2.38985e-05,2.03147e-05,0.988691,0.501666,1440,2.02415e-05,1.94614e-05,2.0971e-05,0.875743,0.312556,1440,2.02332e-05,2.083e-05,2.18542e-05,0.745548,0.11572,1440,2.03796e-05,2.26379e-05,2.53228e-05,0.662253,0.0399082,1440,2.31026e-05,2.36156e-05
CSMomentum|CSValue,63,1279,-0.478085,0.888663,0.671693,1.53308e-05,1.24973e-05,0.995859,0.662785,1242,1.23588e-05,1.22346e-05,1.27704e-05,0.954579,0.507459,1242,1.25586e-05,1.27266e-05,1.42084e-05,0.888663,0.289641,1242,1.38261e-05,1.3939e-05,1.60155e-05,0.831709,0.158827,1242,1.53636e-05,1.46562e-05
CSMomentum|LongOnlyEW,63,1440,-0.017872,0.904874,0.694836,1.41537e-05,1.24867e-05,0.996565,0.686455,1440,1.2481e-05,1.22116e-05,1.25677e-05,0.961694,0.538533,1440,1.25091e-05,1.23541e-05,1.28947e-05,0.904874,0.323499,1440,1.27478e-05,1.28708e-05,1.46618e-05,0.857056,0.18738,1440,1.42996e-05,1.37893e-05
CSMomentum|TSMomentum,63,1440,0.676102,0.783501,0.589052,1.08077e-05,1.13583e-05,0.991281,0.578405,1440,1.13405e-05,1.07278e-05,1.13357e-05,0.903771,0.401615,1440,1.11606e-05,1.06478e-05,1.12101e-05,0.783501,0.186691,1440,1.08735e-05,1.06538e-05,1.17392e-05,0.690758,0.0821626,1440,1.1206e-05,1.07994e-05
CSValue|LongOnlyEW,63,1279,0.0075182,0.969241,0.763063,1.25107e-05,1.18738e-05,0.998889,0.756336,1242,1.19007e-05,1.18603e-05,1.18832e-05,0.98771,0.633587,1242,1.19133e-05,1.19172e-05,1.1827e-05,0.969241,0.436814,1242,1.18537e-05,1.20083e-05,1.2188e-05,0.955495,0.293259,1242,1.22278e-05,1.2314e-05
CSValue|TSMomentum,63,1279,-0.30042,0.83821,0.601296,1.3273e-05,1.31864e-05,0.993547,0.590892,1242,1.32531e-05,1.22458e-05,1.32945e-05,0.927683,0.416775,1242,1.31309e-05,1.22831e-05,1.30245e-05,0.83821,0.20023,1242,1.26778e-05,1.25443e-05,1.41289e-05,0.77128,0.0912886,1242,1.35093e-05,1.29464e-05
LongOnlyEW|TSMomentum,63,1440,-0.022117,0.858738,0.65898,2.82706e-05,2.1162e-05,0.994519,0.649788,1440,2.11286e-05,2.09209e-05,2.17693e-05,0.938059,0.490648,1440,2.14245e-05,2.22973e-05,2.37915e-05,0.858738,0.271999,1440,2.29875e-05,2.50528e-05,2.85323e-05,0.794949,0.144565,1440,2.70853e-05,2.72712e-05
