regression,age,stratum,coef,se_keyfund_date,t_keyfund_date,se_dyadic_date,t_dyadic_date,se_ratio,nobs
holdings corr vs stream,0,Q1,-0.005990,0.001814,-3.303007,0.001909,-3.138339,1.052470,2896771
holdings corr vs stream,0,Q4,-0.003723,0.002052,-1.813979,0.002550,-1.460055,1.242404,2896771
holdings corr vs stream,0,Q1 - Q4,-0.002268,0.002518,-0.900708,0.002875,-0.788838,1.141816,2896771
holdings corr vs stream,21,Q1,0.004146,0.002429,1.706647,0.002657,1.560076,1.093951,2896771
holdings corr vs stream,21,Q4,-0.002626,0.001995,-1.316410,0.002469,-1.063782,1.237481,2896771
holdings corr vs stream,21,Q1 - Q4,0.006772,0.002977,2.274781,0.003405,1.988694,1.143857,2896771
holdings corr vs stream,63,Q1,0.011381,0.002989,3.807325,0.003332,3.416170,1.114501,2896771
holdings corr vs stream,63,Q4,-0.001016,0.002042,-0.497814,0.002487,-0.408691,1.218070,2896771
holdings corr vs stream,63,Q1 - Q4,0.012397,0.003407,3.638728,0.003913,3.168616,1.148365,2896771
holdings corr vs stream,108,Q1,0.015766,0.002826,5.578662,0.003174,4.966674,1.123219,2896771
holdings corr vs stream,108,Q4,0.000345,0.002452,0.140685,0.002832,0.121815,1.154906,2896771
holdings corr vs stream,108,Q1 - Q4,0.015421,0.003479,4.432545,0.003967,3.887594,1.140177,2896771
"staleness cost, holdings corr vs fresh",21,Q1,0.009620,0.002460,3.909943,0.002672,3.600081,1.086071,2163425
"staleness cost, holdings corr vs fresh",21,Q4,0.000438,0.000321,1.363590,0.000323,1.355686,1.005830,2163425
"staleness cost, holdings corr vs fresh",21,Q1 - Q4,0.009182,0.002409,3.811041,0.002626,3.496337,1.090010,2163425
"staleness cost, holdings corr vs fresh",63,Q1,0.016395,0.003210,5.107252,0.003554,4.612816,1.107187,2163425
"staleness cost, holdings corr vs fresh",63,Q4,0.002038,0.000459,4.444320,0.000500,4.076741,1.090165,2163425
"staleness cost, holdings corr vs fresh",63,Q1 - Q4,0.014356,0.003161,4.541606,0.003516,4.082787,1.112379,2163425
"staleness cost, holdings corr vs fresh",108,Q1,0.020808,0.003003,6.927929,0.003393,6.132327,1.129739,2163425
"staleness cost, holdings corr vs fresh",108,Q4,0.003790,0.000895,4.233707,0.000957,3.961296,1.068768,2163425
"staleness cost, holdings corr vs fresh",108,Q1 - Q4,0.017018,0.002991,5.690444,0.003392,5.017212,1.134184,2163425
