geometry,regression,channel,age,stratum,coef,se,t,nobs
neutral,holdings cov vs stream,covariance,0,Q1,12056140439.542942,11979075696.237122,1.006433,2896771
neutral,holdings cov vs stream,covariance,0,Q2,11500705649.417137,11509457368.450972,0.999240,2896771
neutral,holdings cov vs stream,covariance,0,Q3,20513916715.889904,20469568834.727047,1.002167,2896771
neutral,holdings cov vs stream,covariance,0,Q4,36207015265.878548,36309752843.738213,0.997171,2896771
neutral,holdings cov vs stream,covariance,21,Q1,14198043534.394783,14088686683.344572,1.007762,2896771
neutral,holdings cov vs stream,covariance,21,Q2,17155957437.184965,17106934348.552080,1.002866,2896771
neutral,holdings cov vs stream,covariance,21,Q3,30137012729.922478,30039662878.982040,1.003241,2896771
neutral,holdings cov vs stream,covariance,21,Q4,75889897714.113770,75967027412.838364,0.998985,2896771
neutral,holdings cov vs stream,covariance,63,Q1,10075782724.876925,9997266528.907499,1.007854,2896771
neutral,holdings cov vs stream,covariance,63,Q2,16822295530.599674,16793683277.173466,1.001704,2896771
neutral,holdings cov vs stream,covariance,63,Q3,30732527071.368164,30635339782.745110,1.003172,2896771
neutral,holdings cov vs stream,covariance,63,Q4,73851840502.707901,73933788377.411316,0.998892,2896771
neutral,holdings cov vs stream,covariance,108,Q1,9950323009.184786,9936436191.351973,1.001398,2896771
neutral,holdings cov vs stream,covariance,108,Q2,7681359902.819215,7726824536.903322,0.994116,2896771
neutral,holdings cov vs stream,covariance,108,Q3,18637025041.005745,18589417688.198566,1.002561,2896771
neutral,holdings cov vs stream,covariance,108,Q4,44270917614.016434,44367559986.948349,0.997822,2896771
neutral,holdings cov vs stream,covariance,0,Q1 - Q4,-24150874826.335606,24461496831.343769,-0.987302,2896771
neutral,holdings cov vs stream,covariance,21,Q1 - Q4,-61691854179.718987,61952084195.755119,-0.995799,2896771
neutral,holdings cov vs stream,covariance,63,Q1 - Q4,-63776057777.830978,63988078581.267288,-0.996687,2896771
neutral,holdings cov vs stream,covariance,108,Q1 - Q4,-34320594604.831650,34582365168.285973,-0.992431,2896771
neutral,blend vs stream,covariance,0,Q1,-1966.176274,1908.955465,-1.029975,2896771
neutral,blend vs stream,covariance,0,Q2,-6883.320094,6806.782744,-1.011244,2896771
neutral,blend vs stream,covariance,0,Q3,-8836.911860,8786.023411,-1.005792,2896771
neutral,blend vs stream,covariance,0,Q4,-23103.673126,23029.127165,-1.003237,2896771
neutral,blend vs stream,covariance,21,Q1,-1728.082912,1676.443150,-1.030803,2896771
neutral,blend vs stream,covariance,21,Q2,-6619.669407,6547.174056,-1.011073,2896771
neutral,blend vs stream,covariance,21,Q3,-8924.274522,8872.237785,-1.005865,2896771
neutral,blend vs stream,covariance,21,Q4,-25490.461497,25410.355621,-1.003152,2896771
neutral,blend vs stream,covariance,63,Q1,-1540.973166,1502.422869,-1.025659,2896771
neutral,blend vs stream,covariance,63,Q2,-6739.297535,6664.175391,-1.011273,2896771
neutral,blend vs stream,covariance,63,Q3,-9192.517062,9140.081610,-1.005737,2896771
neutral,blend vs stream,covariance,63,Q4,-25835.665674,25755.977163,-1.003094,2896771
neutral,blend vs stream,covariance,108,Q1,-1316.213353,1277.397428,-1.030387,2896771
neutral,blend vs stream,covariance,108,Q2,-6061.223175,5994.927012,-1.011059,2896771
neutral,blend vs stream,covariance,108,Q3,-8719.954296,8669.014286,-1.005876,2896771
neutral,blend vs stream,covariance,108,Q4,-24498.953148,24425.479056,-1.003008,2896771
neutral,blend vs stream,covariance,0,Q1 - Q4,21137.496852,21073.522682,1.003036,2896771
neutral,blend vs stream,covariance,21,Q1 - Q4,23762.378586,23692.393826,1.002954,2896771
neutral,blend vs stream,covariance,63,Q1 - Q4,24294.692508,24224.936461,1.002880,2896771
neutral,blend vs stream,covariance,108,Q1 - Q4,23182.739795,23117.592364,1.002818,2896771
neutral,holdings corr vs stream,correlation,0,Q1,-0.005990,0.001814,-3.303007,2896771
neutral,holdings corr vs stream,correlation,0,Q2,-0.005800,0.002058,-2.818753,2896771
neutral,holdings corr vs stream,correlation,0,Q3,-0.004607,0.001618,-2.846594,2896771
neutral,holdings corr vs stream,correlation,0,Q4,-0.003723,0.002052,-1.813979,2896771
neutral,holdings corr vs stream,correlation,21,Q1,0.004146,0.002429,1.706647,2896771
neutral,holdings corr vs stream,correlation,21,Q2,-0.003343,0.001789,-1.869056,2896771
neutral,holdings corr vs stream,correlation,21,Q3,-0.002912,0.001552,-1.875812,2896771
neutral,holdings corr vs stream,correlation,21,Q4,-0.002626,0.001995,-1.316410,2896771
neutral,holdings corr vs stream,correlation,63,Q1,0.011381,0.002989,3.807325,2896771
neutral,holdings corr vs stream,correlation,63,Q2,-0.000327,0.001859,-0.175639,2896771
neutral,holdings corr vs stream,correlation,63,Q3,-0.001158,0.001581,-0.732372,2896771
neutral,holdings corr vs stream,correlation,63,Q4,-0.001016,0.002042,-0.497814,2896771
neutral,holdings corr vs stream,correlation,108,Q1,0.015766,0.002826,5.578662,2896771
neutral,holdings corr vs stream,correlation,108,Q2,0.003309,0.001869,1.770830,2896771
neutral,holdings corr vs stream,correlation,108,Q3,0.001348,0.001610,0.837576,2896771
neutral,holdings corr vs stream,correlation,108,Q4,0.000345,0.002452,0.140685,2896771
neutral,holdings corr vs stream,correlation,0,Q1 - Q4,-0.002268,0.002518,-0.900708,2896771
neutral,holdings corr vs stream,correlation,21,Q1 - Q4,0.006772,0.002977,2.274781,2896771
neutral,holdings corr vs stream,correlation,63,Q1 - Q4,0.012397,0.003407,3.638728,2896771
neutral,holdings corr vs stream,correlation,108,Q1 - Q4,0.015421,0.003479,4.432545,2896771
neutral,blend corr vs stream,correlation,0,Q1,-0.006749,0.001755,-3.845645,2896771
neutral,blend corr vs stream,correlation,0,Q2,-0.005808,0.002051,-2.832254,2896771
neutral,blend corr vs stream,correlation,0,Q3,-0.004614,0.001615,-2.856469,2896771
neutral,blend corr vs stream,correlation,0,Q4,-0.003729,0.002050,-1.818610,2896771
neutral,blend corr vs stream,correlation,21,Q1,0.001139,0.001777,0.641169,2896771
neutral,blend corr vs stream,correlation,21,Q2,-0.003387,0.001770,-1.912956,2896771
neutral,blend corr vs stream,correlation,21,Q3,-0.002940,0.001543,-1.905886,2896771
