geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,covariance,holdings cov,future,0.75-0.85,476,9946,1.052201,0.972055,1.138656,0.384454
neutral,covariance,"holdings corr, stream vol",future,0.75-0.85,476,9946,1.043211,0.972710,1.113225,0.315126
neutral,covariance,"blend, pair weight",future,0.75-0.85,476,9946,1.032662,0.969322,1.091137,0.331933
neutral,correlation,holdings corr,future,0.75-0.85,476,9946,0.921757,0.813667,0.989508,0.657563
neutral,correlation,blend corr,future,0.75-0.85,476,9946,0.908258,0.797401,0.973137,0.684874
neutral,correlation,factor corr K5,future,0.75-0.85,475,9934,1.038734,0.993479,1.067792,0.317895
neutral,correlation,factor corr K10,future,0.75-0.85,475,9934,1.009659,0.974769,1.032901,0.520000
neutral,correlation,"proxy factor corr, core 13",future,0.75-0.85,474,9717,0.994406,0.967553,1.008982,0.592827
neutral,correlation,"proxy factor corr, extended 22",future,0.75-0.85,454,9078,1.004845,0.989157,1.016521,0.506608
neutral,covariance,holdings cov,future,0.85-0.95,2401,54776,0.998967,0.976028,1.008557,0.440650
neutral,covariance,"holdings corr, stream vol",future,0.85-0.95,2401,54776,0.995869,0.983343,1.001697,0.495210
neutral,covariance,"blend, pair weight",future,0.85-0.95,2401,54776,0.995682,0.983378,1.001388,0.503124
neutral,correlation,holdings corr,future,0.85-0.95,2401,54776,0.952419,0.921808,0.978102,0.653061
neutral,correlation,blend corr,future,0.85-0.95,2401,54776,0.950990,0.920013,0.976801,0.661808
neutral,correlation,factor corr K5,future,0.85-0.95,2400,54744,1.048891,1.016545,1.081831,0.427083
neutral,correlation,factor corr K10,future,0.85-0.95,2389,54595,1.014514,0.994177,1.035198,0.496442
neutral,correlation,"proxy factor corr, core 13",future,0.85-0.95,2374,54097,0.986936,0.974345,0.998739,0.642797
neutral,correlation,"proxy factor corr, extended 22",future,0.85-0.95,2344,52554,0.990190,0.976950,1.003862,0.636519
neutral,covariance,holdings cov,future,<0.75,161,3496,1.204676,0.977223,2.089353,0.149068
neutral,covariance,"holdings corr, stream vol",future,<0.75,161,3496,1.087032,0.930370,1.264715,0.229814
neutral,covariance,"blend, pair weight",future,<0.75,161,3496,1.063277,0.927111,1.181769,0.304348
neutral,correlation,holdings corr,future,<0.75,161,3496,1.044973,0.899355,1.142524,0.416149
neutral,correlation,blend corr,future,<0.75,161,3496,0.975210,0.860351,1.047642,0.527950
neutral,correlation,factor corr K5,future,<0.75,161,3496,1.049615,0.987471,1.175689,0.409938
neutral,correlation,factor corr K10,future,<0.75,161,3496,1.021831,0.973874,1.130388,0.577640
neutral,correlation,"proxy factor corr, core 13",future,<0.75,160,3484,1.010604,0.974942,1.092900,0.662500
neutral,correlation,"proxy factor corr, extended 22",future,<0.75,160,3478,1.009282,0.975039,1.088035,0.656250
neutral,covariance,holdings cov,future,>0.95,20112,501979,1.009783,0.995077,1.019786,0.269342
neutral,covariance,"holdings corr, stream vol",future,>0.95,20112,501979,0.994699,0.982700,1.000947,0.518298
neutral,covariance,"blend, pair weight",future,>0.95,20112,501979,0.994696,0.982707,1.000933,0.518546
neutral,correlation,holdings corr,future,>0.95,20112,501979,0.980259,0.964575,0.994930,0.576770
neutral,correlation,blend corr,future,>0.95,20112,501979,0.980168,0.964565,0.994797,0.577466
neutral,correlation,factor corr K5,future,>0.95,20075,500636,1.035930,1.013829,1.061441,0.529215
neutral,correlation,factor corr K10,future,>0.95,20063,500141,0.999616,0.982816,1.017112,0.594178
neutral,correlation,"proxy factor corr, core 13",future,>0.95,19879,497046,0.981412,0.969300,0.993244,0.699381
neutral,correlation,"proxy factor corr, extended 22",future,>0.95,19754,489428,0.982277,0.971402,0.993548,0.737370
neutral,covariance,holdings cov,0,0.75-0.85,471,9784,1.036923,0.968703,1.115366,0.486200
neutral,covariance,"holdings corr, stream vol",0,0.75-0.85,471,9784,1.028900,0.966911,1.091870,0.360934
neutral,covariance,"blend, pair weight",0,0.75-0.85,471,9784,1.021022,0.964972,1.073402,0.369427
neutral,correlation,holdings corr,0,0.75-0.85,471,9784,0.930427,0.830916,0.983150,0.660297
neutral,correlation,blend corr,0,0.75-0.85,471,9784,0.918461,0.812038,0.968625,0.692144
neutral,correlation,factor corr K5,0,0.75-0.85,471,9784,1.038173,0.993509,1.067598,0.322718
neutral,correlation,factor corr K10,0,0.75-0.85,471,9784,1.009797,0.970921,1.032975,0.513800
neutral,correlation,"proxy factor corr, core 13",0,0.75-0.85,470,9568,0.994816,0.961467,1.008744,0.587234
neutral,correlation,"proxy factor corr, extended 22",0,0.75-0.85,449,8921,1.005353,0.988830,1.015979,0.496659
neutral,covariance,holdings cov,0,0.85-0.95,2411,54757,0.999884,0.979598,1.007980,0.437993
neutral,covariance,"holdings corr, stream vol",0,0.85-0.95,2411,54757,0.997008,0.986236,1.001540,0.482787
neutral,covariance,"blend, pair weight",0,0.85-0.95,2411,54757,0.996914,0.986308,1.001343,0.490253
neutral,correlation,holdings corr,0,0.85-0.95,2411,54757,0.956645,0.934603,0.974220,0.663625
neutral,correlation,blend corr,0,0.85-0.95,2411,54757,0.955515,0.933152,0.973113,0.673165
neutral,correlation,factor corr K5,0,0.85-0.95,2410,54725,1.048606,1.014707,1.078645,0.425726
neutral,correlation,factor corr K10,0,0.85-0.95,2388,54434,1.014308,0.992624,1.033562,0.499581
neutral,correlation,"proxy factor corr, core 13",0,0.85-0.95,2373,53936,0.987020,0.973388,0.997602,0.641804
neutral,correlation,"proxy factor corr, extended 22",0,0.85-0.95,2343,52394,0.990343,0.976491,1.003901,0.636790
neutral,covariance,holdings cov,0,<0.75,179,3746,1.111258,1.066862,1.804268,0.229050
neutral,covariance,"holdings corr, stream vol",0,<0.75,179,3746,1.057272,1.014142,1.109212,0.296089
neutral,covariance,"blend, pair weight",0,<0.75,179,3746,1.038085,0.987049,1.057293,0.357542
neutral,correlation,holdings corr,0,<0.75,179,3746,1.127734,0.908972,1.303913,0.368715
neutral,correlation,blend corr,0,<0.75,179,3746,1.060494,0.880299,1.203016,0.452514
neutral,correlation,factor corr K5,0,<0.75,179,3746,1.046085,0.986648,1.161620,0.446927
neutral,correlation,factor corr K10,0,<0.75,179,3746,1.021070,0.976125,1.118620,0.541899
neutral,correlation,"proxy factor corr, core 13",0,<0.75,178,3733,1.010028,0.975525,1.091361,0.646067
neutral,correlation,"proxy factor corr, extended 22",0,<0.75,178,3727,1.008607,0.975156,1.085563,0.662921
neutral,covariance,holdings cov,0,>0.95,20105,502232,1.007453,0.991527,1.017396,0.286247
neutral,covariance,"holdings corr, stream vol",0,>0.95,20105,502232,0.994266,0.982484,1.000633,0.517334
neutral,covariance,"blend, pair weight",0,>0.95,20105,502232,0.994266,0.982497,1.000624,0.517632
neutral,correlation,holdings corr,0,>0.95,20105,502232,0.979878,0.964463,0.994065,0.583487
neutral,correlation,blend corr,0,>0.95,20105,502232,0.979802,0.964419,0.993903,0.584780
neutral,correlation,factor corr K5,0,>0.95,20067,500877,1.036036,1.013753,1.060195,0.529576
neutral,correlation,factor corr K10,0,>0.95,20056,500394,0.999694,0.983356,1.016798,0.594037
neutral,correlation,"proxy factor corr, core 13",0,>0.95,19873,497309,0.981484,0.969148,0.993255,0.699341
neutral,correlation,"proxy factor corr, extended 22",0,>0.95,19749,489700,0.982353,0.971208,0.993317,0.737151
neutral,covariance,holdings cov,21,0.75-0.85,473,9836,1.056512,1.005317,1.107639,0.355180
neutral,covariance,"holdings corr, stream vol",21,0.75-0.85,473,9836,1.035918,0.999405,1.084797,0.266385
neutral,covariance,"blend, pair weight",21,0.75-0.85,473,9836,1.016153,0.992340,1.042159,0.321353
neutral,correlation,holdings corr,21,0.75-0.85,473,9836,1.072912,0.965372,1.177887,0.412262
neutral,correlation,blend corr,21,0.75-0.85,473,9836,1.022492,0.935329,1.102836,0.467230
neutral,correlation,factor corr K5,21,0.75-0.85,473,9836,1.042103,1.007899,1.070694,0.310782
neutral,correlation,factor corr K10,21,0.75-0.85,473,9836,1.013803,0.986798,1.035165,0.505285
neutral,correlation,"proxy factor corr, core 13",21,0.75-0.85,472,9621,0.998632,0.980754,1.010219,0.578390
neutral,correlation,"proxy factor corr, extended 22",21,0.75-0.85,462,9109,1.005024,0.988999,1.016318,0.502165
neutral,covariance,holdings cov,21,0.85-0.95,2415,54946,0.985837,0.976131,0.995970,0.592133
