geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,covariance,holdings cov,future,Q1,5508,127336,1.001771,0.995350,1.007990,0.391249
neutral,covariance,"holdings corr, stream vol",future,Q1,5508,127336,0.998188,0.993245,1.002038,0.488017
neutral,covariance,"blend, pair weight",future,Q1,5508,127336,0.997822,0.992924,1.001578,0.497640
neutral,correlation,holdings corr,future,Q1,5508,127336,0.956380,0.932606,0.979019,0.636892
neutral,correlation,blend corr,future,Q1,5508,127336,0.950983,0.926255,0.973714,0.649419
neutral,correlation,factor corr K5,future,Q1,5506,127262,1.051222,1.026573,1.079538,0.438068
neutral,correlation,factor corr K10,future,Q1,5489,127013,1.014980,0.997577,1.035550,0.521042
neutral,correlation,"proxy factor corr, core 13",future,Q1,5460,125924,0.986458,0.974121,0.998088,0.656227
neutral,correlation,"proxy factor corr, extended 22",future,Q1,5353,122560,0.988544,0.976809,1.000412,0.666355
neutral,covariance,holdings cov,future,Q2,5089,103673,1.011858,1.006656,1.018714,0.258990
neutral,covariance,"holdings corr, stream vol",future,Q2,5089,103673,1.000080,0.996458,1.002806,0.456475
neutral,covariance,"blend, pair weight",future,Q2,5089,103673,1.000061,0.996452,1.002771,0.457064
neutral,correlation,holdings corr,future,Q2,5089,103673,0.974237,0.952429,0.993449,0.576931
neutral,correlation,blend corr,future,Q2,5089,103673,0.974120,0.952355,0.993186,0.578306
neutral,correlation,factor corr K5,future,Q2,5085,103594,1.073642,1.030748,1.122980,0.451721
neutral,correlation,factor corr K10,future,Q2,5082,103534,1.025599,0.995888,1.057230,0.506494
neutral,correlation,"proxy factor corr, core 13",future,Q2,5066,103037,0.976976,0.956675,0.993041,0.640742
neutral,correlation,"proxy factor corr, extended 22",future,Q2,4969,100627,0.982192,0.968026,0.993394,0.674582
neutral,covariance,holdings cov,future,Q3,5074,94439,1.012061,1.006827,1.018387,0.256996
neutral,covariance,"holdings corr, stream vol",future,Q3,5074,94439,0.999532,0.996264,1.002621,0.466890
neutral,covariance,"blend, pair weight",future,Q3,5074,94439,0.999531,0.996270,1.002608,0.467284
neutral,correlation,holdings corr,future,Q3,5074,94439,0.989895,0.974774,1.003611,0.532322
neutral,correlation,blend corr,future,Q3,5074,94439,0.989829,0.974760,1.003502,0.533701
neutral,correlation,factor corr K5,future,Q3,5071,94238,1.076043,1.037595,1.122161,0.463222
neutral,correlation,factor corr K10,future,Q3,5067,94026,1.026876,1.000911,1.058619,0.516677
neutral,correlation,"proxy factor corr, core 13",future,Q3,5053,93729,0.987339,0.973558,0.999949,0.631704
neutral,correlation,"proxy factor corr, extended 22",future,Q3,4889,91032,0.984686,0.971769,0.995828,0.677439
neutral,covariance,holdings cov,future,Q4,5441,126968,1.004839,0.981363,1.021449,0.247565
neutral,covariance,"holdings corr, stream vol",future,Q4,5441,126968,0.991254,0.971116,1.001868,0.530601
neutral,covariance,"blend, pair weight",future,Q4,5441,126968,0.991253,0.971124,1.001859,0.530601
neutral,correlation,holdings corr,future,Q4,5441,126968,0.986602,0.964590,1.007763,0.550634
neutral,correlation,blend corr,future,Q4,5441,126968,0.986572,0.964584,1.007693,0.551002
neutral,correlation,factor corr K5,future,Q4,5418,126462,1.056581,1.027848,1.092512,0.504614
neutral,correlation,factor corr K10,future,Q4,5403,126246,1.014417,0.993274,1.038340,0.582454
neutral,correlation,"proxy factor corr, core 13",future,Q4,5366,125693,0.994288,0.978542,1.011374,0.702944
neutral,correlation,"proxy factor corr, extended 22",future,Q4,5311,123552,0.993548,0.981776,1.008720,0.765393
neutral,covariance,holdings cov,0,Q1,5544,127740,1.000464,0.993954,1.006089,0.403680
neutral,covariance,"holdings corr, stream vol",0,Q1,5544,127740,0.998201,0.994426,1.001825,0.476010
neutral,covariance,"blend, pair weight",0,Q1,5544,127740,0.997933,0.994177,1.001493,0.485029
neutral,correlation,holdings corr,0,Q1,5544,127740,0.965598,0.944805,0.987424,0.637266
neutral,correlation,blend corr,0,Q1,5544,127740,0.960345,0.939543,0.981124,0.650433
neutral,correlation,factor corr K5,0,Q1,5542,127666,1.050946,1.026129,1.081823,0.440455
neutral,correlation,factor corr K10,0,Q1,5531,127474,1.014876,0.996864,1.034339,0.520882
neutral,correlation,"proxy factor corr, core 13",0,Q1,5494,126281,0.986652,0.975993,0.997306,0.653986
neutral,correlation,"proxy factor corr, extended 22",0,Q1,5381,122847,0.988697,0.977881,0.999345,0.666791
neutral,covariance,holdings cov,0,Q2,5092,103958,1.010530,1.005134,1.016101,0.276316
neutral,covariance,"holdings corr, stream vol",0,Q2,5092,103958,0.999772,0.995920,1.002311,0.440888
neutral,covariance,"blend, pair weight",0,Q2,5092,103958,0.999758,0.995922,1.002277,0.441084
neutral,correlation,holdings corr,0,Q2,5092,103958,0.972302,0.951251,0.989291,0.595837
neutral,correlation,blend corr,0,Q2,5092,103958,0.972226,0.951258,0.989050,0.596819
neutral,correlation,factor corr K5,0,Q2,5088,103879,1.073567,1.028858,1.116939,0.452044
neutral,correlation,factor corr K10,0,Q2,5085,103819,1.025609,0.996004,1.053526,0.505998
neutral,correlation,"proxy factor corr, core 13",0,Q2,5069,103322,0.977061,0.957427,0.992681,0.640758
neutral,correlation,"proxy factor corr, extended 22",0,Q2,4972,100910,0.982267,0.967954,0.992999,0.674578
neutral,covariance,holdings cov,0,Q3,5074,94456,1.010711,1.006243,1.015747,0.256405
neutral,covariance,"holdings corr, stream vol",0,Q3,5074,94456,0.998373,0.995297,1.000907,0.463343
neutral,covariance,"blend, pair weight",0,Q3,5074,94456,0.998377,0.995302,1.000900,0.463737
neutral,correlation,holdings corr,0,Q3,5074,94456,0.988671,0.973302,1.003573,0.541387
neutral,correlation,blend corr,0,Q3,5074,94456,0.988616,0.973305,1.003444,0.541782
neutral,correlation,factor corr K5,0,Q3,5071,94255,1.076084,1.039021,1.123421,0.463025
neutral,correlation,factor corr K10,0,Q3,5067,94043,1.026904,0.999942,1.060126,0.516677
neutral,correlation,"proxy factor corr, core 13",0,Q3,5053,93746,0.987347,0.973196,0.999713,0.632298
neutral,correlation,"proxy factor corr, extended 22",0,Q3,4889,91048,0.984696,0.971098,0.996843,0.677439
neutral,covariance,holdings cov,0,Q4,5442,127022,1.002849,0.976672,1.018916,0.255972
neutral,covariance,"holdings corr, stream vol",0,Q4,5442,127022,0.991252,0.969815,1.001651,0.520948
neutral,covariance,"blend, pair weight",0,Q4,5442,127022,0.991252,0.969825,1.001643,0.521132
neutral,correlation,holdings corr,0,Q4,5442,127022,0.986071,0.963446,1.005438,0.553840
neutral,correlation,blend corr,0,Q4,5442,127022,0.986046,0.963443,1.005386,0.553840
