geometry,age,stratum,fund_dates,rmse_ratio_holdings_vol_to_stream,mean_loss_diff_over_noise
neutral,future,unstratified/placebo,8,3.7446,-30.3190
neutral,future,Q1,2622,0.9605,30.2746
neutral,future,Q2,1992,1.0033,0.5346
neutral,future,Q3,2390,0.9953,0.4191
neutral,future,Q4,6217,1.0096,-36045696939605108243562496.0000
neutral,0,unstratified/placebo,8,3.7063,-33.7627
neutral,0,Q1,2619,0.9481,20.4404
neutral,0,Q2,1995,1.0047,0.5059
neutral,0,Q3,2390,1.0040,0.7226
neutral,0,Q4,6219,1.0086,-36071985788515328880279552.0000
neutral,21,unstratified/placebo,8,3.6691,-35.4537
neutral,21,Q1,2620,0.9938,23.6899
neutral,21,Q2,1995,1.0008,0.3930
neutral,21,Q3,2391,1.0139,0.5408
neutral,21,Q4,6216,1.0003,-35909911314556416075759616.0000
neutral,63,unstratified/placebo,5,1.4996,-83.2287
neutral,63,Q1,2620,0.9808,61.9268
neutral,63,Q2,1996,1.0300,0.7939
neutral,63,Q3,2392,1.0065,0.5585
neutral,63,Q4,6218,1.0085,-36429366262790189521829888.0000
neutral,108,Q1,2610,1.1564,58.5825
neutral,108,Q2,1994,1.0396,1.3436
neutral,108,Q3,2388,1.0272,0.7123
neutral,108,Q4,6215,1.0217,-38402373899073263434203136.0000
