band,age,pairs,pair_dates,switch/stream,switch/stream lo,switch/stream hi,article/stream,article/stream lo,article/stream hi,holdings/stream,holdings/stream lo,holdings/stream hi,better record,switch/better,article/better
<0.75,0,124,2851,1.164364,,,1.164364,,,1.164364,,,1.000000,1.164364,1.164364
0.75-0.85,0,343,6479,0.935055,,,0.935055,,,0.935055,,,0.935055,1.000000,1.000000
0.85-0.95,0,2015,43029,0.976596,0.958196,0.992893,0.976596,0.958196,0.992893,0.976596,0.958196,0.992893,0.976596,1.000000,1.000000
>0.95,0,19202,429166,0.982196,0.966812,0.998320,0.982196,0.966812,0.998320,0.982196,0.966812,0.998320,0.982196,1.000000,1.000000
<0.75,21,124,2861,1.000000,,,1.000000,,,1.334320,,,1.000000,1.000000,1.000000
0.75-0.85,21,345,6510,1.108205,,,1.108205,,,1.108205,,,1.000000,1.108205,1.108205
0.85-0.95,21,2019,43169,1.000000,1.000000,1.000000,0.997286,0.973846,1.021627,0.997286,0.973846,1.021627,0.997286,1.002721,1.000000
>0.95,21,19114,427859,0.990323,0.973635,1.004247,0.990323,0.973635,1.004247,0.990323,0.973635,1.004247,0.990323,1.000000,1.000000
<0.75,63,128,2925,1.000000,,,1.000000,,,1.407559,,,1.000000,1.000000,1.000000
0.75-0.85,63,351,6630,1.000000,,,1.000000,,,1.207336,,,1.000000,1.000000,1.000000
0.85-0.95,63,2017,43113,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.016713,0.990322,1.048099,1.000000,1.000000,1.000000
>0.95,63,19131,427885,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.002053,0.986993,1.015387,1.000000,1.000000,1.000000
<0.75,108,128,2924,1.000000,,,1.000000,,,1.437409,,,1.000000,1.000000,1.000000
0.75-0.85,108,350,6601,1.000000,,,1.000000,,,1.222685,,,1.000000,1.000000,1.000000
0.85-0.95,108,2010,42818,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.043666,1.014088,1.078059,1.000000,1.000000,1.000000
>0.95,108,19114,427091,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.018550,1.004934,1.031711,1.000000,1.000000,1.000000
