band,age,pairs,blocks,ratio,funds lo,funds hi,blocks lo,blocks hi,crossed lo,crossed hi
<0.75,21,182,20,1.291743,0.990468,1.454907,1.201756,1.385612,0.938780,1.526340
0.75-0.85,21,473,31,1.072911,0.968765,1.172176,0.978626,1.149030,0.914783,1.213160
0.85-0.95,21,2415,32,0.990038,0.970600,1.014622,0.972278,1.009801,0.958092,1.024388
>0.95,21,20018,32,0.988854,0.974804,1.002368,0.971236,0.998978,0.962198,1.005436
<0.75,63,186,20,1.357978,1.092143,1.469929,1.214321,1.496132,1.083428,1.579713
0.75-0.85,63,484,31,1.180602,1.074348,1.288914,1.101487,1.263440,1.037410,1.334584
0.85-0.95,63,2414,32,1.021900,0.997958,1.056176,1.002719,1.046521,0.989121,1.072808
>0.95,63,20033,32,1.002405,0.988210,1.014040,0.984724,1.013541,0.978099,1.021666
<0.75,108,184,20,1.403691,1.161642,1.523520,1.313218,1.497734,1.066819,1.599489
0.75-0.85,108,483,31,1.177438,1.080779,1.279480,1.102592,1.275095,1.035303,1.349783
0.85-0.95,108,2404,32,1.057746,1.030185,1.094653,1.040874,1.081783,1.017270,1.116160
>0.95,108,20016,32,1.020309,1.006394,1.033580,1.006001,1.033184,0.997312,1.040337
