geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,covariance,holdings cov,future,0.75-0.85,255,5399,1.031355,0.947322,1.161212,0.435294
neutral,covariance,"holdings corr, stream vol",future,0.75-0.85,255,5399,0.994119,0.948478,1.017645,0.462745
neutral,covariance,"blend, pair weight",future,0.75-0.85,255,5399,0.991669,0.943224,1.015055,0.478431
neutral,correlation,holdings corr,future,0.75-0.85,255,5399,0.876225,0.720707,0.961959,0.694118
neutral,correlation,blend corr,future,0.75-0.85,255,5399,0.860666,0.707140,0.950280,0.721569
neutral,correlation,factor corr K5,future,0.75-0.85,255,5399,1.028123,0.970456,1.072279,0.431373
neutral,correlation,factor corr K10,future,0.75-0.85,255,5399,1.001156,0.948019,1.033111,0.603922
neutral,correlation,"proxy factor corr, core 13",future,0.75-0.85,255,5399,0.990176,0.939385,1.011472,0.686275
neutral,correlation,"proxy factor corr, extended 22",future,0.75-0.85,239,5142,1.000008,0.982616,1.012201,0.682008
neutral,covariance,holdings cov,future,0.85-0.95,377,8244,1.031143,1.005416,1.102479,0.305040
neutral,covariance,"holdings corr, stream vol",future,0.85-0.95,377,8244,1.010233,1.002439,1.024611,0.305040
neutral,covariance,"blend, pair weight",future,0.85-0.95,377,8244,1.009747,1.001743,1.023185,0.312997
neutral,correlation,holdings corr,future,0.85-0.95,377,8244,0.901418,0.820352,0.962749,0.721485
neutral,correlation,blend corr,future,0.85-0.95,377,8244,0.898100,0.817636,0.958642,0.724138
neutral,correlation,factor corr K5,future,0.85-0.95,377,8244,1.050710,1.008520,1.101183,0.403183
neutral,correlation,factor corr K10,future,0.85-0.95,377,8242,1.023044,0.994845,1.056174,0.480106
neutral,correlation,"proxy factor corr, core 13",future,0.85-0.95,376,8211,0.997947,0.979860,1.018700,0.579787
neutral,correlation,"proxy factor corr, extended 22",future,0.85-0.95,375,8128,0.997140,0.981657,1.014812,0.600000
neutral,covariance,holdings cov,future,<0.75,125,2999,1.226891,1.100833,2.039931,0.096000
neutral,covariance,"holdings corr, stream vol",future,<0.75,125,2999,1.101900,1.043182,1.275671,0.184000
neutral,covariance,"blend, pair weight",future,<0.75,125,2999,1.076271,1.037068,1.193845,0.240000
neutral,correlation,holdings corr,future,<0.75,125,2999,1.047086,0.755790,1.152694,0.432000
neutral,correlation,blend corr,future,<0.75,125,2999,0.969004,0.687990,1.046975,0.544000
neutral,correlation,factor corr K5,future,<0.75,125,2999,1.058913,0.995806,1.297266,0.384000
neutral,correlation,factor corr K10,future,<0.75,125,2999,1.028219,0.978724,1.232418,0.552000
neutral,correlation,"proxy factor corr, core 13",future,<0.75,125,2999,1.014887,0.977568,1.148300,0.648000
neutral,correlation,"proxy factor corr, extended 22",future,<0.75,125,2993,1.013677,0.977391,1.139250,0.640000
neutral,covariance,holdings cov,future,>0.95,957,22517,0.996693,0.976540,1.019660,0.590387
neutral,covariance,"holdings corr, stream vol",future,>0.95,957,22517,0.997244,0.992963,1.001655,0.537095
neutral,covariance,"blend, pair weight",future,>0.95,957,22517,0.997230,0.992973,1.001613,0.537095
neutral,correlation,holdings corr,future,>0.95,957,22517,0.930745,0.875590,0.973601,0.729363
neutral,correlation,blend corr,future,>0.95,957,22517,0.930583,0.875732,0.973232,0.731452
neutral,correlation,factor corr K5,future,>0.95,957,22517,1.023947,0.984965,1.078465,0.526646
neutral,correlation,factor corr K10,future,>0.95,957,22517,0.987564,0.961932,1.018816,0.623824
neutral,correlation,"proxy factor corr, core 13",future,>0.95,957,22457,0.973314,0.960765,0.985209,0.811912
neutral,correlation,"proxy factor corr, extended 22",future,>0.95,956,22208,0.974538,0.963886,0.984340,0.831590
neutral,covariance,holdings cov,0,0.75-0.85,255,5405,1.008856,0.952981,1.106973,0.545098
neutral,covariance,"holdings corr, stream vol",0,0.75-0.85,255,5405,0.987366,0.946054,1.007744,0.498039
neutral,covariance,"blend, pair weight",0,0.75-0.85,255,5405,0.985927,0.946058,1.006714,0.505882
neutral,correlation,holdings corr,0,0.75-0.85,255,5405,0.900512,0.735095,0.969956,0.662745
neutral,correlation,blend corr,0,0.75-0.85,255,5405,0.885894,0.726819,0.956898,0.694118
neutral,correlation,factor corr K5,0,0.75-0.85,255,5405,1.028507,0.964401,1.075168,0.431373
neutral,correlation,factor corr K10,0,0.75-0.85,255,5405,1.001412,0.938588,1.032604,0.596078
neutral,correlation,"proxy factor corr, core 13",0,0.75-0.85,255,5405,0.990323,0.934954,1.010228,0.686275
neutral,correlation,"proxy factor corr, extended 22",0,0.75-0.85,239,5148,1.000123,0.982401,1.011599,0.682008
neutral,covariance,holdings cov,0,0.85-0.95,377,8296,1.025009,0.997293,1.104905,0.350133
neutral,covariance,"holdings corr, stream vol",0,0.85-0.95,377,8296,1.005650,0.992110,1.032838,0.336870
