geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,covariance,holdings cov,future,Q1,460,10096,1.149297,1.044889,1.308191,0.252174
neutral,covariance,"holdings corr, stream vol",future,Q1,460,10096,1.046381,1.003818,1.105144,0.363043
neutral,covariance,"blend, pair weight",future,Q1,460,10096,1.033553,0.998395,1.073591,0.397826
neutral,correlation,holdings corr,future,Q1,460,10096,0.939942,0.826083,1.041264,0.550000
neutral,correlation,blend corr,future,Q1,460,10096,0.905066,0.803293,0.993186,0.613043
neutral,correlation,factor corr K5,future,Q1,460,10096,1.035601,0.995206,1.083757,0.423913
neutral,correlation,factor corr K10,future,Q1,460,10096,1.008200,0.973059,1.041889,0.591304
neutral,correlation,"proxy factor corr, core 13",future,Q1,460,10096,0.995897,0.966724,1.022498,0.665217
neutral,correlation,"proxy factor corr, extended 22",future,Q1,457,9958,1.001677,0.985052,1.023364,0.656455
neutral,covariance,holdings cov,future,Q2,397,8945,1.017464,0.993994,1.069517,0.355164
neutral,covariance,"holdings corr, stream vol",future,Q2,397,8945,1.002293,0.988681,1.014399,0.377834
neutral,covariance,"blend, pair weight",future,Q2,397,8945,1.001978,0.988240,1.013703,0.377834
neutral,correlation,holdings corr,future,Q2,397,8945,0.890261,0.824200,0.948357,0.768262
neutral,correlation,blend corr,future,Q2,397,8945,0.887549,0.823524,0.944224,0.768262
neutral,correlation,factor corr K5,future,Q2,397,8945,1.043496,1.006594,1.094026,0.428212
neutral,correlation,factor corr K10,future,Q2,396,8932,1.016955,0.990385,1.047136,0.532828
neutral,correlation,"proxy factor corr, core 13",future,Q2,396,8914,0.994503,0.976956,1.010498,0.611111
neutral,correlation,"proxy factor corr, extended 22",future,Q2,396,8842,0.993115,0.977155,1.007196,0.628788
neutral,covariance,holdings cov,future,Q3,415,9725,1.003420,0.980718,1.030723,0.474699
neutral,covariance,"holdings corr, stream vol",future,Q3,415,9725,0.998960,0.992610,1.005661,0.486747
neutral,covariance,"blend, pair weight",future,Q3,415,9725,0.998935,0.992658,1.005570,0.486747
neutral,correlation,holdings corr,future,Q3,415,9725,0.907063,0.847225,0.956073,0.742169
neutral,correlation,blend corr,future,Q3,415,9725,0.906870,0.847287,0.955894,0.751807
neutral,correlation,factor corr K5,future,Q3,415,9725,1.057577,1.000258,1.137107,0.450602
neutral,correlation,factor corr K10,future,Q3,415,9725,1.016948,0.981066,1.059960,0.520482
neutral,correlation,"proxy factor corr, core 13",future,Q3,414,9701,0.983921,0.965852,1.001157,0.712560
neutral,correlation,"proxy factor corr, extended 22",future,Q3,414,9632,0.983684,0.966550,0.999270,0.717391
neutral,covariance,holdings cov,future,Q4,412,8976,0.985214,0.951907,1.003865,0.589806
neutral,covariance,"holdings corr, stream vol",future,Q4,412,8976,0.995076,0.989776,0.999642,0.565534
neutral,covariance,"blend, pair weight",future,Q4,412,8976,0.995075,0.989788,0.999639,0.565534
neutral,correlation,holdings corr,future,Q4,412,8976,0.975491,0.936553,1.000414,0.713592
neutral,correlation,blend corr,future,Q4,412,8976,0.975448,0.936485,1.000388,0.713592
neutral,correlation,factor corr K5,future,Q4,412,8976,1.013276,0.960475,1.081186,0.519417
neutral,correlation,factor corr K10,future,Q4,412,8976,0.965979,0.928685,0.997618,0.611650
neutral,correlation,"proxy factor corr, core 13",future,Q4,412,8956,0.959916,0.930016,0.978007,0.859223
neutral,correlation,"proxy factor corr, extended 22",future,Q4,411,8827,0.964587,0.942535,0.979308,0.878345
neutral,covariance,holdings cov,0,Q1,460,10113,1.090269,1.026816,1.181218,0.334783
neutral,covariance,"holdings corr, stream vol",0,Q1,460,10113,1.025466,0.996499,1.059454,0.395652
neutral,covariance,"blend, pair weight",0,Q1,460,10113,1.016276,0.988865,1.040937,0.428261
neutral,correlation,holdings corr,0,Q1,460,10113,0.982992,0.857397,1.103550,0.521739
neutral,correlation,blend corr,0,Q1,460,10113,0.948935,0.838543,1.049870,0.573913
neutral,correlation,factor corr K5,0,Q1,460,10113,1.036091,0.996008,1.082522,0.423913
neutral,correlation,factor corr K10,0,Q1,460,10113,1.008567,0.974297,1.042329,0.584783
neutral,correlation,"proxy factor corr, core 13",0,Q1,460,10113,0.996216,0.965638,1.020811,0.665217
neutral,correlation,"proxy factor corr, extended 22",0,Q1,457,9975,1.001990,0.985400,1.022347,0.656455
neutral,covariance,holdings cov,0,Q2,397,8999,1.017056,0.994376,1.068746,0.382872
neutral,covariance,"holdings corr, stream vol",0,Q2,397,8999,1.001902,0.990485,1.017150,0.387909
neutral,covariance,"blend, pair weight",0,Q2,397,8999,1.001591,0.990225,1.016355,0.392947
neutral,correlation,holdings corr,0,Q2,397,8999,0.915307,0.862507,0.973471,0.692695
neutral,correlation,blend corr,0,Q2,397,8999,0.912082,0.858541,0.969729,0.702771
neutral,correlation,factor corr K5,0,Q2,397,8999,1.043636,1.007262,1.098697,0.425693
neutral,correlation,factor corr K10,0,Q2,396,8986,1.017105,0.991934,1.047078,0.535354
neutral,correlation,"proxy factor corr, core 13",0,Q2,396,8968,0.994761,0.978076,1.011221,0.611111
neutral,correlation,"proxy factor corr, extended 22",0,Q2,396,8896,0.993377,0.978784,1.007730,0.628788
neutral,covariance,holdings cov,0,Q3,416,9751,0.999948,0.978072,1.028447,0.466346
neutral,covariance,"holdings corr, stream vol",0,Q3,416,9751,0.998402,0.992684,1.005162,0.528846
neutral,covariance,"blend, pair weight",0,Q3,416,9751,0.998381,0.992728,1.005051,0.528846
neutral,correlation,holdings corr,0,Q3,416,9751,0.915649,0.861591,0.960971,0.764423
neutral,correlation,blend corr,0,Q3,416,9751,0.915464,0.861563,0.960384,0.766827
neutral,correlation,factor corr K5,0,Q3,416,9751,1.057873,1.003514,1.139949,0.449519
neutral,correlation,factor corr K10,0,Q3,416,9751,1.016831,0.982065,1.060763,0.521635
neutral,correlation,"proxy factor corr, core 13",0,Q3,415,9727,0.983896,0.966671,1.001432,0.713253
neutral,correlation,"proxy factor corr, extended 22",0,Q3,415,9658,0.983588,0.967483,0.998932,0.718072
neutral,covariance,holdings cov,0,Q4,412,8995,0.983270,0.941817,1.000833,0.611650
neutral,covariance,"holdings corr, stream vol",0,Q4,412,8995,0.995148,0.989194,0.999615,0.570388
neutral,covariance,"blend, pair weight",0,Q4,412,8995,0.995148,0.989199,0.999615,0.570388
neutral,correlation,holdings corr,0,Q4,412,8995,0.975816,0.931401,1.002053,0.708738
neutral,correlation,blend corr,0,Q4,412,8995,0.975781,0.931430,1.001949,0.708738
neutral,correlation,factor corr K5,0,Q4,412,8995,1.013242,0.960272,1.087640,0.519417
neutral,correlation,factor corr K10,0,Q4,412,8995,0.965931,0.925813,0.998954,0.611650
neutral,correlation,"proxy factor corr, core 13",0,Q4,412,8975,0.959893,0.928619,0.976821,0.859223
neutral,correlation,"proxy factor corr, extended 22",0,Q4,411,8846,0.964570,0.942128,0.979357,0.878345
neutral,covariance,holdings cov,21,Q1,464,10191,1.143209,1.031311,1.367814,0.215517
neutral,covariance,"holdings corr, stream vol",21,Q1,464,10191,1.054188,0.990635,1.194981,0.247845
neutral,covariance,"blend, pair weight",21,Q1,464,10191,1.023395,0.987783,1.090194,0.275862
