geometry,age,stratum,fund_dates,rmse_ratio_holdings_vol_to_stream,mean_loss_diff_over_noise
neutral,future,unstratified/placebo,4,0.8294,-105.8506
neutral,future,Q1,398,1.1348,-2.2466
neutral,future,Q2,532,1.0132,-15.3841
neutral,future,Q3,710,1.0296,1.1946
neutral,future,Q4,1488,1.0022,1.4333
neutral,0,unstratified/placebo,4,0.8218,-111.6867
neutral,0,Q1,398,1.0817,0.4262
neutral,0,Q2,534,1.0253,2.1268
neutral,0,Q3,710,1.0074,0.8678
neutral,0,Q4,1490,1.0065,1.1884
neutral,21,unstratified/placebo,4,0.8180,-114.2918
neutral,21,Q1,397,1.1422,6.0078
neutral,21,Q2,536,1.0288,6.5896
neutral,21,Q3,711,1.0200,0.7488
neutral,21,Q4,1490,1.0062,0.7634
neutral,63,unstratified/placebo,4,0.8279,-107.6907
neutral,63,Q1,398,1.2130,5.7818
neutral,63,Q2,539,1.2771,109.4680
neutral,63,Q3,715,1.0576,2.1359
neutral,63,Q4,1492,1.0258,0.7620
neutral,108,Q1,397,1.2581,9.1392
neutral,108,Q2,539,1.3777,177.7533
neutral,108,Q3,715,1.0834,4.0354
neutral,108,Q4,1485,1.0299,0.8074
