regression,age,stratum,coef,se_keyfund_date,t_keyfund_date,se_dyadic_date,t_dyadic_date,se_ratio,nobs
holdings corr vs stream,0,Q1,-0.011304,0.002533,-4.463445,0.002691,-4.200597,1.062574,2895856
holdings corr vs stream,0,Q4,-0.000484,0.000911,-0.531676,0.001053,-0.459562,1.156919,2895856
holdings corr vs stream,0,Q1 - Q4,-0.010820,0.002571,-4.207827,0.002684,-4.031371,1.043771,2895856
holdings corr vs stream,21,Q1,0.000496,0.002929,0.169192,0.003196,0.155076,1.091029,2895856
holdings corr vs stream,21,Q4,0.000342,0.000855,0.399629,0.000996,0.343039,1.164967,2895856
holdings corr vs stream,21,Q1 - Q4,0.000154,0.002919,0.052720,0.003155,0.048772,1.080944,2895856
holdings corr vs stream,63,Q1,0.010036,0.003506,2.862733,0.003889,2.580315,1.109451,2895856
holdings corr vs stream,63,Q4,0.001039,0.000855,1.215347,0.000993,1.046316,1.161548,2895856
holdings corr vs stream,63,Q1 - Q4,0.008996,0.003538,2.543095,0.003903,2.304748,1.103415,2895856
holdings corr vs stream,108,Q1,0.011972,0.003193,3.749319,0.003519,3.402040,1.102080,2895856
holdings corr vs stream,108,Q4,0.003932,0.001310,3.001664,0.001407,2.795019,1.073933,2895856
holdings corr vs stream,108,Q1 - Q4,0.008040,0.003359,2.393743,0.003631,2.214487,1.080947,2895856
"staleness cost, holdings corr vs fresh",21,Q1,0.010917,0.002738,3.987937,0.002946,3.706012,1.076072,2162714
"staleness cost, holdings corr vs fresh",21,Q4,0.000542,0.000260,2.088188,0.000264,2.051190,1.018037,2162714
"staleness cost, holdings corr vs fresh",21,Q1 - Q4,0.010375,0.002661,3.898610,0.002862,3.624915,1.075504,2162714
"staleness cost, holdings corr vs fresh",63,Q1,0.019891,0.003475,5.723977,0.003840,5.179747,1.105069,2162714
"staleness cost, holdings corr vs fresh",63,Q4,0.001235,0.000396,3.121409,0.000417,2.962327,1.053702,2162714
"staleness cost, holdings corr vs fresh",63,Q1 - Q4,0.018656,0.003406,5.477773,0.003767,4.952225,1.106124,2162714
"staleness cost, holdings corr vs fresh",108,Q1,0.022128,0.003096,7.146318,0.003435,6.442534,1.109240,2162714
"staleness cost, holdings corr vs fresh",108,Q4,0.004073,0.000927,4.396038,0.000981,4.153015,1.058517,2162714
"staleness cost, holdings corr vs fresh",108,Q1 - Q4,0.018055,0.003072,5.876742,0.003375,5.348797,1.098703,2162714
