geometry,regression,channel,age,stratum,coef,se,t,nobs
neutral,holdings cov vs stream,covariance,0,Q1,7884682335.883180,7812451364.286369,1.009246,2895856
neutral,holdings cov vs stream,covariance,0,Q2,72720322171.157684,73229691992.652451,0.993044,2895856
neutral,holdings cov vs stream,covariance,0,Q3,0.625856,0.196701,3.181758,2895856
neutral,holdings cov vs stream,covariance,0,Q4,0.756616,0.182397,4.148187,2895856
neutral,holdings cov vs stream,covariance,21,Q1,11396920983.429213,11306625432.487892,1.007986,2895856
neutral,holdings cov vs stream,covariance,21,Q2,126995688130.147446,127772845917.055969,0.993918,2895856
neutral,holdings cov vs stream,covariance,21,Q3,0.254797,0.180088,1.414846,2895856
neutral,holdings cov vs stream,covariance,21,Q4,0.497761,0.156254,3.185593,2895856
neutral,holdings cov vs stream,covariance,63,Q1,10606141813.811785,10539728884.135418,1.006301,2895856
neutral,holdings cov vs stream,covariance,63,Q2,122068741069.610214,122815142821.637314,0.993923,2895856
neutral,holdings cov vs stream,covariance,63,Q3,0.335533,0.114605,2.927722,2895856
neutral,holdings cov vs stream,covariance,63,Q4,0.499373,0.116249,4.295718,2895856
neutral,holdings cov vs stream,covariance,108,Q1,5542365731.642980,5516304849.746584,1.004724,2895856
neutral,holdings cov vs stream,covariance,108,Q2,75821438716.527771,76352987567.777847,0.993038,2895856
neutral,holdings cov vs stream,covariance,108,Q3,0.711097,0.241196,2.948213,2895856
neutral,holdings cov vs stream,covariance,108,Q4,0.780652,0.223924,3.486237,2895856
neutral,holdings cov vs stream,covariance,0,Q1 - Q4,7884682335.126564,7812451364.275084,1.009246,2895856
neutral,holdings cov vs stream,covariance,21,Q1 - Q4,11396920982.931452,11306625432.470856,1.007986,2895856
neutral,holdings cov vs stream,covariance,63,Q1 - Q4,10606141813.312412,10539728884.124813,1.006301,2895856
neutral,holdings cov vs stream,covariance,108,Q1 - Q4,5542365730.862329,5516304849.740880,1.004724,2895856
neutral,blend vs stream,covariance,0,Q1,-4024.635536,3977.563845,-1.011834,2895856
neutral,blend vs stream,covariance,0,Q2,-37047.069493,37160.003061,-0.996961,2895856
neutral,blend vs stream,covariance,0,Q3,0.033696,0.036513,0.922858,2895856
neutral,blend vs stream,covariance,0,Q4,0.079214,0.038969,2.032745,2895856
neutral,blend vs stream,covariance,21,Q1,-3791.155330,3750.518107,-1.010835,2895856
neutral,blend vs stream,covariance,21,Q2,-39325.529673,39453.787442,-0.996749,2895856
neutral,blend vs stream,covariance,21,Q3,-0.012699,0.046384,-0.273770,2895856
neutral,blend vs stream,covariance,21,Q4,0.064931,0.029101,2.231187,2895856
neutral,blend vs stream,covariance,63,Q1,-3545.726521,3516.002615,-1.008454,2895856
neutral,blend vs stream,covariance,63,Q2,-40201.555391,40331.298157,-0.996783,2895856
neutral,blend vs stream,covariance,63,Q3,0.008215,0.041759,0.196733,2895856
neutral,blend vs stream,covariance,63,Q4,0.077155,0.030467,2.532407,2895856
neutral,blend vs stream,covariance,108,Q1,-3112.241853,3084.645434,-1.008946,2895856
neutral,blend vs stream,covariance,108,Q2,-37983.732441,38104.455549,-0.996832,2895856
neutral,blend vs stream,covariance,108,Q3,0.132975,0.058752,2.263314,2895856
neutral,blend vs stream,covariance,108,Q4,0.149675,0.053783,2.782929,2895856
neutral,blend vs stream,covariance,0,Q1 - Q4,-4024.714750,3977.569097,-1.011853,2895856
neutral,blend vs stream,covariance,21,Q1 - Q4,-3791.220261,3750.523329,-1.010851,2895856
neutral,blend vs stream,covariance,63,Q1 - Q4,-3545.803676,3516.008020,-1.008474,2895856
neutral,blend vs stream,covariance,108,Q1 - Q4,-3112.391528,3084.650455,-1.008993,2895856
neutral,holdings corr vs stream,correlation,0,Q1,-0.011304,0.002533,-4.463445,2895856
neutral,holdings corr vs stream,correlation,0,Q2,-0.003816,0.001774,-2.151335,2895856
neutral,holdings corr vs stream,correlation,0,Q3,-0.003080,0.001629,-1.891546,2895856
neutral,holdings corr vs stream,correlation,0,Q4,-0.000484,0.000911,-0.531676,2895856
neutral,holdings corr vs stream,correlation,21,Q1,0.000496,0.002929,0.169192,2895856
neutral,holdings corr vs stream,correlation,21,Q2,-0.001601,0.001333,-1.200717,2895856
neutral,holdings corr vs stream,correlation,21,Q3,-0.002556,0.001596,-1.601341,2895856
neutral,holdings corr vs stream,correlation,21,Q4,0.000342,0.000855,0.399629,2895856
neutral,holdings corr vs stream,correlation,63,Q1,0.010036,0.003506,2.862733,2895856
neutral,holdings corr vs stream,correlation,63,Q2,0.000815,0.001613,0.504961,2895856
neutral,holdings corr vs stream,correlation,63,Q3,-0.001557,0.001648,-0.944391,2895856
neutral,holdings corr vs stream,correlation,63,Q4,0.001039,0.000855,1.215347,2895856
neutral,holdings corr vs stream,correlation,108,Q1,0.011972,0.003193,3.749319,2895856
neutral,holdings corr vs stream,correlation,108,Q2,0.004099,0.001954,2.097660,2895856
neutral,holdings corr vs stream,correlation,108,Q3,0.002092,0.001867,1.120927,2895856
neutral,holdings corr vs stream,correlation,108,Q4,0.003932,0.001310,3.001664,2895856
neutral,holdings corr vs stream,correlation,0,Q1 - Q4,-0.010820,0.002571,-4.207827,2895856
neutral,holdings corr vs stream,correlation,21,Q1 - Q4,0.000154,0.002919,0.052720,2895856
neutral,holdings corr vs stream,correlation,63,Q1 - Q4,0.008996,0.003538,2.543095,2895856
neutral,holdings corr vs stream,correlation,108,Q1 - Q4,0.008040,0.003359,2.393743,2895856
neutral,blend corr vs stream,correlation,0,Q1,-0.011939,0.002492,-4.790263,2895856
neutral,blend corr vs stream,correlation,0,Q2,-0.003864,0.001765,-2.188867,2895856
neutral,blend corr vs stream,correlation,0,Q3,-0.003113,0.001626,-1.914584,2895856
neutral,blend corr vs stream,correlation,0,Q4,-0.000551,0.000906,-0.608071,2895856
neutral,blend corr vs stream,correlation,21,Q1,-0.002161,0.002473,-0.873994,2895856
neutral,blend corr vs stream,correlation,21,Q2,-0.001758,0.001313,-1.339500,2895856
neutral,blend corr vs stream,correlation,21,Q3,-0.002635,0.001589,-1.658175,2895856
neutral,blend corr vs stream,correlation,21,Q4,0.000126,0.000830,0.152156,2895856
neutral,blend corr vs stream,correlation,63,Q1,0.003235,0.002385,1.356260,2895856
neutral,blend corr vs stream,correlation,63,Q2,0.000430,0.001551,0.277256,2895856
neutral,blend corr vs stream,correlation,63,Q3,-0.001712,0.001631,-1.049919,2895856
neutral,blend corr vs stream,correlation,63,Q4,0.000723,0.000834,0.867441,2895856
neutral,blend corr vs stream,correlation,108,Q1,0.003722,0.002168,1.716505,2895856
neutral,blend corr vs stream,correlation,108,Q2,0.002801,0.001833,1.527817,2895856
neutral,blend corr vs stream,correlation,108,Q3,0.001381,0.001810,0.762760,2895856
neutral,blend corr vs stream,correlation,108,Q4,0.003260,0.001262,2.582138,2895856
neutral,blend corr vs stream,correlation,0,Q1 - Q4,-0.011388,0.002542,-4.480557,2895856
neutral,blend corr vs stream,correlation,21,Q1 - Q4,-0.002288,0.002516,-0.909153,2895856
neutral,blend corr vs stream,correlation,63,Q1 - Q4,0.002512,0.002496,1.006684,2895856
neutral,blend corr vs stream,correlation,108,Q1 - Q4,0.000463,0.002468,0.187433,2895856
neutral,factor corr K5 vs stream,correlation,0,Q1,-0.002765,0.005983,-0.462221,2888346
neutral,factor corr K5 vs stream,correlation,0,Q2,0.004416,0.006470,0.682594,2888346
neutral,factor corr K5 vs stream,correlation,0,Q3,0.005546,0.005950,0.932237,2888346
neutral,factor corr K5 vs stream,correlation,0,Q4,0.004485,0.004901,0.915045,2888346
neutral,factor corr K5 vs stream,correlation,21,Q1,-0.001347,0.005716,-0.235746,2888346
neutral,factor corr K5 vs stream,correlation,21,Q2,0.005765,0.006334,0.910150,2888346
