geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,covariance,holdings cov,future,0.75-0.85,74,1042,1.029981,0.882567,1.087245,0.418919
neutral,covariance,"holdings corr, stream vol",future,0.75-0.85,74,1042,1.008374,0.987222,1.035314,0.283784
neutral,covariance,"blend, pair weight",future,0.75-0.85,74,1042,1.007609,0.987147,1.033543,0.283784
neutral,correlation,holdings corr,future,0.75-0.85,74,1042,0.896015,0.864638,0.941603,0.797297
neutral,correlation,blend corr,future,0.75-0.85,74,1042,0.892875,0.862873,0.937342,0.837838
neutral,correlation,factor corr K5,future,0.75-0.85,74,1042,1.093831,0.985190,1.135576,0.256757
neutral,correlation,factor corr K10,future,0.75-0.85,74,1042,1.077957,0.993311,1.114501,0.256757
neutral,correlation,"proxy factor corr, core 13",future,0.75-0.85,74,1040,0.993158,0.948055,1.006766,0.581081
neutral,correlation,"proxy factor corr, extended 22",future,0.75-0.85,71,1001,0.992556,0.970492,1.004152,0.563380
neutral,covariance,holdings cov,future,0.85-0.95,1682,27522,1.010724,1.000026,1.024557,0.334126
neutral,covariance,"holdings corr, stream vol",future,0.85-0.95,1682,27522,0.999712,0.995664,1.003814,0.509512
neutral,covariance,"blend, pair weight",future,0.85-0.95,1682,27522,0.999641,0.995639,1.003697,0.512485
neutral,correlation,holdings corr,future,0.85-0.95,1682,27522,0.968539,0.930715,0.996309,0.624257
neutral,correlation,blend corr,future,0.85-0.95,1682,27522,0.967857,0.930134,0.995463,0.630202
neutral,correlation,factor corr K5,future,0.85-0.95,1681,27501,1.030062,0.995522,1.077310,0.483641
neutral,correlation,factor corr K10,future,0.85-0.95,1681,27487,0.994862,0.970684,1.022286,0.561570
neutral,correlation,"proxy factor corr, core 13",future,0.85-0.95,1665,27244,0.978826,0.959347,0.992910,0.672072
neutral,correlation,"proxy factor corr, extended 22",future,0.85-0.95,1603,26379,0.978460,0.960020,0.992180,0.707424
neutral,covariance,holdings cov,future,<0.75,325,4939,1.092316,1.028403,1.193536,0.203077
neutral,covariance,"holdings corr, stream vol",future,<0.75,325,4939,1.037062,0.990162,1.097799,0.393846
neutral,covariance,"blend, pair weight",future,<0.75,325,4939,1.024271,0.984390,1.073966,0.455385
neutral,correlation,holdings corr,future,<0.75,325,4939,0.920655,0.818311,1.011807,0.563077
neutral,correlation,blend corr,future,<0.75,325,4939,0.875578,0.779101,0.967152,0.652308
neutral,correlation,factor corr K5,future,<0.75,325,4939,1.087948,1.005606,1.247165,0.455385
neutral,correlation,factor corr K10,future,<0.75,325,4939,1.067957,0.991079,1.211414,0.572308
neutral,correlation,"proxy factor corr, core 13",future,<0.75,318,4841,1.047730,0.982296,1.167836,0.613208
neutral,correlation,"proxy factor corr, extended 22",future,<0.75,302,4624,1.052531,0.987871,1.177754,0.615894
neutral,covariance,holdings cov,future,>0.95,18566,440073,1.009865,0.993462,1.021322,0.262900
neutral,covariance,"holdings corr, stream vol",future,>0.95,18566,440073,0.994524,0.981419,1.001810,0.497792
neutral,covariance,"blend, pair weight",future,>0.95,18566,440073,0.994509,0.981421,1.001769,0.498492
