geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,covariance,holdings cov,future,Q1,4040,80606,1.008694,1.001967,1.016204,0.347277
neutral,covariance,"holdings corr, stream vol",future,Q1,4040,80606,0.998452,0.994076,1.002407,0.511881
neutral,covariance,"blend, pair weight",future,Q1,4040,80606,0.998071,0.993822,1.001935,0.521535
neutral,correlation,holdings corr,future,Q1,4040,80606,0.935080,0.903900,0.961880,0.692079
neutral,correlation,blend corr,future,Q1,4040,80606,0.928683,0.895692,0.956636,0.707673
neutral,correlation,factor corr K5,future,Q1,4035,80524,1.039138,1.010367,1.073250,0.468154
neutral,correlation,factor corr K10,future,Q1,4035,80481,1.005503,0.984457,1.030612,0.564312
neutral,correlation,"proxy factor corr, core 13",future,Q1,4020,79847,0.982243,0.966255,0.999662,0.675124
neutral,correlation,"proxy factor corr, extended 22",future,Q1,3902,77307,0.985761,0.969673,1.002641,0.668631
neutral,covariance,holdings cov,future,Q2,3515,58795,1.011420,1.005811,1.020302,0.299004
neutral,covariance,"holdings corr, stream vol",future,Q2,3515,58795,1.000916,0.996316,1.006806,0.495021
neutral,covariance,"blend, pair weight",future,Q2,3515,58795,1.000891,0.996313,1.006749,0.495306
neutral,correlation,holdings corr,future,Q2,3515,58795,0.987465,0.969321,1.007738,0.572119
neutral,correlation,blend corr,future,Q2,3515,58795,0.987258,0.969232,1.007348,0.572404
neutral,correlation,factor corr K5,future,Q2,3508,58457,1.082922,1.041473,1.134834,0.408495
neutral,correlation,factor corr K10,future,Q2,3466,57821,1.029417,1.002382,1.063578,0.488459
neutral,correlation,"proxy factor corr, core 13",future,Q2,3459,57702,0.986496,0.974406,0.998113,0.627638
neutral,correlation,"proxy factor corr, extended 22",future,Q2,3323,55655,0.983956,0.974328,0.993955,0.686729
neutral,covariance,holdings cov,future,Q3,3285,54358,1.012600,1.004871,1.023999,0.275495
neutral,covariance,"holdings corr, stream vol",future,Q3,3285,54358,0.999412,0.994118,1.003134,0.512024
neutral,covariance,"blend, pair weight",future,Q3,3285,54358,0.999406,0.994118,1.003119,0.512329
neutral,correlation,holdings corr,future,Q3,3285,54358,0.993592,0.981685,1.006330,0.542770
neutral,correlation,blend corr,future,Q3,3285,54358,0.993537,0.981650,1.006252,0.543988
neutral,correlation,factor corr K5,future,Q3,3281,54307,1.074254,1.036561,1.122998,0.474246
neutral,correlation,factor corr K10,future,Q3,3281,54307,1.029030,1.002049,1.062814,0.526059
neutral,correlation,"proxy factor corr, core 13",future,Q3,3272,54127,0.994072,0.982862,1.004356,0.628667
neutral,correlation,"proxy factor corr, extended 22",future,Q3,3222,53297,0.987984,0.977321,0.997632,0.702048
neutral,covariance,holdings cov,future,Q4,4943,98551,1.014560,1.009647,1.021850,0.235485
neutral,covariance,"holdings corr, stream vol",future,Q4,4943,98551,0.999988,0.998855,1.001275,0.514060
neutral,covariance,"blend, pair weight",future,Q4,4943,98551,0.999980,0.998846,1.001270,0.514263
neutral,correlation,holdings corr,future,Q4,4943,98551,0.999211,0.988972,1.009752,0.550273
neutral,correlation,blend corr,future,Q4,4943,98551,0.998977,0.988656,1.009573,0.550071
neutral,correlation,factor corr K5,future,Q4,4943,98551,1.083434,1.051549,1.124132,0.431722
neutral,correlation,factor corr K10,future,Q4,4938,98445,1.034036,1.012970,1.059005,0.514783
neutral,correlation,"proxy factor corr, core 13",future,Q4,4916,98039,1.000854,0.990036,1.014396,0.655614
neutral,correlation,"proxy factor corr, extended 22",future,Q4,4803,95165,0.994641,0.985583,1.006527,0.737039
neutral,covariance,holdings cov,0,Q1,4054,80957,1.007968,1.000157,1.015059,0.362111
neutral,covariance,"holdings corr, stream vol",0,Q1,4054,80957,0.998981,0.994997,1.003054,0.462013
neutral,covariance,"blend, pair weight",0,Q1,4054,80957,0.998675,0.994634,1.002557,0.470893
neutral,correlation,holdings corr,0,Q1,4054,80957,0.949703,0.919592,0.975312,0.683769
neutral,correlation,blend corr,0,Q1,4054,80957,0.943541,0.914459,0.969865,0.697336
neutral,correlation,factor corr K5,0,Q1,4049,80875,1.038815,1.012675,1.071171,0.471968
neutral,correlation,factor corr K10,0,Q1,4047,80809,1.005378,0.985743,1.026544,0.564122
neutral,correlation,"proxy factor corr, core 13",0,Q1,4032,80175,0.982548,0.965592,0.998345,0.673611
neutral,correlation,"proxy factor corr, extended 22",0,Q1,3914,77634,0.986027,0.968966,1.001702,0.670414
neutral,covariance,holdings cov,0,Q2,3521,58948,1.009065,1.003790,1.016918,0.332576
neutral,covariance,"holdings corr, stream vol",0,Q2,3521,58948,0.998843,0.995056,1.002709,0.536211
neutral,covariance,"blend, pair weight",0,Q2,3521,58948,0.998836,0.995071,1.002680,0.536495
neutral,correlation,holdings corr,0,Q2,3521,58948,0.982745,0.966235,0.999180,0.602386
neutral,correlation,blend corr,0,Q2,3521,58948,0.982611,0.966257,0.998910,0.603522
neutral,correlation,factor corr K5,0,Q2,3514,58610,1.082783,1.043182,1.131716,0.409505
neutral,correlation,factor corr K10,0,Q2,3473,57985,1.029344,1.002924,1.064235,0.489778
neutral,correlation,"proxy factor corr, core 13",0,Q2,3466,57866,0.986481,0.975055,0.998013,0.627813
neutral,correlation,"proxy factor corr, extended 22",0,Q2,3329,55805,0.983959,0.974761,0.993688,0.686693
neutral,covariance,holdings cov,0,Q3,3283,54321,1.010230,1.003586,1.020512,0.293025
neutral,covariance,"holdings corr, stream vol",0,Q3,3283,54321,0.999318,0.995284,1.003013,0.495888
