geometry,age,stratum,fund_dates,rmse_ratio_holdings_vol_to_stream,mean_loss_diff_over_noise
neutral,future,unstratified/placebo,5,1.7332,31.2357
neutral,future,Q1,2264,0.9653,38.7471
neutral,future,Q2,1953,1.0160,-114744554074070538080223232.0000
neutral,future,Q3,2412,0.9959,0.4768
neutral,future,Q4,6595,1.0088,-0.5628
neutral,0,unstratified/placebo,5,1.7003,30.0544
neutral,0,Q1,2263,0.9661,23.6824
neutral,0,Q2,1953,1.0134,-114865163023882257969446912.0000
neutral,0,Q3,2411,0.9945,0.4304
neutral,0,Q4,6599,1.0084,0.6619
neutral,21,unstratified/placebo,5,1.6964,29.8187
neutral,21,Q1,2264,1.0108,27.2751
neutral,21,Q2,1952,1.0054,-114352468479079679692636160.0000
neutral,21,Q3,2413,0.9944,0.2555
neutral,21,Q4,6596,1.0012,0.4456
neutral,63,unstratified/placebo,2,0.1415,-5.1569
neutral,63,Q1,2261,1.0097,71.7510
neutral,63,Q2,1954,1.0222,-115925185319032401136975872.0000
neutral,63,Q3,2416,1.0015,0.3589
neutral,63,Q4,6598,1.0046,0.4792
neutral,108,unstratified/placebo,2,0.1717,-5.1007
neutral,108,Q1,2257,1.1151,61.8935
neutral,108,Q2,1953,1.0662,-122207254454603073359708160.0000
neutral,108,Q3,2412,1.0195,0.7430
neutral,108,Q4,6583,1.0271,0.6354
