band,age,pairs,pair_dates,switch/stream,switch/stream lo,switch/stream hi,article/stream,article/stream lo,article/stream hi,holdings/stream,holdings/stream lo,holdings/stream hi,better record,switch/better,article/better
<0.75,0,114,1571,0.983117,0.883653,1.089448,0.983117,0.883653,1.089448,0.983117,0.883653,1.089448,0.983117,1.000000,1.000000
0.75-0.85,0,7,88,0.906883,,,0.906883,,,0.906883,,,0.906883,1.000000,1.000000
0.85-0.95,0,1325,18623,0.993104,0.961593,1.021355,0.993104,0.961593,1.021355,0.993104,0.961593,1.021355,0.993104,1.000000,1.000000
>0.95,0,17542,371741,0.990968,0.976473,1.004232,0.990968,0.976473,1.004232,0.990968,0.976473,1.004232,0.990968,1.000000,1.000000
<0.75,21,115,1597,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.297446,1.123943,1.443157,1.000000,1.000000,1.000000
0.75-0.85,21,7,88,1.000000,,,0.953949,,,0.953949,,,0.953949,1.048274,1.000000
0.85-0.95,21,1318,18544,0.999298,0.971056,1.026352,0.999298,0.971056,1.026352,0.999298,0.971056,1.026352,0.999298,1.000000,1.000000
>0.95,21,17489,370902,0.996161,0.982388,1.009347,0.996161,0.982388,1.009347,0.996161,0.982388,1.009347,0.996161,1.000000,1.000000
<0.75,63,116,1613,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.574976,1.310513,1.766844,1.000000,1.000000,1.000000
0.75-0.85,63,6,75,1.000000,,,1.000000,,,1.027169,,,1.000000,1.000000,1.000000
0.85-0.95,63,1333,18735,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.021108,0.998807,1.041307,1.000000,1.000000,1.000000
>0.95,63,17495,370874,1.004831,0.991364,1.019924,1.000000,1.000000,1.000000,1.004831,0.991364,1.019924,1.000000,1.004831,1.000000
<0.75,108,116,1611,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.401077,1.278005,1.507138,1.000000,1.000000,1.000000
0.75-0.85,108,7,88,1.000000,,,1.000000,,,1.075404,,,1.000000,1.000000,1.000000
0.85-0.95,108,1291,18058,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.060215,1.035303,1.091374,1.000000,1.000000,1.000000
>0.95,108,17457,369870,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.022768,1.007943,1.036032,1.000000,1.000000,1.000000
