band,age,pairs,blocks,ratio,funds lo,funds hi,blocks lo,blocks hi,crossed lo,crossed hi
<0.75,21,356,32,1.260408,1.132387,1.411504,1.126622,1.358919,1.079656,1.452174
0.75-0.85,21,76,22,1.003183,0.904803,1.061545,0.892451,1.074650,0.838377,1.111412
0.85-0.95,21,1711,32,0.994140,0.964710,1.018430,0.971874,1.009863,0.954724,1.026910
>0.95,21,18524,32,0.993728,0.979564,1.006671,0.984055,1.000455,0.975285,1.009767
<0.75,63,360,32,1.422032,1.297498,1.587725,1.277152,1.563113,1.220850,1.691830
0.75-0.85,63,75,22,1.011131,0.983481,1.092915,0.907697,1.128715,0.850879,1.143028
0.85-0.95,63,1718,32,1.022621,1.006254,1.038787,0.999795,1.044833,0.989077,1.057403
>0.95,63,18526,32,1.002821,0.988061,1.015204,0.991948,1.009572,0.981723,1.019670
<0.75,108,332,32,1.313796,1.219753,1.400665,1.236292,1.392863,1.173137,1.478825
0.75-0.85,108,76,22,1.150741,1.095592,1.184750,1.089088,1.234360,1.020558,1.268832
0.85-0.95,108,1675,32,1.070946,1.046476,1.107217,1.041420,1.106411,1.027191,1.127270
>0.95,108,18491,32,1.022729,1.010692,1.035067,1.011510,1.033404,1.001648,1.038381
