geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,covariance,holdings cov,future,0.85-0.95,158,2754,0.975029,0.905382,1.068189,0.430380
neutral,covariance,"holdings corr, stream vol",future,0.85-0.95,158,2754,0.993981,0.960891,1.009955,0.493671
neutral,covariance,"blend, pair weight",future,0.85-0.95,158,2754,0.993829,0.960697,1.009276,0.493671
neutral,correlation,holdings corr,future,0.85-0.95,158,2754,0.856424,0.791674,0.924745,0.829114
neutral,correlation,blend corr,future,0.85-0.95,158,2754,0.853122,0.790825,0.919636,0.848101
neutral,correlation,factor corr K5,future,0.85-0.95,158,2754,1.056554,1.001665,1.127642,0.392405
neutral,correlation,factor corr K10,future,0.85-0.95,158,2750,1.028651,0.988024,1.073247,0.436709
neutral,correlation,"proxy factor corr, core 13",future,0.85-0.95,158,2746,1.003513,0.975583,1.036639,0.575949
neutral,correlation,"proxy factor corr, extended 22",future,0.85-0.95,155,2693,1.002517,0.977296,1.031977,0.574194
neutral,covariance,holdings cov,future,<0.75,248,3671,1.114046,1.037098,1.256789,0.185484
neutral,covariance,"holdings corr, stream vol",future,<0.75,248,3671,1.024116,0.989237,1.058862,0.435484
neutral,covariance,"blend, pair weight",future,<0.75,248,3671,1.015143,0.980436,1.046322,0.491935
neutral,correlation,holdings corr,future,<0.75,248,3671,0.881836,0.796503,0.967984,0.661290
neutral,correlation,blend corr,future,<0.75,248,3671,0.833895,0.759566,0.903950,0.770161
neutral,correlation,factor corr K5,future,<0.75,248,3671,1.102020,1.005355,1.277529,0.471774
neutral,correlation,factor corr K10,future,<0.75,248,3671,1.086050,0.997030,1.245092,0.528226
neutral,correlation,"proxy factor corr, core 13",future,<0.75,244,3614,1.064134,0.989194,1.196642,0.577869
neutral,correlation,"proxy factor corr, extended 22",future,<0.75,231,3435,1.068995,0.992985,1.197189,0.588745
neutral,covariance,holdings cov,future,>0.95,916,20187,1.000990,0.985469,1.021225,0.498908
neutral,covariance,"holdings corr, stream vol",future,>0.95,916,20187,1.000561,0.995981,1.007062,0.482533
neutral,covariance,"blend, pair weight",future,>0.95,916,20187,0.999972,0.995760,1.005305,0.485808
neutral,correlation,holdings corr,future,>0.95,916,20187,0.969113,0.920873,1.008374,0.647380
neutral,correlation,blend corr,future,>0.95,916,20187,0.964892,0.917792,1.002032,0.648472
neutral,correlation,factor corr K5,future,>0.95,916,20187,1.048747,1.011400,1.103211,0.444323
neutral,correlation,factor corr K10,future,>0.95,916,20164,1.004609,0.980236,1.037689,0.542576
neutral,correlation,"proxy factor corr, core 13",future,>0.95,916,20104,0.979091,0.966335,0.990206,0.733624
neutral,correlation,"proxy factor corr, extended 22",future,>0.95,908,19829,0.980174,0.968602,0.990212,0.758811
neutral,covariance,holdings cov,0,0.85-0.95,158,2755,0.973771,0.908604,1.080623,0.443038
neutral,covariance,"holdings corr, stream vol",0,0.85-0.95,158,2755,0.996863,0.983427,1.011776,0.481013
neutral,covariance,"blend, pair weight",0,0.85-0.95,158,2755,0.996668,0.983144,1.011446,0.487342
neutral,correlation,holdings corr,0,0.85-0.95,158,2755,0.908712,0.853914,0.955151,0.784810
neutral,correlation,blend corr,0,0.85-0.95,158,2755,0.904754,0.850245,0.947862,0.822785
neutral,correlation,factor corr K5,0,0.85-0.95,158,2755,1.057091,1.001985,1.115222,0.392405
neutral,correlation,factor corr K10,0,0.85-0.95,158,2751,1.028364,0.988761,1.069125,0.436709
neutral,correlation,"proxy factor corr, core 13",0,0.85-0.95,158,2747,1.003388,0.975375,1.037154,0.575949
neutral,correlation,"proxy factor corr, extended 22",0,0.85-0.95,155,2694,1.002199,0.977584,1.032623,0.574194
neutral,covariance,holdings cov,0,<0.75,253,3743,1.092463,1.020699,1.216645,0.217391
neutral,covariance,"holdings corr, stream vol",0,<0.75,253,3743,1.030221,0.993762,1.075940,0.351779
neutral,covariance,"blend, pair weight",0,<0.75,253,3743,1.021275,0.989412,1.057232,0.367589
neutral,correlation,holdings corr,0,<0.75,253,3743,0.928848,0.831969,1.045117,0.636364
neutral,correlation,blend corr,0,<0.75,253,3743,0.887076,0.805000,0.981755,0.715415
neutral,correlation,factor corr K5,0,<0.75,253,3743,1.102873,1.007235,1.252435,0.466403
neutral,correlation,factor corr K10,0,<0.75,253,3743,1.086477,0.999357,1.228482,0.525692
neutral,correlation,"proxy factor corr, core 13",0,<0.75,249,3686,1.064350,0.990670,1.184175,0.570281
neutral,correlation,"proxy factor corr, extended 22",0,<0.75,236,3507,1.069117,0.994383,1.185830,0.580508
neutral,covariance,holdings cov,0,>0.95,915,20213,0.994880,0.980494,1.007891,0.514754
neutral,covariance,"holdings corr, stream vol",0,>0.95,915,20213,0.997361,0.993652,1.000577,0.518033
neutral,covariance,"blend, pair weight",0,>0.95,915,20213,0.997111,0.993417,1.000314,0.521311
neutral,correlation,holdings corr,0,>0.95,915,20213,0.974067,0.923800,1.009063,0.651366
neutral,correlation,blend corr,0,>0.95,915,20213,0.970385,0.920849,1.003906,0.657923
neutral,correlation,factor corr K5,0,>0.95,915,20213,1.048212,1.011383,1.102627,0.450273
neutral,correlation,factor corr K10,0,>0.95,915,20190,1.004304,0.981564,1.035593,0.545355
neutral,correlation,"proxy factor corr, core 13",0,>0.95,915,20130,0.978919,0.967284,0.990005,0.733333
neutral,correlation,"proxy factor corr, extended 22",0,>0.95,907,19855,0.980045,0.969558,0.990562,0.761852
neutral,covariance,holdings cov,21,0.85-0.95,160,2803,0.985786,0.945446,1.062446,0.368750
neutral,covariance,"holdings corr, stream vol",21,0.85-0.95,160,2803,0.996198,0.989139,1.002067,0.593750
neutral,covariance,"blend, pair weight",21,0.85-0.95,160,2803,0.996055,0.989315,1.001357,0.600000
neutral,correlation,holdings corr,21,0.85-0.95,160,2803,0.993984,0.936846,1.047678,0.531250
neutral,correlation,blend corr,21,0.85-0.95,160,2803,0.981971,0.926186,1.032638,0.600000
neutral,correlation,factor corr K5,21,0.85-0.95,160,2803,1.059874,1.005907,1.118933,0.387500
neutral,correlation,factor corr K10,21,0.85-0.95,160,2799,1.031378,0.990563,1.073589,0.418750
neutral,correlation,"proxy factor corr, core 13",21,0.85-0.95,160,2795,1.005495,0.979084,1.037966,0.562500
neutral,correlation,"proxy factor corr, extended 22",21,0.85-0.95,158,2754,1.003747,0.978206,1.032450,0.575949
neutral,covariance,holdings cov,21,<0.75,256,3806,1.135028,1.014549,1.394652,0.203125
neutral,covariance,"holdings corr, stream vol",21,<0.75,256,3806,1.048644,0.983556,1.179290,0.214844
neutral,covariance,"blend, pair weight",21,<0.75,256,3806,1.022280,0.983180,1.089098,0.281250
neutral,correlation,holdings corr,21,<0.75,256,3806,1.309848,1.168335,1.476837,0.136719
neutral,correlation,blend corr,21,<0.75,256,3806,1.173480,1.074136,1.300889,0.210938
neutral,correlation,factor corr K5,21,<0.75,256,3806,1.102979,1.005801,1.274151,0.468750
neutral,correlation,factor corr K10,21,<0.75,256,3806,1.086739,1.000127,1.242655,0.527344
neutral,correlation,"proxy factor corr, core 13",21,<0.75,252,3749,1.064392,0.991391,1.192946,0.571429
neutral,correlation,"proxy factor corr, extended 22",21,<0.75,237,3547,1.068456,0.993089,1.196626,0.590717
neutral,covariance,holdings cov,21,>0.95,910,20209,0.996715,0.985587,1.009357,0.559341
neutral,covariance,"holdings corr, stream vol",21,>0.95,910,20209,0.999454,0.995192,1.006696,0.554945
neutral,covariance,"blend, pair weight",21,>0.95,910,20209,0.998190,0.994934,1.002354,0.560440
neutral,correlation,holdings corr,21,>0.95,910,20209,0.997179,0.946500,1.043749,0.603297
neutral,correlation,blend corr,21,>0.95,910,20209,0.985496,0.941611,1.016735,0.610989
neutral,correlation,factor corr K5,21,>0.95,910,20209,1.050247,1.014949,1.104270,0.442857
neutral,correlation,factor corr K10,21,>0.95,910,20186,1.006314,0.983802,1.038191,0.537363
neutral,correlation,"proxy factor corr, core 13",21,>0.95,910,20126,0.980682,0.969307,0.991264,0.736264
neutral,correlation,"proxy factor corr, extended 22",21,>0.95,902,19863,0.980464,0.969087,0.990879,0.761641
neutral,covariance,holdings cov,63,0.85-0.95,168,2940,1.045612,1.018002,1.116012,0.267857
neutral,covariance,"holdings corr, stream vol",63,0.85-0.95,168,2940,1.005679,0.996584,1.025951,0.398810
neutral,covariance,"blend, pair weight",63,0.85-0.95,168,2940,1.004172,0.996662,1.017646,0.410714
neutral,correlation,holdings corr,63,0.85-0.95,168,2940,1.052182,0.994281,1.107462,0.345238
neutral,correlation,blend corr,63,0.85-0.95,168,2940,1.023140,0.979553,1.064327,0.410714
neutral,correlation,factor corr K5,63,0.85-0.95,168,2940,1.062838,1.012111,1.128121,0.375000
neutral,correlation,factor corr K10,63,0.85-0.95,168,2936,1.032607,0.994697,1.074514,0.416667
neutral,correlation,"proxy factor corr, core 13",63,0.85-0.95,168,2932,1.005856,0.978413,1.040643,0.565476
neutral,correlation,"proxy factor corr, extended 22",63,0.85-0.95,166,2891,1.004145,0.979939,1.034288,0.560241
neutral,covariance,holdings cov,63,<0.75,257,3825,1.254986,1.070059,1.625485,0.050584
neutral,covariance,"holdings corr, stream vol",63,<0.75,257,3825,1.067437,1.005599,1.240678,0.171206
neutral,covariance,"blend, pair weight",63,<0.75,257,3825,1.016732,1.000799,1.055106,0.249027
neutral,correlation,holdings corr,63,<0.75,257,3825,1.485641,1.336471,1.656971,0.042802
neutral,correlation,blend corr,63,<0.75,257,3825,1.178198,1.120586,1.256288,0.089494
neutral,correlation,factor corr K5,63,<0.75,257,3825,1.105786,1.012364,1.283362,0.463035
neutral,correlation,factor corr K10,63,<0.75,257,3825,1.089135,1.003119,1.251916,0.521401
neutral,correlation,"proxy factor corr, core 13",63,<0.75,253,3768,1.066351,0.995324,1.201379,0.561265
neutral,correlation,"proxy factor corr, extended 22",63,<0.75,241,3606,1.067335,0.994569,1.199177,0.589212
neutral,covariance,holdings cov,63,>0.95,921,20466,1.017320,1.006691,1.035944,0.370250
neutral,covariance,"holdings corr, stream vol",63,>0.95,921,20466,1.000844,0.998189,1.004602,0.488599
neutral,covariance,"blend, pair weight",63,>0.95,921,20466,0.999414,0.997133,1.002022,0.509229
neutral,correlation,holdings corr,63,>0.95,921,20466,1.000616,0.960058,1.037971,0.541802
neutral,correlation,blend corr,63,>0.95,921,20466,0.986242,0.951160,1.011100,0.564604
neutral,correlation,factor corr K5,63,>0.95,921,20466,1.051050,1.014976,1.100526,0.439739
neutral,correlation,factor corr K10,63,>0.95,921,20443,1.006651,0.984239,1.035695,0.533116
neutral,correlation,"proxy factor corr, core 13",63,>0.95,921,20383,0.981168,0.969837,0.992757,0.733985
neutral,correlation,"proxy factor corr, extended 22",63,>0.95,913,20133,0.980475,0.969114,0.991257,0.762322
neutral,covariance,holdings cov,108,0.85-0.95,168,2932,1.090873,1.040692,1.235103,0.035714
neutral,covariance,"holdings corr, stream vol",108,0.85-0.95,168,2932,1.020894,1.007762,1.052852,0.107143
neutral,covariance,"blend, pair weight",108,0.85-0.95,168,2932,1.015933,1.005483,1.035399,0.136905
neutral,correlation,holdings corr,108,0.85-0.95,168,2932,1.252143,1.147134,1.407471,0.053571
neutral,correlation,blend corr,108,0.85-0.95,168,2932,1.117557,1.080423,1.162427,0.065476
neutral,correlation,factor corr K5,108,0.85-0.95,168,2932,1.064241,1.013192,1.125538,0.363095
neutral,correlation,factor corr K10,108,0.85-0.95,168,2932,1.032085,0.994309,1.075208,0.416667
neutral,correlation,"proxy factor corr, core 13",108,0.85-0.95,168,2932,1.005856,0.980354,1.041693,0.565476
neutral,correlation,"proxy factor corr, extended 22",108,0.85-0.95,166,2891,1.004145,0.980516,1.036296,0.560241
