geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,covariance,holdings cov,future,Q1,386,6845,1.102304,1.031424,1.203949,0.274611
neutral,covariance,"holdings corr, stream vol",future,Q1,386,6845,1.017914,0.980614,1.051638,0.468912
neutral,covariance,"blend, pair weight",future,Q1,386,6845,1.008448,0.972832,1.035739,0.515544
neutral,correlation,holdings corr,future,Q1,386,6845,0.867541,0.793519,0.956200,0.720207
neutral,correlation,blend corr,future,Q1,386,6845,0.827364,0.764695,0.893805,0.818653
neutral,correlation,factor corr K5,future,Q1,386,6845,1.074981,1.007561,1.198429,0.505181
neutral,correlation,factor corr K10,future,Q1,386,6840,1.058479,0.997725,1.171806,0.538860
neutral,correlation,"proxy factor corr, core 13",future,Q1,386,6815,1.038116,0.987512,1.131375,0.626943
neutral,correlation,"proxy factor corr, extended 22",future,Q1,373,6545,1.037267,0.986901,1.128681,0.651475
neutral,covariance,holdings cov,future,Q2,290,5172,0.986955,0.955406,1.023571,0.458621
neutral,covariance,"holdings corr, stream vol",future,Q2,290,5172,0.998739,0.992611,1.005988,0.441379
neutral,covariance,"blend, pair weight",future,Q2,290,5172,0.998552,0.992472,1.005645,0.444828
neutral,correlation,holdings corr,future,Q2,290,5172,0.887247,0.834097,0.938266,0.765517
neutral,correlation,blend corr,future,Q2,290,5172,0.883433,0.829302,0.934493,0.779310
neutral,correlation,factor corr K5,future,Q2,290,5172,1.053902,0.992730,1.117157,0.368966
neutral,correlation,factor corr K10,future,Q2,289,5155,1.021754,0.978923,1.066773,0.435986
neutral,correlation,"proxy factor corr, core 13",future,Q2,288,5139,0.997376,0.966694,1.029835,0.593750
neutral,correlation,"proxy factor corr, extended 22",future,Q2,282,5041,1.000822,0.980723,1.027425,0.588652
neutral,covariance,holdings cov,future,Q3,248,4621,1.003474,0.951782,1.037222,0.459677
neutral,covariance,"holdings corr, stream vol",future,Q3,248,4621,0.998045,0.989857,1.004480,0.552419
neutral,covariance,"blend, pair weight",future,Q3,248,4621,0.997824,0.989722,1.003814,0.552419
neutral,correlation,holdings corr,future,Q3,248,4621,0.958790,0.888953,0.992415,0.653226
neutral,correlation,blend corr,future,Q3,248,4621,0.957552,0.888004,0.991741,0.657258
neutral,correlation,factor corr K5,future,Q3,248,4621,1.057639,1.009855,1.135209,0.451613
neutral,correlation,factor corr K10,future,Q3,248,4621,1.017694,0.983554,1.067822,0.512097
neutral,correlation,"proxy factor corr, core 13",future,Q3,248,4614,0.983701,0.965792,1.004043,0.689516
neutral,correlation,"proxy factor corr, extended 22",future,Q3,247,4584,0.983738,0.969573,1.002088,0.716599
neutral,covariance,holdings cov,future,Q4,326,6901,1.008206,0.996882,1.023466,0.398773
neutral,covariance,"holdings corr, stream vol",future,Q4,326,6901,1.000997,0.995959,1.008815,0.438650
neutral,covariance,"blend, pair weight",future,Q4,326,6901,1.000582,0.995910,1.007052,0.438650
neutral,correlation,holdings corr,future,Q4,326,6901,0.983446,0.932037,1.021573,0.628834
neutral,correlation,blend corr,future,Q4,326,6901,0.978822,0.928542,1.012071,0.631902
neutral,correlation,factor corr K5,future,Q4,326,6901,1.070341,1.015444,1.169329,0.383436
