geometry,age,stratum,fund_dates,rmse_ratio_holdings_vol_to_stream,mean_loss_diff_over_noise
neutral,future,Q1,457,1.1074,-2.1413
neutral,future,Q2,489,1.0072,1.8099
neutral,future,Q3,599,1.0014,0.9369
neutral,future,Q4,1587,1.0196,-4.4037
neutral,0,Q1,459,1.0919,0.9445
neutral,0,Q2,490,0.9909,2.7050
neutral,0,Q3,598,0.9960,0.4723
neutral,0,Q4,1589,1.0156,0.7578
neutral,21,Q1,459,1.1277,9.8232
neutral,21,Q2,493,1.0154,2.7612
neutral,21,Q3,598,0.9995,0.3253
neutral,21,Q4,1588,1.0163,0.6708
neutral,63,Q1,458,1.4681,133.1256
neutral,63,Q2,497,1.0888,1.8076
neutral,63,Q3,604,1.0479,0.9128
neutral,63,Q4,1589,1.0165,0.7027
neutral,108,Q1,457,1.4994,183.0786
neutral,108,Q2,497,1.1607,9.0573
neutral,108,Q3,602,1.0625,24.8535
neutral,108,Q4,1580,1.0288,0.2478
