set,band,history,pairs,pair_dates,ratio,lo,hi
all,0.75-0.85,<2y,5985,118826,0.8670,0.8133,0.9145
all,0.75-0.85,2-4y,2153,40032,0.9965,0.9709,1.0208
all,0.75-0.85,4y-1512d,557,10602,0.9962,0.9578,1.0393
all,0.75-0.85,>=1512d (full window),243,5233,1.0208,0.9689,1.0660
all,0.85-0.95,<2y,20751,410079,0.8624,0.8345,0.8873
all,0.85-0.95,2-4y,7307,138708,0.9991,0.9836,1.0161
all,0.85-0.95,4y-1512d,1760,32429,0.9919,0.9679,1.0125
all,0.85-0.95,>=1512d (full window),441,9900,1.0115,0.9837,1.0364
all,<0.75,<2y,4613,90935,0.8600,0.8034,0.9189
all,<0.75,2-4y,1128,20511,0.9564,0.8913,1.0233
all,<0.75,4y-1512d,283,5487,0.9571,0.8291,1.0669
all,<0.75,>=1512d (full window),80,1595,1.0404,0.9745,1.2039
all,>0.95,<2y,15468,315945,0.8802,0.8469,0.9064
all,>0.95,2-4y,4786,88650,0.9993,0.9809,1.0166
all,>0.95,4y-1512d,593,10456,0.9946,0.9628,1.0247
all,>0.95,>=1512d (full window),141,3646,0.9797,0.9162,1.0268
drop_pinned(51),0.75-0.85,<2y,4536,89937,0.8821,0.8405,0.9203
drop_pinned(51),0.75-0.85,2-4y,1316,23589,0.9914,0.9655,1.0253
drop_pinned(51),0.75-0.85,4y-1512d,231,4302,0.9790,0.9526,1.0184
drop_pinned(51),0.75-0.85,>=1512d (full window),39,571,0.9808,0.9230,1.0458
drop_pinned(51),0.85-0.95,<2y,17068,336813,0.8769,0.8491,0.9018
drop_pinned(51),0.85-0.95,2-4y,5250,98503,1.0007,0.9833,1.0175
drop_pinned(51),0.85-0.95,4y-1512d,868,15448,0.9913,0.9639,1.0207
drop_pinned(51),0.85-0.95,>=1512d (full window),63,1068,1.0168,0.9769,1.0592
drop_pinned(51),<0.75,<2y,3867,76661,0.8640,0.8149,0.9269
drop_pinned(51),<0.75,2-4y,827,15140,0.9857,0.9238,1.0573
drop_pinned(51),<0.75,4y-1512d,166,3252,0.9894,0.9143,1.0654
drop_pinned(51),<0.75,>=1512d (full window),33,580,1.0260,0.9524,1.1051
drop_pinned(51),>0.95,<2y,13215,271001,0.8936,0.8688,0.9180
drop_pinned(51),>0.95,2-4y,3491,63388,1.0030,0.9840,1.0215
drop_pinned(51),>0.95,4y-1512d,195,3061,0.9961,0.9539,1.0351
drop_pinned(51),>0.95,>=1512d (full window),5,73,0.9746,0.9616,0.9880
