L,band,history,pairs,pair_dates,ratio,lo,hi,pairs_F5,pair_dates_F5,ratio_F5,lo_F5,hi_F5,pairs_F10,pair_dates_F10,ratio_F10,lo_F10,hi_F10,pairs_P13,pair_dates_P13,ratio_P13,lo_P13,hi_P13,pairs_P22,pair_dates_P22,ratio_P22,lo_P22,hi_P22
252,0.75-0.85,<2y,5985,118826,0.8670,0.8133,0.9145,5560,100024,0.9409,0.9011,0.9763,5163,86136,0.9196,0.8926,0.9475,4870,76518,0.9330,0.9080,0.9538,3053,39575,0.9329,0.9084,0.9557
252,0.75-0.85,2-4y,2153,40032,0.9965,0.9709,1.0208,2153,40032,0.9899,0.9553,1.0362,2153,40032,0.9810,0.9638,1.0014,2153,40032,0.9952,0.9864,1.0033,2153,39987,0.9932,0.9837,1.0017
252,0.75-0.85,4y-1512d,557,10602,0.9962,0.9578,1.0393,557,10602,1.0144,0.9818,1.0680,557,10602,0.9914,0.9702,1.0180,557,10602,0.9970,0.9828,1.0144,557,10602,0.9947,0.9797,1.0139
252,0.75-0.85,>=1512d (full window),243,5233,1.0208,0.9689,1.0660,243,5233,0.9600,0.9194,0.9971,243,5233,0.9692,0.9473,0.9946,243,5233,1.0048,0.9889,1.0217,243,5233,1.0008,0.9831,1.0165
252,0.85-0.95,<2y,20751,410079,0.8624,0.8345,0.8873,18694,335813,0.9418,0.9181,0.9663,17206,287120,0.9220,0.9034,0.9410,15921,250971,0.9367,0.9175,0.9539,10009,129391,0.9425,0.9269,0.9591
252,0.85-0.95,2-4y,7307,138708,0.9991,0.9836,1.0161,7307,138708,0.9916,0.9717,1.0096,7307,138708,0.9777,0.9637,0.9892,7307,138708,1.0035,0.9943,1.0119,7296,138438,1.0010,0.9922,1.0093
252,0.85-0.95,4y-1512d,1760,32429,0.9919,0.9679,1.0125,1760,32429,0.9476,0.9120,0.9847,1760,32429,0.9558,0.9302,0.9815,1760,32429,1.0029,0.9874,1.0197,1760,32429,1.0009,0.9848,1.0208
252,0.85-0.95,>=1512d (full window),441,9900,1.0115,0.9837,1.0364,441,9900,0.9314,0.8959,0.9771,441,9900,0.9396,0.9116,0.9708,441,9900,1.0057,0.9836,1.0232,441,9900,1.0009,0.9797,1.0185
252,<0.75,<2y,4613,90935,0.8600,0.8034,0.9189,4211,74850,0.9375,0.8832,0.9953,3936,64825,0.9367,0.8927,0.9934,3615,56586,0.9302,0.9022,0.9637,1991,25803,0.9350,0.9044,0.9917
252,<0.75,2-4y,1128,20511,0.9564,0.8913,1.0233,1128,20511,1.0185,0.9606,1.0891,1128,20511,1.0006,0.9667,1.0579,1128,20511,0.9869,0.9653,1.0216,1128,20494,0.9866,0.9641,1.0192
252,<0.75,4y-1512d,283,5487,0.9571,0.8291,1.0669,283,5487,1.0447,0.9996,1.1070,283,5487,1.0036,0.9793,1.0447,283,5487,0.9853,0.9701,1.0004,283,5487,0.9852,0.9689,1.0007
252,<0.75,>=1512d (full window),80,1595,1.0404,0.9745,1.2039,80,1595,0.9365,0.8734,1.0407,80,1595,0.9525,0.9224,1.0167,80,1595,0.9817,0.9660,1.0050,80,1595,0.9826,0.9638,1.0043
252,>0.95,<2y,15468,315945,0.8802,0.8469,0.9064,14477,265811,0.9879,0.9495,1.0251,13325,226816,0.9328,0.9066,0.9611,12421,199070,0.9391,0.9123,0.9640,8237,107459,0.9523,0.9277,0.9733
252,>0.95,2-4y,4786,88650,0.9993,0.9809,1.0166,4786,88650,0.9904,0.9647,1.0247,4786,88650,0.9730,0.9473,0.9942,4786,88650,1.0046,0.9858,1.0226,4786,88636,1.0019,0.9860,1.0188
252,>0.95,4y-1512d,593,10456,0.9946,0.9628,1.0247,593,10456,0.9984,0.9281,1.0957,593,10456,0.9606,0.9134,1.0044,593,10456,0.9933,0.9705,1.0234,593,10456,0.9904,0.9656,1.0195
252,>0.95,>=1512d (full window),141,3646,0.9797,0.9162,1.0268,141,3646,0.9440,0.8633,1.0568,141,3646,0.9435,0.8883,1.0066,141,3646,0.9878,0.9274,1.0357,141,3646,0.9903,0.9338,1.0387
