geometry,regression,channel,age,stratum,coef,se,t,nobs
neutral,holdings cov vs stream,covariance,0,Q1,-391902388637159647084544.000000,486539663213032904851456.000000,-0.805489,5606138
neutral,holdings cov vs stream,covariance,0,Q2,728349356813060287758336.000000,2502859708370502916505600.000000,0.291007,5606138
neutral,holdings cov vs stream,covariance,0,Q3,-110229921357074666618880.000000,1749225092292717836238848.000000,-0.063016,5606138
neutral,holdings cov vs stream,covariance,0,Q4,-154280731893551825518854144.000000,153915303333174910858035200.000000,-1.002374,5606138
neutral,holdings cov vs stream,covariance,21,Q1,0.188663,1.022947,0.184431,5606138
neutral,holdings cov vs stream,covariance,21,Q2,0.277530,1.100924,0.252088,5606138
neutral,holdings cov vs stream,covariance,21,Q3,0.027369,1.479387,0.018500,5606138
neutral,holdings cov vs stream,covariance,21,Q4,-0.066477,1.740773,-0.038188,5606138
neutral,holdings cov vs stream,covariance,63,Q1,-0.000433,1.059688,-0.000409,5606138
neutral,holdings cov vs stream,covariance,63,Q2,-0.002389,1.128883,-0.002116,5606138
neutral,holdings cov vs stream,covariance,63,Q3,-0.494534,1.600789,-0.308932,5606138
neutral,holdings cov vs stream,covariance,63,Q4,-0.564530,1.797471,-0.314069,5606138
neutral,holdings cov vs stream,covariance,108,Q1,0.172175,0.901017,0.191090,5606138
neutral,holdings cov vs stream,covariance,108,Q2,-0.046707,1.057973,-0.044148,5606138
neutral,holdings cov vs stream,covariance,108,Q3,-0.612720,1.480871,-0.413757,5606138
neutral,holdings cov vs stream,covariance,108,Q4,-0.616350,1.654756,-0.372472,5606138
neutral,holdings cov vs stream,covariance,0,Q1 - Q4,153888829504914660905713664.000000,153905447886228402951159808.000000,0.999892,5606138
neutral,holdings cov vs stream,covariance,21,Q1 - Q4,0.255140,0.808975,0.315386,5606138
neutral,holdings cov vs stream,covariance,63,Q1 - Q4,0.564096,0.823739,0.684800,5606138
neutral,holdings cov vs stream,covariance,108,Q1 - Q4,0.788525,0.828805,0.951400,5606138
neutral,blend vs stream,covariance,0,Q1,-294022.687905,247528.892448,-1.187832,5606138
neutral,blend vs stream,covariance,0,Q2,-87599.305130,37603.121635,-2.329575,5606138
neutral,blend vs stream,covariance,0,Q3,-167607.043841,94220.861626,-1.778874,5606138
neutral,blend vs stream,covariance,0,Q4,-83255.516257,64376.247597,-1.293265,5606138
neutral,blend vs stream,covariance,21,Q1,-0.391506,0.347689,-1.126025,5606138
neutral,blend vs stream,covariance,21,Q2,-0.322764,0.393988,-0.819224,5606138
neutral,blend vs stream,covariance,21,Q3,-0.485263,0.438247,-1.107281,5606138
neutral,blend vs stream,covariance,21,Q4,-0.465874,0.456710,-1.020064,5606138
neutral,blend vs stream,covariance,63,Q1,-0.405466,0.361100,-1.122863,5606138
neutral,blend vs stream,covariance,63,Q2,-0.327975,0.411030,-0.797933,5606138
neutral,blend vs stream,covariance,63,Q3,-0.468797,0.436738,-1.073405,5606138
neutral,blend vs stream,covariance,63,Q4,-0.514235,0.488677,-1.052301,5606138
neutral,blend vs stream,covariance,108,Q1,-0.348114,0.368180,-0.945501,5606138
neutral,blend vs stream,covariance,108,Q2,-0.336230,0.431621,-0.778993,5606138
neutral,blend vs stream,covariance,108,Q3,-0.507268,0.475353,-1.067142,5606138
neutral,blend vs stream,covariance,108,Q4,-0.504089,0.493499,-1.021459,5606138
neutral,blend vs stream,covariance,0,Q1 - Q4,-210767.171648,251497.704458,-0.838048,5606138
neutral,blend vs stream,covariance,21,Q1 - Q4,0.074367,0.127030,0.585429,5606138
neutral,blend vs stream,covariance,63,Q1 - Q4,0.108769,0.132140,0.823139,5606138
neutral,blend vs stream,covariance,108,Q1 - Q4,0.155975,0.118921,1.311578,5606138
neutral,holdings corr vs stream,correlation,0,Q1,-0.016669,0.003387,-4.921063,5606156
neutral,holdings corr vs stream,correlation,0,Q2,-0.012447,0.002820,-4.413945,5606156
neutral,holdings corr vs stream,correlation,0,Q3,-0.018343,0.003524,-5.204801,5606156
neutral,holdings corr vs stream,correlation,0,Q4,-0.015296,0.003620,-4.225480,5606156
neutral,holdings corr vs stream,correlation,21,Q1,-0.005051,0.003430,-1.472502,5606156
neutral,holdings corr vs stream,correlation,21,Q2,-0.007649,0.002756,-2.775812,5606156
neutral,holdings corr vs stream,correlation,21,Q3,-0.012209,0.003257,-3.749004,5606156
neutral,holdings corr vs stream,correlation,21,Q4,-0.011410,0.003590,-3.178280,5606156
neutral,holdings corr vs stream,correlation,63,Q1,0.002435,0.003689,0.659982,5606156
neutral,holdings corr vs stream,correlation,63,Q2,-0.003862,0.002684,-1.438636,5606156
neutral,holdings corr vs stream,correlation,63,Q3,-0.009692,0.003198,-3.031216,5606156
neutral,holdings corr vs stream,correlation,63,Q4,-0.009821,0.003689,-2.662261,5606156
neutral,holdings corr vs stream,correlation,108,Q1,0.005186,0.003525,1.471404,5606156
neutral,holdings corr vs stream,correlation,108,Q2,-0.000409,0.002801,-0.145866,5606156
neutral,holdings corr vs stream,correlation,108,Q3,-0.007283,0.003319,-2.194011,5606156
neutral,holdings corr vs stream,correlation,108,Q4,-0.007703,0.003835,-2.008616,5606156
neutral,holdings corr vs stream,correlation,0,Q1 - Q4,-0.001373,0.003363,-0.408289,5606156
neutral,holdings corr vs stream,correlation,21,Q1 - Q4,0.006359,0.003446,1.845226,5606156
neutral,holdings corr vs stream,correlation,63,Q1 - Q4,0.012256,0.003811,3.216098,5606156
neutral,holdings corr vs stream,correlation,108,Q1 - Q4,0.012889,0.003686,3.496628,5606156
neutral,blend corr vs stream,correlation,0,Q1,-0.017895,0.003298,-5.426630,5606156
neutral,blend corr vs stream,correlation,0,Q2,-0.012563,0.002807,-4.475963,5606156
neutral,blend corr vs stream,correlation,0,Q3,-0.018382,0.003517,-5.227018,5606156
neutral,blend corr vs stream,correlation,0,Q4,-0.015311,0.003616,-4.234375,5606156
neutral,blend corr vs stream,correlation,21,Q1,-0.008932,0.002854,-3.129433,5606156
neutral,blend corr vs stream,correlation,21,Q2,-0.007955,0.002712,-2.932967,5606156
neutral,blend corr vs stream,correlation,21,Q3,-0.012309,0.003231,-3.809313,5606156
neutral,blend corr vs stream,correlation,21,Q4,-0.011453,0.003576,-3.202653,5606156
neutral,blend corr vs stream,correlation,63,Q1,-0.005106,0.002361,-2.162078,5606156
neutral,blend corr vs stream,correlation,63,Q2,-0.004566,0.002578,-1.771018,5606156
neutral,blend corr vs stream,correlation,63,Q3,-0.009883,0.003139,-3.148123,5606156
neutral,blend corr vs stream,correlation,63,Q4,-0.009915,0.003655,-2.712601,5606156
neutral,blend corr vs stream,correlation,108,Q1,-0.002959,0.002223,-1.331257,5606156
neutral,blend corr vs stream,correlation,108,Q2,-0.001591,0.002617,-0.608099,5606156
neutral,blend corr vs stream,correlation,108,Q3,-0.007702,0.003219,-2.392286,5606156
neutral,blend corr vs stream,correlation,108,Q4,-0.007886,0.003781,-2.085290,5606156
neutral,blend corr vs stream,correlation,0,Q1 - Q4,-0.002584,0.003296,-0.784064,5606156
neutral,blend corr vs stream,correlation,21,Q1 - Q4,0.002522,0.002976,0.847301,5606156
neutral,blend corr vs stream,correlation,63,Q1 - Q4,0.004810,0.002824,1.703081,5606156
neutral,blend corr vs stream,correlation,108,Q1 - Q4,0.004926,0.002912,1.691626,5606156
neutral,factor corr K5 vs stream,correlation,0,Q1,-0.009722,0.004228,-2.299390,5381875
neutral,factor corr K5 vs stream,correlation,0,Q2,-0.010496,0.004247,-2.471642,5381875
neutral,factor corr K5 vs stream,correlation,0,Q3,-0.012070,0.006153,-1.961823,5381875
neutral,factor corr K5 vs stream,correlation,0,Q4,-0.006034,0.006815,-0.885439,5381875
neutral,factor corr K5 vs stream,correlation,21,Q1,-0.009665,0.004220,-2.290153,5381875
neutral,factor corr K5 vs stream,correlation,21,Q2,-0.010482,0.004241,-2.471553,5381875
neutral,factor corr K5 vs stream,correlation,21,Q3,-0.012040,0.006143,-1.959993,5381875
neutral,factor corr K5 vs stream,correlation,21,Q4,-0.006030,0.006808,-0.885731,5381875
neutral,factor corr K5 vs stream,correlation,63,Q1,-0.009555,0.004230,-2.258570,5381875
neutral,factor corr K5 vs stream,correlation,63,Q2,-0.010538,0.004248,-2.480535,5381875
neutral,factor corr K5 vs stream,correlation,63,Q3,-0.012100,0.006165,-1.962699,5381875
neutral,factor corr K5 vs stream,correlation,63,Q4,-0.006167,0.006869,-0.897726,5381875
neutral,factor corr K5 vs stream,correlation,108,Q1,-0.009627,0.004459,-2.158990,5381875
neutral,factor corr K5 vs stream,correlation,108,Q2,-0.010733,0.004438,-2.418270,5381875
neutral,factor corr K5 vs stream,correlation,108,Q3,-0.012881,0.006483,-1.986962,5381875
neutral,factor corr K5 vs stream,correlation,108,Q4,-0.006660,0.007225,-0.921776,5381875
neutral,factor corr K5 vs stream,correlation,0,Q1 - Q4,-0.003688,0.004144,-0.890081,5381875
neutral,factor corr K5 vs stream,correlation,21,Q1 - Q4,-0.003635,0.004142,-0.877544,5381875
neutral,factor corr K5 vs stream,correlation,63,Q1 - Q4,-0.003388,0.004211,-0.804511,5381875
neutral,factor corr K5 vs stream,correlation,108,Q1 - Q4,-0.002968,0.004470,-0.663856,5381875
neutral,factor corr K10 vs stream,correlation,0,Q1,-0.011283,0.002843,-3.968783,5107442
neutral,factor corr K10 vs stream,correlation,0,Q2,-0.011335,0.002733,-4.148055,5107442
neutral,factor corr K10 vs stream,correlation,0,Q3,-0.015545,0.004017,-3.870153,5107442
neutral,factor corr K10 vs stream,correlation,0,Q4,-0.012768,0.004577,-2.789684,5107442
neutral,factor corr K10 vs stream,correlation,21,Q1,-0.011250,0.002838,-3.964621,5107442
neutral,factor corr K10 vs stream,correlation,21,Q2,-0.011332,0.002730,-4.151405,5107442
