geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,covariance,holdings cov,future,0.75-0.85,6253,197085,0.995588,0.980890,1.009019,0.467775
neutral,covariance,"holdings corr, stream vol",future,0.75-0.85,6253,197085,0.981525,0.970188,0.989263,0.768271
neutral,covariance,"blend, pair weight",future,0.75-0.85,6253,197085,0.981402,0.970264,0.989202,0.774348
neutral,correlation,holdings corr,future,0.75-0.85,6253,197085,0.917688,0.878984,0.948709,0.746042
neutral,correlation,blend corr,future,0.75-0.85,6253,197085,0.915435,0.876129,0.946452,0.755797
neutral,correlation,factor corr K5,future,0.75-0.85,5959,179387,0.945444,0.915255,0.975412,0.688203
neutral,correlation,factor corr K10,future,0.75-0.85,5742,166933,0.935827,0.912597,0.957352,0.768722
neutral,correlation,"proxy factor corr, core 13",future,0.75-0.85,5586,158276,0.956858,0.936663,0.972877,0.745256
neutral,correlation,"proxy factor corr, extended 22",future,0.75-0.85,4759,129257,0.962898,0.943788,0.978567,0.753099
neutral,covariance,holdings cov,future,0.85-0.95,21274,657955,0.997329,0.990023,1.003823,0.436824
neutral,covariance,"holdings corr, stream vol",future,0.85-0.95,21274,657955,0.986374,0.981672,0.990541,0.757450
neutral,covariance,"blend, pair weight",future,0.85-0.95,21274,657955,0.986357,0.981661,0.990534,0.758532
neutral,correlation,holdings corr,future,0.85-0.95,21274,657955,0.918548,0.899877,0.936117,0.737943
neutral,correlation,blend corr,future,0.85-0.95,21274,657955,0.918071,0.899197,0.935598,0.740387
neutral,correlation,factor corr K5,future,0.85-0.95,19735,588381,0.938922,0.920104,0.957441,0.684723
neutral,correlation,factor corr K10,future,0.85-0.95,18663,542761,0.932857,0.915569,0.948099,0.743664
neutral,correlation,"proxy factor corr, core 13",future,0.85-0.95,18129,513367,0.965529,0.949647,0.979823,0.693254
