geometry,age,stratum,fund_dates,rmse_ratio_holdings_vol_to_stream,mean_loss_diff_over_noise
neutral,future,Q1,4013,1.0079,inf
neutral,future,Q2,3213,0.9999,
neutral,future,Q3,3992,0.9970,
neutral,future,Q4,8843,1.0033,
neutral,0,Q1,4016,1.0002,inf
neutral,0,Q2,3224,1.0029,
neutral,0,Q3,3992,1.0047,
neutral,0,Q4,8848,0.9890,
neutral,21,Q1,3958,1.0104,25.1422
neutral,21,Q2,3178,1.0139,1.2059
neutral,21,Q3,3920,1.0012,0.7980
neutral,21,Q4,8680,0.9970,0.6967
neutral,63,Q1,3814,1.0259,36.9680
neutral,63,Q2,3080,1.0180,1.0476
neutral,63,Q3,3776,0.9927,0.3346
neutral,63,Q4,8326,1.0165,0.2945
neutral,108,Q1,3653,1.0973,33.6127
neutral,108,Q2,2961,1.0229,1.2174
neutral,108,Q3,3613,1.0139,0.3359
neutral,108,Q4,7942,1.0319,0.4306
