geometry,regression,channel,age,stratum,coef,se,t,nobs
neutral,holdings cov vs stream,covariance,0,Q1,-214950873039813047204370710528.000000,210136834660047685825016627200.000000,-1.022909,5602269
neutral,holdings cov vs stream,covariance,0,Q2,-493442486263009535203785834496.000000,486989301384638591090917638144.000000,-1.013251,5602269
neutral,holdings cov vs stream,covariance,0,Q3,3856254465451721914056704.000000,5864584381221901220970496.000000,0.657549,5602269
neutral,holdings cov vs stream,covariance,0,Q4,-164295210623350087121633280.000000,178772571569657714552340480.000000,-0.919018,5602269
neutral,holdings cov vs stream,covariance,21,Q1,5450917015.752429,5355816770.914938,1.017756,5602269
neutral,holdings cov vs stream,covariance,21,Q2,893109004.376547,856610639.019187,1.042608,5602269
neutral,holdings cov vs stream,covariance,21,Q3,121731077092.342087,121455121796.178635,1.002272,5602269
neutral,holdings cov vs stream,covariance,21,Q4,0.266341,0.141199,1.886289,5602269
neutral,holdings cov vs stream,covariance,63,Q1,6252117424.169236,6187276064.796615,1.010480,5602269
neutral,holdings cov vs stream,covariance,63,Q2,2284687236.803629,2223283598.981894,1.027618,5602269
neutral,holdings cov vs stream,covariance,63,Q3,104773788957.938187,104531101732.100311,1.002322,5602269
neutral,holdings cov vs stream,covariance,63,Q4,0.268728,0.079825,3.366453,5602269
neutral,holdings cov vs stream,covariance,108,Q1,-5108821.316319,0.000000,,5602269
neutral,holdings cov vs stream,covariance,108,Q2,-3386968253.863071,3329758704.684905,-1.017181,5602269
neutral,holdings cov vs stream,covariance,108,Q3,67075253328.179199,67038945677.340714,1.000542,5602269
neutral,holdings cov vs stream,covariance,108,Q4,0.661374,0.325318,2.033008,5602269
neutral,holdings cov vs stream,covariance,0,Q1 - Q4,-214786577829189692959720734720.000000,210149070664899806944005455872.000000,-1.022068,5602269
neutral,holdings cov vs stream,covariance,21,Q1 - Q4,5450917015.486088,5355816770.855481,1.017756,5602269
neutral,holdings cov vs stream,covariance,63,Q1 - Q4,6252117423.900509,6187276064.769023,1.010480,5602269
neutral,holdings cov vs stream,covariance,108,Q1 - Q4,-5108821.977692,0.000000,,5602269
