geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,covariance,holdings cov,future,0.75-0.85,6253,198244,1.003235,0.993199,1.011962,0.404926
neutral,covariance,"holdings corr, stream vol",future,0.75-0.85,6253,198244,0.990534,0.983963,0.995360,0.639853
neutral,covariance,"blend, pair weight",future,0.75-0.85,6253,198244,0.990478,0.983916,0.995280,0.644810
neutral,correlation,holdings corr,future,0.75-0.85,6253,198244,0.934116,0.910312,0.955602,0.782025
neutral,correlation,blend corr,future,0.75-0.85,6253,198244,0.933395,0.909082,0.955184,0.787942
neutral,correlation,factor corr K5,future,0.75-0.85,5954,179496,1.015995,0.993395,1.044128,0.516627
neutral,correlation,factor corr K10,future,0.75-0.85,5733,166372,0.988903,0.973121,1.007693,0.607710
neutral,correlation,"proxy factor corr, core 13",future,0.75-0.85,5559,156692,0.979220,0.969699,0.988459,0.742040
neutral,correlation,"proxy factor corr, extended 22",future,0.75-0.85,4713,125905,0.978598,0.969812,0.987793,0.774878
neutral,covariance,holdings cov,future,0.85-0.95,21274,659872,1.003809,0.996093,1.010089,0.360628
neutral,covariance,"holdings corr, stream vol",future,0.85-0.95,21274,659872,0.992871,0.987436,0.996641,0.612532
neutral,covariance,"blend, pair weight",future,0.85-0.95,21274,659872,0.992865,0.987432,0.996625,0.613707
neutral,correlation,holdings corr,future,0.85-0.95,21274,659872,0.933139,0.916963,0.946911,0.789320
neutral,correlation,blend corr,future,0.85-0.95,21274,659872,0.932958,0.916863,0.946633,0.791201
neutral,correlation,factor corr K5,future,0.85-0.95,19719,588919,1.032891,1.011465,1.055634,0.531416
neutral,correlation,factor corr K10,future,0.85-0.95,18641,542653,0.996881,0.982704,1.011463,0.601738
neutral,correlation,"proxy factor corr, core 13",future,0.85-0.95,18075,511649,0.978616,0.966223,0.989663,0.720830
neutral,correlation,"proxy factor corr, extended 22",future,0.85-0.95,15360,410288,0.980453,0.969462,0.991203,0.754492
neutral,covariance,holdings cov,future,<0.75,4745,133493,0.997791,0.982370,1.018757,0.418546
neutral,covariance,"holdings corr, stream vol",future,<0.75,4745,133493,0.989993,0.977674,0.997353,0.511486
neutral,covariance,"blend, pair weight",future,<0.75,4745,133493,0.989288,0.976179,0.996598,0.531928
neutral,correlation,holdings corr,future,<0.75,4745,133493,0.890655,0.851715,0.925617,0.765859
neutral,correlation,blend corr,future,<0.75,4745,133493,0.879084,0.837916,0.915361,0.794310
neutral,correlation,factor corr K5,future,<0.75,4466,118246,1.011696,0.976400,1.047674,0.586207
neutral,correlation,factor corr K10,future,<0.75,4251,108513,0.991742,0.962667,1.025494,0.661727
neutral,correlation,"proxy factor corr, core 13",future,<0.75,3999,100607,0.982934,0.963473,1.010590,0.742436
neutral,correlation,"proxy factor corr, extended 22",future,<0.75,3132,75900,0.991856,0.971799,1.023140,0.738506
neutral,covariance,holdings cov,future,>0.95,15836,469632,1.004993,0.987515,1.016952,0.276964
neutral,covariance,"holdings corr, stream vol",future,>0.95,15836,469632,0.990706,0.976933,0.998884,0.562768
neutral,covariance,"blend, pair weight",future,>0.95,15836,469632,0.990702,0.976936,0.998876,0.562958
neutral,correlation,holdings corr,future,>0.95,15836,469632,0.948876,0.932674,0.962757,0.738633
neutral,correlation,blend corr,future,>0.95,15836,469632,0.948808,0.932643,0.962626,0.739391
neutral,correlation,factor corr K5,future,>0.95,15166,421468,1.108619,1.073459,1.153001,0.426217
neutral,correlation,factor corr K10,future,>0.95,14410,385495,1.042953,1.018444,1.070323,0.507148
neutral,correlation,"proxy factor corr, core 13",future,>0.95,13807,358864,0.984410,0.972474,0.995487,0.709857
neutral,correlation,"proxy factor corr, extended 22",future,>0.95,11477,278630,0.982635,0.970969,0.993265,0.760042
neutral,covariance,holdings cov,0,0.75-0.85,6261,198342,1.003118,0.993075,1.013386,0.422456
neutral,covariance,"holdings corr, stream vol",0,0.75-0.85,6261,198342,0.991542,0.985317,0.996951,0.582655
neutral,covariance,"blend, pair weight",0,0.75-0.85,6261,198342,0.991498,0.985338,0.996877,0.587286
