geometry,age,stratum,fund_dates,rmse_ratio_holdings_vol_to_stream,mean_loss_diff_over_noise
neutral,future,Q1,4125,0.9985,-inf
neutral,future,Q2,3274,1.0006,
neutral,future,Q3,4067,0.9888,
neutral,future,Q4,8960,1.0045,
neutral,0,Q1,4128,0.9963,-inf
neutral,0,Q2,3282,1.0028,
neutral,0,Q3,4067,0.9994,
neutral,0,Q4,8964,0.9931,
neutral,21,Q1,4048,1.0095,15.7042
neutral,21,Q2,3223,1.0101,0.7752
neutral,21,Q3,3987,1.0019,-55985957059773764544233472.0000
neutral,21,Q4,8775,0.9898,0.2925
neutral,63,Q1,3873,1.0254,41.4764
neutral,63,Q2,3099,1.0310,0.9819
neutral,63,Q3,3818,0.9891,-59328918371530091771461632.0000
neutral,63,Q4,8388,1.0148,0.6433
neutral,108,Q1,3678,1.1012,41.2937
neutral,108,Q2,2959,1.0444,1.7215
neutral,108,Q3,3631,1.0327,-65731415673649965507280896.0000
neutral,108,Q4,7969,1.0304,1.4526
