band,age,pairs,pair_dates,ratio,lo,hi
<0.75,0,4275,68929,0.8757,0.8280,0.9295
<0.75,21,4156,63864,1.0326,0.9771,1.0981
<0.75,63,3486,49003,1.1167,1.0533,1.2004
<0.75,108,2505,31694,1.1515,1.0750,1.2538
0.75-0.85,0,5567,89117,0.8959,0.8588,0.9250
0.75-0.85,21,5393,82510,0.9583,0.9321,0.9796
0.75-0.85,63,4569,63945,1.0165,0.9946,1.0530
0.75-0.85,108,3249,40801,1.0426,1.0114,1.0812
0.85-0.95,0,19282,308784,0.8829,0.8607,0.9048
0.85-0.95,21,18266,280281,0.9549,0.9465,0.9625
0.85-0.95,63,15311,215383,0.9899,0.9822,0.9982
0.85-0.95,108,10830,136371,1.0230,1.0124,1.0361
>0.95,0,14266,235173,0.9085,0.8847,0.9271
>0.95,21,13822,216896,0.9678,0.9559,0.9775
>0.95,63,12242,173997,0.9883,0.9789,0.9989
>0.95,108,9119,115317,1.0111,1.0006,1.0224
