regression,age,stratum,coef,se_keyfund_date,t_keyfund_date,se_dyadic_date,t_dyadic_date,se_ratio,nobs
holdings corr vs stream,0,Q1,-0.005948,0.001815,-3.276968,0.001902,-3.127073,1.047935,2897306
holdings corr vs stream,0,Q4,-0.005144,0.001711,-3.006721,0.002145,-2.398255,1.253712,2897306
holdings corr vs stream,0,Q1 - Q4,-0.000804,0.002238,-0.359413,0.002462,-0.326681,1.100197,2897306
holdings corr vs stream,21,Q1,0.004345,0.002602,1.670219,0.002836,1.532016,1.090210,2897306
holdings corr vs stream,21,Q4,-0.003591,0.001416,-2.535681,0.001845,-1.946808,1.302481,2897306
holdings corr vs stream,21,Q1 - Q4,0.007936,0.002740,2.897010,0.003072,2.583371,1.121407,2897306
holdings corr vs stream,63,Q1,0.011188,0.003144,3.558127,0.003460,3.233588,1.100365,2897306
holdings corr vs stream,63,Q4,-0.002461,0.001481,-1.661756,0.001873,-1.314057,1.264600,2897306
holdings corr vs stream,63,Q1 - Q4,0.013649,0.003194,4.273471,0.003596,3.795296,1.125991,2897306
holdings corr vs stream,108,Q1,0.014808,0.002953,5.013968,0.003236,4.576493,1.095592,2897306
holdings corr vs stream,108,Q4,-0.000803,0.001723,-0.465680,0.002076,-0.386542,1.204734,2897306
holdings corr vs stream,108,Q1 - Q4,0.015610,0.003128,4.989818,0.003493,4.469601,1.116390,2897306
"staleness cost, holdings corr vs fresh",21,Q1,0.009793,0.002567,3.815581,0.002768,3.537838,1.078507,2163736
"staleness cost, holdings corr vs fresh",21,Q4,0.000188,0.000489,0.384344,0.000497,0.377938,1.016949,2163736
"staleness cost, holdings corr vs fresh",21,Q1 - Q4,0.009606,0.002496,3.847774,0.002687,3.574471,1.076460,2163736
"staleness cost, holdings corr vs fresh",63,Q1,0.016239,0.003296,4.927056,0.003583,4.531761,1.087228,2163736
"staleness cost, holdings corr vs fresh",63,Q4,0.001354,0.000614,2.202884,0.000670,2.019717,1.090690,2163736
"staleness cost, holdings corr vs fresh",63,Q1 - Q4,0.014885,0.003216,4.628906,0.003489,4.265995,1.085071,2163736
"staleness cost, holdings corr vs fresh",108,Q1,0.019897,0.002945,6.755251,0.003217,6.184415,1.092302,2163736
"staleness cost, holdings corr vs fresh",108,Q4,0.003462,0.000727,4.762679,0.000826,4.191384,1.136302,2163736
"staleness cost, holdings corr vs fresh",108,Q1 - Q4,0.016435,0.002879,5.708168,0.003122,5.263595,1.084462,2163736
