book,term,coef,se,t,nobs
fresh,<0.75,-0.006631,0.003428,-1.934222,726123
fresh,0.75-0.85,-0.005287,0.002111,-2.504140,726123
fresh,0.85-0.95,-0.005235,0.001725,-3.035237,726123
fresh,>0.95,-0.004123,0.001870,-2.204445,726123
fresh,fastest - frozen,-0.002508,0.003768,-0.665551,726123
fresh,slope on 1 - phibar,-0.003832,0.009941,-0.385448,726123
oracle,<0.75,-0.010164,0.003359,-3.025746,726272
oracle,0.75-0.85,-0.006260,0.002182,-2.868571,726272
oracle,0.85-0.95,-0.005347,0.001791,-2.986005,726272
oracle,>0.95,-0.004073,0.001907,-2.135611,726272
oracle,fastest - frozen,-0.006090,0.003703,-1.644646,726272
oracle,slope on 1 - phibar,-0.013561,0.009564,-1.417885,726272
