geometry,regression,channel,age,stratum,coef,se,t,nobs
neutral,holdings cov vs stream,covariance,0,Q1,918906165.308567,929847621.174506,0.988233,2897306
neutral,holdings cov vs stream,covariance,0,Q2,2904868267.847162,2920468608.086282,0.994658,2897306
neutral,holdings cov vs stream,covariance,0,Q3,80441428528.218735,80544428806.457642,0.998721,2897306
neutral,holdings cov vs stream,covariance,0,Q4,0.679081,0.238598,2.846126,2897306
neutral,holdings cov vs stream,covariance,21,Q1,4400181700.508750,4327295302.286954,1.016843,2897306
neutral,holdings cov vs stream,covariance,21,Q2,10393490400.953690,10242047888.983288,1.014786,2897306
neutral,holdings cov vs stream,covariance,21,Q3,128895184114.478806,129048448254.481033,0.998812,2897306
neutral,holdings cov vs stream,covariance,21,Q4,0.238056,0.194161,1.226079,2897306
neutral,holdings cov vs stream,covariance,63,Q1,3020343366.857080,3000134735.162973,1.006736,2897306
neutral,holdings cov vs stream,covariance,63,Q2,11427974084.614437,11262159749.208828,1.014723,2897306
neutral,holdings cov vs stream,covariance,63,Q3,123251418436.004044,123408564759.378082,0.998727,2897306
neutral,holdings cov vs stream,covariance,63,Q4,0.311241,0.088926,3.500008,2897306
neutral,holdings cov vs stream,covariance,108,Q1,-465307441.747692,383791500.862337,-1.212396,2897306
neutral,holdings cov vs stream,covariance,108,Q2,2343390258.178394,2373777824.082644,0.987199,2897306
neutral,holdings cov vs stream,covariance,108,Q3,83085120102.727432,83236556273.880447,0.998181,2897306
neutral,holdings cov vs stream,covariance,108,Q4,0.692026,0.292700,2.364285,2897306
neutral,holdings cov vs stream,covariance,0,Q1 - Q4,918906164.629485,929847621.169106,0.988233,2897306
neutral,holdings cov vs stream,covariance,21,Q1 - Q4,4400181700.270694,4327295302.277574,1.016843,2897306
neutral,holdings cov vs stream,covariance,63,Q1 - Q4,3020343366.545839,3000134735.157853,1.006736,2897306
neutral,holdings cov vs stream,covariance,108,Q1 - Q4,-465307442.439718,383791500.863907,-1.212396,2897306
neutral,blend vs stream,covariance,0,Q1,-5144.306483,4980.207179,-1.032950,2897306
neutral,blend vs stream,covariance,0,Q2,-10282.463849,10057.191781,-1.022399,2897306
neutral,blend vs stream,covariance,0,Q3,-26130.018426,26116.318699,-1.000525,2897306
neutral,blend vs stream,covariance,0,Q4,0.021654,0.055331,0.391347,2897306
