geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,covariance,holdings cov,future,0.75-0.85,3412,88987,1.009561,0.998355,1.019812,0.380715
neutral,covariance,"holdings corr, stream vol",future,0.75-0.85,3412,88987,0.996192,0.988902,1.001036,0.545721
neutral,covariance,"blend, pair weight",future,0.75-0.85,3412,88987,0.996096,0.988740,1.000839,0.551290
neutral,correlation,holdings corr,future,0.75-0.85,3412,88987,0.971756,0.947100,0.999267,0.664127
neutral,correlation,blend corr,future,0.75-0.85,3412,88987,0.971055,0.946070,0.998255,0.669109
neutral,correlation,factor corr K5,future,0.75-0.85,3406,88570,1.004436,0.974409,1.035980,0.532002
neutral,correlation,factor corr K10,future,0.75-0.85,3403,88267,0.983851,0.962496,1.005839,0.594475
neutral,correlation,"proxy factor corr, core 13",future,0.75-0.85,3384,87552,0.980158,0.968817,0.989619,0.710402
neutral,correlation,"proxy factor corr, extended 22",future,0.75-0.85,3368,85859,0.979712,0.969048,0.988864,0.741093
neutral,covariance,holdings cov,future,0.85-0.95,10906,284346,1.009042,0.998167,1.016962,0.296442
neutral,covariance,"holdings corr, stream vol",future,0.85-0.95,10906,284346,0.995359,0.986911,0.999918,0.541812
neutral,covariance,"blend, pair weight",future,0.85-0.95,10906,284346,0.995364,0.986942,0.999906,0.542362
neutral,correlation,holdings corr,future,0.85-0.95,10906,284346,0.975213,0.958735,0.988704,0.609389
neutral,correlation,blend corr,future,0.85-0.95,10906,284346,0.975051,0.958484,0.988505,0.610765
neutral,correlation,factor corr K5,future,0.85-0.95,10894,283889,1.022970,0.998841,1.047706,0.545254
neutral,correlation,factor corr K10,future,0.85-0.95,10887,283633,0.990066,0.972634,1.005928,0.615413
neutral,correlation,"proxy factor corr, core 13",future,0.85-0.95,10835,282371,0.979680,0.965093,0.991942,0.694047
neutral,correlation,"proxy factor corr, extended 22",future,0.85-0.95,10739,277251,0.982864,0.970691,0.993181,0.723717
neutral,covariance,holdings cov,future,<0.75,1850,46112,1.006558,0.996021,1.066022,0.376216
neutral,covariance,"holdings corr, stream vol",future,<0.75,1850,46112,1.001337,0.993770,1.021585,0.416757
neutral,covariance,"blend, pair weight",future,<0.75,1850,46112,1.000571,0.993370,1.014396,0.432973
neutral,correlation,holdings corr,future,<0.75,1850,46112,0.939830,0.886070,0.977894,0.637297
neutral,correlation,blend corr,future,<0.75,1850,46112,0.927144,0.872372,0.963014,0.661622
neutral,correlation,factor corr K5,future,<0.75,1847,46049,1.031223,0.990856,1.070174,0.500812
neutral,correlation,factor corr K10,future,<0.75,1847,46029,1.002941,0.972290,1.037124,0.604764
neutral,correlation,"proxy factor corr, core 13",future,<0.75,1835,45803,0.987568,0.966280,1.016572,0.697548
neutral,correlation,"proxy factor corr, extended 22",future,<0.75,1826,45336,0.990795,0.970458,1.018850,0.701533
neutral,covariance,holdings cov,future,>0.95,7742,177661,1.010021,0.985658,1.026014,0.223327
neutral,covariance,"holdings corr, stream vol",future,>0.95,7742,177661,0.992222,0.972671,1.002304,0.484242
neutral,covariance,"blend, pair weight",future,>0.95,7742,177661,0.992221,0.972683,1.002290,0.484500
neutral,correlation,holdings corr,future,>0.95,7742,177661,0.985855,0.964251,1.005052,0.514854
neutral,correlation,blend corr,future,>0.95,7742,177661,0.985779,0.964193,1.004937,0.515112
neutral,correlation,factor corr K5,future,>0.95,7724,177097,1.072100,1.038501,1.112219,0.475790
neutral,correlation,factor corr K10,future,>0.95,7719,176948,1.024407,1.000123,1.052359,0.528048
neutral,correlation,"proxy factor corr, core 13",future,>0.95,7583,174946,0.986995,0.971501,1.002453,0.687854
neutral,correlation,"proxy factor corr, extended 22",future,>0.95,7523,171828,0.985170,0.970225,0.999842,0.731224
neutral,covariance,holdings cov,0,0.75-0.85,3409,88841,1.007657,0.996848,1.017753,0.391610
neutral,covariance,"holdings corr, stream vol",0,0.75-0.85,3409,88841,0.995986,0.988493,1.001196,0.533881
neutral,covariance,"blend, pair weight",0,0.75-0.85,3409,88841,0.995946,0.988448,1.001139,0.536814
neutral,correlation,holdings corr,0,0.75-0.85,3409,88841,0.976002,0.953273,1.000800,0.657084
neutral,correlation,blend corr,0,0.75-0.85,3409,88841,0.975481,0.953066,0.999672,0.660311
neutral,correlation,factor corr K5,0,0.75-0.85,3403,88424,1.004209,0.971920,1.035404,0.531884
neutral,correlation,factor corr K10,0,0.75-0.85,3400,88122,0.983657,0.960567,1.006106,0.596765
neutral,correlation,"proxy factor corr, core 13",0,0.75-0.85,3381,87408,0.980228,0.968229,0.989948,0.708962
neutral,correlation,"proxy factor corr, extended 22",0,0.75-0.85,3365,85710,0.979782,0.967846,0.989148,0.741456
neutral,covariance,holdings cov,0,0.85-0.95,10904,284696,1.007172,0.997192,1.015587,0.316948
neutral,covariance,"holdings corr, stream vol",0,0.85-0.95,10904,284696,0.994945,0.987095,0.999667,0.542278
neutral,covariance,"blend, pair weight",0,0.85-0.95,10904,284696,0.994952,0.987118,0.999662,0.543012
neutral,correlation,holdings corr,0,0.85-0.95,10904,284696,0.974728,0.958283,0.990397,0.619773
neutral,correlation,blend corr,0,0.85-0.95,10904,284696,0.974602,0.958204,0.990188,0.621056
neutral,correlation,factor corr K5,0,0.85-0.95,10891,284227,1.023030,0.999332,1.048493,0.546139
neutral,correlation,factor corr K10,0,0.85-0.95,10886,283993,0.990095,0.971121,1.007394,0.615561
neutral,correlation,"proxy factor corr, core 13",0,0.85-0.95,10839,282782,0.979750,0.965005,0.993194,0.693791
neutral,correlation,"proxy factor corr, extended 22",0,0.85-0.95,10739,277593,0.982927,0.970013,0.994369,0.723345
neutral,covariance,holdings cov,0,<0.75,1865,46242,1.002227,0.991238,1.046877,0.410724
neutral,covariance,"holdings corr, stream vol",0,<0.75,1865,46242,1.000843,0.993552,1.015889,0.400000
neutral,covariance,"blend, pair weight",0,<0.75,1865,46242,1.000214,0.993101,1.010794,0.417694
neutral,correlation,holdings corr,0,<0.75,1865,46242,0.962419,0.915513,1.006800,0.605898
neutral,correlation,blend corr,0,<0.75,1865,46242,0.949717,0.905998,0.984949,0.638606
neutral,correlation,factor corr K5,0,<0.75,1862,46179,1.031054,0.989073,1.076440,0.506445
neutral,correlation,factor corr K10,0,<0.75,1862,46160,1.003134,0.972631,1.039573,0.601504
neutral,correlation,"proxy factor corr, core 13",0,<0.75,1851,45945,0.987843,0.967982,1.018781,0.694219
neutral,correlation,"proxy factor corr, extended 22",0,<0.75,1841,45467,0.991024,0.971268,1.021259,0.701793
neutral,covariance,holdings cov,0,>0.95,7739,177635,1.007274,0.983035,1.023476,0.237498
neutral,covariance,"holdings corr, stream vol",0,>0.95,7739,177635,0.992002,0.973073,1.002231,0.488177
neutral,covariance,"blend, pair weight",0,>0.95,7739,177635,0.992001,0.973086,1.002221,0.488564
neutral,correlation,holdings corr,0,>0.95,7739,177635,0.985151,0.963647,1.004515,0.523453
neutral,correlation,blend corr,0,>0.95,7739,177635,0.985079,0.963643,1.004345,0.524099
neutral,correlation,factor corr K5,0,>0.95,7721,177071,1.072297,1.040768,1.111139,0.475457
neutral,correlation,factor corr K10,0,>0.95,7716,176922,1.024571,1.000242,1.052835,0.527994
neutral,correlation,"proxy factor corr, core 13",0,>0.95,7580,174920,0.987098,0.971510,1.002430,0.687995
neutral,correlation,"proxy factor corr, extended 22",0,>0.95,7520,171802,0.985278,0.969523,0.999877,0.731250
neutral,covariance,holdings cov,21,0.75-0.85,3406,88796,1.000339,0.989986,1.009947,0.502349
neutral,covariance,"holdings corr, stream vol",21,0.75-0.85,3406,88796,0.995939,0.989280,1.001030,0.557839
neutral,covariance,"blend, pair weight",21,0.75-0.85,3406,88796,0.995877,0.989197,1.000864,0.562537
neutral,correlation,holdings corr,21,0.75-0.85,3406,88796,0.992727,0.969431,1.019140,0.575455
neutral,correlation,blend corr,21,0.75-0.85,3406,88796,0.990769,0.968823,1.015642,0.582795
neutral,correlation,factor corr K5,21,0.75-0.85,3401,88390,1.005735,0.974644,1.038778,0.524846
neutral,correlation,factor corr K10,21,0.75-0.85,3398,88087,0.985247,0.963469,1.008167,0.585933
neutral,correlation,"proxy factor corr, core 13",21,0.75-0.85,3383,87431,0.980644,0.967958,0.991127,0.709725
neutral,correlation,"proxy factor corr, extended 22",21,0.75-0.85,3367,85766,0.980274,0.968338,0.990726,0.739828
neutral,covariance,holdings cov,21,0.85-0.95,10874,284388,0.999211,0.989135,1.006230,0.457789
neutral,covariance,"holdings corr, stream vol",21,0.85-0.95,10874,284388,0.994592,0.986726,0.999003,0.602446
neutral,covariance,"blend, pair weight",21,0.85-0.95,10874,284388,0.994630,0.986777,0.999007,0.603642
neutral,correlation,holdings corr,21,0.85-0.95,10874,284388,0.986318,0.971677,0.999405,0.572742
neutral,correlation,blend corr,21,0.85-0.95,10874,284388,0.985871,0.971101,0.998744,0.576789
neutral,correlation,factor corr K5,21,0.85-0.95,10866,283972,1.024639,1.001134,1.049094,0.540953
neutral,correlation,factor corr K10,21,0.85-0.95,10860,283727,0.991751,0.974618,1.008489,0.610497
neutral,correlation,"proxy factor corr, core 13",21,0.85-0.95,10832,282785,0.980460,0.966434,0.993413,0.691377
neutral,correlation,"proxy factor corr, extended 22",21,0.85-0.95,10736,277827,0.982947,0.970450,0.994085,0.723174
neutral,covariance,holdings cov,21,<0.75,1868,46372,0.990043,0.977285,1.048981,0.476981
neutral,covariance,"holdings corr, stream vol",21,<0.75,1868,46372,1.001315,0.993713,1.017834,0.360278
