geometry,age,stratum,fund_dates,rmse_ratio_holdings_vol_to_stream,mean_loss_diff_over_noise
neutral,future,Q1,2644,0.9733,30.0708
neutral,future,Q2,2226,1.0059,1.0127
neutral,future,Q3,2613,0.9955,-85761999487916877077807104.0000
neutral,future,Q4,5746,1.0056,0.7008
neutral,0,Q1,2643,0.9618,20.2281
neutral,0,Q2,2228,1.0104,0.9260
neutral,0,Q3,2614,0.9996,-85819309560657322518249472.0000
neutral,0,Q4,5746,1.0050,0.5582
neutral,21,Q1,2642,0.9990,23.5514
neutral,21,Q2,2227,1.0062,0.9238
neutral,21,Q3,2614,1.0170,-85392504462604189070000128.0000
neutral,21,Q4,5747,0.9959,0.1056
neutral,63,Q1,2649,0.9849,60.1638
neutral,63,Q2,2222,1.0285,1.1760
neutral,63,Q3,2611,1.0004,-86755193317581801033564160.0000
neutral,63,Q4,5749,1.0075,0.7154
neutral,108,Q1,2642,1.1280,55.4323
neutral,108,Q2,2216,1.0439,1.8043
neutral,108,Q3,2610,1.0343,-91444736868763721269248000.0000
neutral,108,Q4,5739,1.0238,1.6592
