band,age,pairs,pair_dates,switch/stream,switch/stream lo,switch/stream hi,article/stream,article/stream lo,article/stream hi,holdings/stream,holdings/stream lo,holdings/stream hi,better record,switch/better,article/better
<0.75,0,1472,33093,0.988428,0.947903,1.042664,0.988428,0.947903,1.042664,0.988428,0.947903,1.042664,0.988428,1.000000,1.000000
0.75-0.85,0,3134,70440,0.982972,0.959693,1.008717,0.982972,0.959693,1.008717,0.982972,0.959693,1.008717,0.982972,1.000000,1.000000
0.85-0.95,0,10445,238866,0.978367,0.960507,0.993442,0.978367,0.960507,0.993442,0.978367,0.960507,0.993442,0.978367,1.000000,1.000000
>0.95,0,7499,160358,0.986602,0.964781,1.006144,0.986602,0.964781,1.006144,0.986602,0.964781,1.006144,0.986602,1.000000,1.000000
<0.75,21,1474,33133,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.094426,1.021844,1.190260,1.000000,1.000000,1.000000
0.75-0.85,21,3130,70328,0.998779,0.974955,1.025350,0.998779,0.974955,1.025350,0.998779,0.974955,1.025350,0.998779,1.000000,1.000000
0.85-0.95,21,10414,238478,0.988793,0.972352,1.003440,0.988793,0.972352,1.003440,0.988793,0.972352,1.003440,0.988793,1.000000,1.000000
>0.95,21,7443,159613,0.990992,0.969461,1.010140,0.990992,0.969461,1.010140,0.990992,0.969461,1.010140,0.990992,1.000000,1.000000
<0.75,63,1473,33243,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.148442,1.072116,1.300883,1.000000,1.000000,1.000000
0.75-0.85,63,3126,70266,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.019655,1.002998,1.038640,1.000000,1.000000,1.000000
0.85-0.95,63,10423,238295,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.003293,0.988414,1.017444,1.000000,1.000000,1.000000
>0.95,63,7448,159638,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.996863,0.978136,1.014138,0.996863,1.003147,1.003147
<0.75,108,1456,32749,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.158792,1.089061,1.288930,1.000000,1.000000,1.000000
0.75-0.85,108,3055,69457,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.049999,1.028330,1.075792,1.000000,1.000000,1.000000
0.85-0.95,108,10406,237602,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.022601,1.007097,1.038587,1.000000,1.000000,1.000000
>0.95,108,7442,159319,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.009323,0.989059,1.027803,1.000000,1.000000,1.000000
