band,age,pairs,blocks,ratio,funds lo,funds hi,blocks lo,blocks hi,crossed lo,crossed hi
<0.75,21,1868,32,1.094037,1.033644,1.190663,1.051406,1.146459,1.023563,1.205722
0.75-0.85,21,3406,32,0.992727,0.969399,1.022235,0.976570,1.001540,0.962647,1.018662
0.85-0.95,21,10874,32,0.986318,0.971575,1.000243,0.961156,0.998502,0.955061,1.005922
>0.95,21,7684,32,0.990596,0.971278,1.007976,0.975124,1.002179,0.961923,1.012435
<0.75,63,1869,32,1.147301,1.078513,1.242411,1.102943,1.205205,1.066312,1.272354
0.75-0.85,63,3401,32,1.017210,0.998995,1.036027,1.004333,1.032051,0.988786,1.044567
0.85-0.95,63,10882,32,1.003243,0.988448,1.018169,0.983810,1.016795,0.973116,1.024777
>0.95,63,7688,32,0.997804,0.978644,1.016387,0.983726,1.009261,0.968209,1.019262
<0.75,108,1850,32,1.162227,1.091377,1.253831,1.126605,1.207623,1.081948,1.276460
0.75-0.85,108,3330,32,1.050282,1.026140,1.075900,1.033755,1.074888,1.020426,1.086694
0.85-0.95,108,10865,32,1.023962,1.008259,1.037088,1.003801,1.039288,0.997247,1.045371
>0.95,108,7682,32,1.011019,0.990446,1.029638,0.997552,1.023751,0.987176,1.032424
