geometry,regression,channel,age,stratum,coef,se,t,nobs
neutral,holdings cov vs stream,covariance,0,Q1,1.816733,0.875676,2.074664,236509
neutral,holdings cov vs stream,covariance,0,Q2,1.121386,0.565982,1.981313,236509
neutral,holdings cov vs stream,covariance,0,Q3,-0.006078,0.199540,-0.030462,236509
neutral,holdings cov vs stream,covariance,0,Q4,0.169285,0.274177,0.617427,236509
neutral,holdings cov vs stream,covariance,21,Q1,2.570263,0.760377,3.380248,236509
neutral,holdings cov vs stream,covariance,21,Q2,0.980436,0.500742,1.957966,236509
neutral,holdings cov vs stream,covariance,21,Q3,-0.044401,0.176123,-0.252104,236509
neutral,holdings cov vs stream,covariance,21,Q4,-0.129994,0.137507,-0.945365,236509
neutral,holdings cov vs stream,covariance,63,Q1,4.203245,1.154604,3.640422,236509
neutral,holdings cov vs stream,covariance,63,Q2,1.572983,0.480585,3.273057,236509
neutral,holdings cov vs stream,covariance,63,Q3,0.444807,0.272910,1.629867,236509
neutral,holdings cov vs stream,covariance,63,Q4,0.003618,0.178745,0.020243,236509
neutral,holdings cov vs stream,covariance,108,Q1,5.104732,1.319753,3.867947,236509
neutral,holdings cov vs stream,covariance,108,Q2,2.883013,0.672394,4.287686,236509
neutral,holdings cov vs stream,covariance,108,Q3,0.845959,0.321657,2.630005,236509
neutral,holdings cov vs stream,covariance,108,Q4,0.432314,0.227098,1.903649,236509
neutral,holdings cov vs stream,covariance,0,Q1 - Q4,1.647449,0.939664,1.753232,236509
neutral,holdings cov vs stream,covariance,21,Q1 - Q4,2.700257,0.771911,3.498147,236509
neutral,holdings cov vs stream,covariance,63,Q1 - Q4,4.199626,1.163047,3.610883,236509
neutral,holdings cov vs stream,covariance,108,Q1 - Q4,4.672418,1.299370,3.595911,236509
neutral,blend vs stream,covariance,0,Q1,0.022702,0.262251,0.086567,236509
neutral,blend vs stream,covariance,0,Q2,-0.016046,0.122725,-0.130750,236509
neutral,blend vs stream,covariance,0,Q3,-0.127282,0.098556,-1.291458,236509
neutral,blend vs stream,covariance,0,Q4,-0.052241,0.066401,-0.786750,236509
neutral,blend vs stream,covariance,21,Q1,0.384933,0.213933,1.799319,236509
neutral,blend vs stream,covariance,21,Q2,0.038045,0.124000,0.306817,236509
neutral,blend vs stream,covariance,21,Q3,-0.057891,0.071043,-0.814871,236509
neutral,blend vs stream,covariance,21,Q4,-0.058576,0.045331,-1.292183,236509
neutral,blend vs stream,covariance,63,Q1,0.265548,0.126856,2.093296,236509
neutral,blend vs stream,covariance,63,Q2,0.158281,0.095055,1.665160,236509
neutral,blend vs stream,covariance,63,Q3,0.050565,0.069331,0.729335,236509
neutral,blend vs stream,covariance,63,Q4,-0.012673,0.052970,-0.239240,236509
neutral,blend vs stream,covariance,108,Q1,0.334517,0.115708,2.891034,236509
neutral,blend vs stream,covariance,108,Q2,0.302842,0.109295,2.770875,236509
neutral,blend vs stream,covariance,108,Q3,0.128770,0.082630,1.558381,236509
neutral,blend vs stream,covariance,108,Q4,0.091220,0.082725,1.102684,236509
neutral,blend vs stream,covariance,0,Q1 - Q4,0.074943,0.278285,0.269303,236509
neutral,blend vs stream,covariance,21,Q1 - Q4,0.443509,0.213531,2.077027,236509
neutral,blend vs stream,covariance,63,Q1 - Q4,0.278220,0.141026,1.972828,236509
neutral,blend vs stream,covariance,108,Q1 - Q4,0.243297,0.108911,2.233920,236509
neutral,holdings corr vs stream,correlation,0,Q1,-0.008282,0.007454,-1.111188,236509
neutral,holdings corr vs stream,correlation,0,Q2,-0.009560,0.003662,-2.610905,236509
neutral,holdings corr vs stream,correlation,0,Q3,-0.006314,0.001861,-3.393127,236509
