geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,covariance,holdings cov,future,0.75-0.85,268,6223,1.033782,0.999651,1.089234,0.298507
neutral,covariance,"holdings corr, stream vol",future,0.75-0.85,268,6223,1.002251,0.993774,1.013321,0.436567
neutral,covariance,"blend, pair weight",future,0.75-0.85,268,6223,1.001798,0.991695,1.012378,0.447761
neutral,correlation,holdings corr,future,0.75-0.85,268,6223,0.947591,0.867854,1.037454,0.682836
neutral,correlation,blend corr,future,0.75-0.85,268,6223,0.942192,0.867920,1.020777,0.701493
neutral,correlation,factor corr K5,future,0.75-0.85,268,6223,1.036432,0.992847,1.105356,0.473881
neutral,correlation,factor corr K10,future,0.75-0.85,268,6206,1.012610,0.978162,1.053130,0.578358
neutral,correlation,"proxy factor corr, core 13",future,0.75-0.85,268,6166,0.995414,0.977506,1.011202,0.723881
neutral,correlation,"proxy factor corr, extended 22",future,0.75-0.85,267,6035,0.993514,0.977706,1.008200,0.722846
neutral,covariance,holdings cov,future,0.85-0.95,607,14148,0.993307,0.971862,1.026207,0.627677
neutral,covariance,"holdings corr, stream vol",future,0.85-0.95,607,14148,0.995721,0.990203,1.000554,0.553542
neutral,covariance,"blend, pair weight",future,0.85-0.95,607,14148,0.995694,0.990221,1.000410,0.556837
neutral,correlation,holdings corr,future,0.85-0.95,607,14148,0.907564,0.856893,0.959439,0.764415
neutral,correlation,blend corr,future,0.85-0.95,607,14148,0.906760,0.856155,0.958834,0.766063
neutral,correlation,factor corr K5,future,0.85-0.95,607,14148,1.005394,0.967649,1.054359,0.589786
neutral,correlation,factor corr K10,future,0.85-0.95,607,14144,0.981612,0.954636,1.011722,0.683690
neutral,correlation,"proxy factor corr, core 13",future,0.85-0.95,607,14136,0.974366,0.958062,0.990072,0.815486
neutral,correlation,"proxy factor corr, extended 22",future,0.85-0.95,606,14052,0.976072,0.964199,0.988616,0.846535
neutral,covariance,holdings cov,future,<0.75,875,19567,1.065342,1.005444,1.186693,0.305143
