geometry,age,stratum,fund_dates,rmse_ratio_holdings_vol_to_stream,mean_loss_diff_over_noise
neutral,future,Q1,688,1.0704,-14.5354
neutral,future,Q2,716,1.0347,3.6181
neutral,future,Q3,886,0.9936,0.1218
neutral,future,Q4,842,1.0109,0.9275
neutral,0,Q1,688,1.0587,0.8122
neutral,0,Q2,718,1.0087,2.8572
neutral,0,Q3,886,1.0009,0.4300
neutral,0,Q4,844,1.0085,0.3013
neutral,21,Q1,686,1.0961,7.9654
neutral,21,Q2,718,1.0242,2.8360
neutral,21,Q3,887,0.9977,-0.2488
neutral,21,Q4,847,1.0037,-0.1771
neutral,63,Q1,688,1.2122,83.8662
neutral,63,Q2,721,1.0795,3.6636
neutral,63,Q3,891,1.0533,3.5048
neutral,63,Q4,848,1.0070,0.0868
neutral,108,Q1,685,1.2555,132.7571
neutral,108,Q2,720,1.1259,7.3030
neutral,108,Q3,889,1.0639,7.4967
neutral,108,Q4,842,1.0142,0.7842
