geometry,regression,channel,age,stratum,coef,se,t,nobs
neutral,holdings cov vs stream,covariance,0,Q1,0.947216,0.364476,2.598843,104574
neutral,holdings cov vs stream,covariance,0,Q2,1.100353,0.687847,1.599706,104574
neutral,holdings cov vs stream,covariance,0,Q3,0.906892,0.382084,2.373539,104574
neutral,holdings cov vs stream,covariance,0,Q4,0.983399,0.449336,2.188562,104574
neutral,holdings cov vs stream,covariance,21,Q1,0.573151,0.590229,0.971064,104574
neutral,holdings cov vs stream,covariance,21,Q2,0.958140,0.732358,1.308295,104574
neutral,holdings cov vs stream,covariance,21,Q3,0.710406,0.455937,1.558123,104574
neutral,holdings cov vs stream,covariance,21,Q4,0.690793,0.550285,1.255337,104574
neutral,holdings cov vs stream,covariance,63,Q1,0.581377,0.474068,1.226357,104574
neutral,holdings cov vs stream,covariance,63,Q2,0.759857,0.685111,1.109101,104574
neutral,holdings cov vs stream,covariance,63,Q3,0.555053,0.435210,1.275367,104574
neutral,holdings cov vs stream,covariance,63,Q4,0.549374,0.500196,1.098316,104574
neutral,holdings cov vs stream,covariance,108,Q1,0.634574,0.481721,1.317306,104574
neutral,holdings cov vs stream,covariance,108,Q2,0.875617,0.593351,1.475716,104574
neutral,holdings cov vs stream,covariance,108,Q3,0.612202,0.342803,1.785872,104574
neutral,holdings cov vs stream,covariance,108,Q4,0.632524,0.361268,1.750847,104574
neutral,holdings cov vs stream,covariance,0,Q1 - Q4,-0.036183,0.276402,-0.130907,104574
neutral,holdings cov vs stream,covariance,21,Q1 - Q4,-0.117643,0.118822,-0.990075,104574
neutral,holdings cov vs stream,covariance,63,Q1 - Q4,0.032003,0.000000,,104574
neutral,holdings cov vs stream,covariance,108,Q1 - Q4,0.002050,0.133452,0.015360,104574
neutral,blend vs stream,covariance,0,Q1,-0.022828,0.399884,-0.057086,104574
neutral,blend vs stream,covariance,0,Q2,0.035271,0.205914,0.171290,104574
neutral,blend vs stream,covariance,0,Q3,-0.089358,0.174951,-0.510760,104574
neutral,blend vs stream,covariance,0,Q4,-0.061987,0.117080,-0.529443,104574
neutral,blend vs stream,covariance,21,Q1,-0.044353,0.393847,-0.112615,104574
neutral,blend vs stream,covariance,21,Q2,0.058024,0.220832,0.262754,104574
neutral,blend vs stream,covariance,21,Q3,-0.053873,0.140328,-0.383908,104574
neutral,blend vs stream,covariance,21,Q4,0.010402,0.000000,,104574
neutral,blend vs stream,covariance,63,Q1,0.013405,0.349294,0.038377,104574
neutral,blend vs stream,covariance,63,Q2,0.094864,0.210972,0.449652,104574
neutral,blend vs stream,covariance,63,Q3,0.152997,0.089222,1.714792,104574
neutral,blend vs stream,covariance,63,Q4,0.052662,0.000000,,104574
neutral,blend vs stream,covariance,108,Q1,-0.050064,0.402556,-0.124365,104574
neutral,blend vs stream,covariance,108,Q2,0.073157,0.244097,0.299703,104574
neutral,blend vs stream,covariance,108,Q3,-0.015247,0.141341,-0.107874,104574
neutral,blend vs stream,covariance,108,Q4,0.068165,0.000000,,104574
neutral,blend vs stream,covariance,0,Q1 - Q4,0.039159,0.300254,0.130420,104574
neutral,blend vs stream,covariance,21,Q1 - Q4,-0.054755,0.352608,-0.155286,104574
neutral,blend vs stream,covariance,63,Q1 - Q4,-0.039257,0.329638,-0.119092,104574
neutral,blend vs stream,covariance,108,Q1 - Q4,-0.118229,0.372767,-0.317167,104574
neutral,holdings corr vs stream,correlation,0,Q1,0.006498,0.005502,1.180987,104574
neutral,holdings corr vs stream,correlation,0,Q2,0.004827,0.004631,1.042424,104574
neutral,holdings corr vs stream,correlation,0,Q3,0.000648,0.002937,0.220629,104574
neutral,holdings corr vs stream,correlation,0,Q4,-0.005768,0.005709,-1.010258,104574
neutral,holdings corr vs stream,correlation,21,Q1,0.009077,0.005283,1.718215,104574
neutral,holdings corr vs stream,correlation,21,Q2,0.007378,0.004397,1.678014,104574
neutral,holdings corr vs stream,correlation,21,Q3,0.001480,0.002744,0.539561,104574
neutral,holdings corr vs stream,correlation,21,Q4,-0.004763,0.005371,-0.886852,104574
neutral,holdings corr vs stream,correlation,63,Q1,0.013731,0.005180,2.651005,104574
neutral,holdings corr vs stream,correlation,63,Q2,0.009612,0.005176,1.856860,104574
neutral,holdings corr vs stream,correlation,63,Q3,0.003371,0.003082,1.093852,104574
neutral,holdings corr vs stream,correlation,63,Q4,-0.004139,0.005924,-0.698622,104574
neutral,holdings corr vs stream,correlation,108,Q1,0.017234,0.005255,3.279707,104574
neutral,holdings corr vs stream,correlation,108,Q2,0.012041,0.005522,2.180417,104574
neutral,holdings corr vs stream,correlation,108,Q3,0.003924,0.002494,1.573206,104574
neutral,holdings corr vs stream,correlation,108,Q4,-0.001896,0.005962,-0.318054,104574
neutral,holdings corr vs stream,correlation,0,Q1 - Q4,0.012266,0.007945,1.543810,104574
neutral,holdings corr vs stream,correlation,21,Q1 - Q4,0.013840,0.007644,1.810490,104574
neutral,holdings corr vs stream,correlation,63,Q1 - Q4,0.017870,0.007939,2.251009,104574
neutral,holdings corr vs stream,correlation,108,Q1 - Q4,0.019130,0.007972,2.399594,104574
neutral,blend corr vs stream,correlation,0,Q1,0.005888,0.005457,1.079045,104574
neutral,blend corr vs stream,correlation,0,Q2,0.004664,0.004552,1.024509,104574
neutral,blend corr vs stream,correlation,0,Q3,0.000621,0.002921,0.212402,104574
neutral,blend corr vs stream,correlation,0,Q4,-0.005765,0.005693,-1.012663,104574
neutral,blend corr vs stream,correlation,21,Q1,0.007523,0.005157,1.458858,104574
neutral,blend corr vs stream,correlation,21,Q2,0.006904,0.004171,1.655364,104574
neutral,blend corr vs stream,correlation,21,Q3,0.001399,0.002702,0.517877,104574
neutral,blend corr vs stream,correlation,21,Q4,-0.004762,0.005329,-0.893567,104574
neutral,blend corr vs stream,correlation,63,Q1,0.010214,0.004776,2.138670,104574
neutral,blend corr vs stream,correlation,63,Q2,0.008535,0.004551,1.875218,104574
neutral,blend corr vs stream,correlation,63,Q3,0.003153,0.002970,1.061734,104574
neutral,blend corr vs stream,correlation,63,Q4,-0.004148,0.005822,-0.712478,104574
neutral,blend corr vs stream,correlation,108,Q1,0.011724,0.004603,2.547098,104574
neutral,blend corr vs stream,correlation,108,Q2,0.010225,0.004479,2.282944,104574
neutral,blend corr vs stream,correlation,108,Q3,0.003570,0.002370,1.506361,104574
neutral,blend corr vs stream,correlation,108,Q4,-0.002018,0.005789,-0.348479,104574
neutral,blend corr vs stream,correlation,0,Q1 - Q4,0.011653,0.007906,1.473908,104574
neutral,blend corr vs stream,correlation,21,Q1 - Q4,0.012285,0.007528,1.632048,104574
neutral,blend corr vs stream,correlation,63,Q1 - Q4,0.014362,0.007595,1.891021,104574
neutral,blend corr vs stream,correlation,108,Q1 - Q4,0.013742,0.007424,1.851008,104574
neutral,factor corr K5 vs stream,correlation,0,Q1,-0.014330,0.006346,-2.258009,104426
neutral,factor corr K5 vs stream,correlation,0,Q2,-0.019683,0.007724,-2.548368,104426
neutral,factor corr K5 vs stream,correlation,0,Q3,-0.024232,0.008859,-2.735336,104426
neutral,factor corr K5 vs stream,correlation,0,Q4,-0.021926,0.011162,-1.964357,104426
neutral,factor corr K5 vs stream,correlation,21,Q1,-0.014163,0.006364,-2.225254,104426
neutral,factor corr K5 vs stream,correlation,21,Q2,-0.019522,0.007749,-2.519296,104426
neutral,factor corr K5 vs stream,correlation,21,Q3,-0.024042,0.008879,-2.707700,104426
neutral,factor corr K5 vs stream,correlation,21,Q4,-0.021604,0.011045,-1.955907,104426
neutral,factor corr K5 vs stream,correlation,63,Q1,-0.014045,0.006395,-2.196180,104426
neutral,factor corr K5 vs stream,correlation,63,Q2,-0.019826,0.007708,-2.571925,104426
neutral,factor corr K5 vs stream,correlation,63,Q3,-0.024373,0.008817,-2.764456,104426
neutral,factor corr K5 vs stream,correlation,63,Q4,-0.022457,0.011299,-1.987636,104426
neutral,factor corr K5 vs stream,correlation,108,Q1,-0.014045,0.006395,-2.196180,104426
neutral,factor corr K5 vs stream,correlation,108,Q2,-0.019826,0.007708,-2.571925,104426
