geometry,age,stratum,fund_dates,rmse_ratio_holdings_vol_to_stream,mean_loss_diff_over_noise
neutral,future,Q1,393,1.0485,93.4942
neutral,future,Q2,334,1.0397,0.7975
neutral,future,Q3,377,0.9443,-0.1555
neutral,future,Q4,722,1.0196,1.1564
neutral,0,Q1,395,1.0446,42.1977
neutral,0,Q2,334,1.0456,0.9442
neutral,0,Q3,377,0.9849,0.1939
neutral,0,Q4,723,1.0221,1.1355
neutral,21,Q1,398,1.0235,34.6684
neutral,21,Q2,334,1.0218,1.1861
neutral,21,Q3,377,1.0292,0.7043
neutral,21,Q4,726,1.0085,0.6953
neutral,63,Q1,400,1.0444,81.7762
neutral,63,Q2,334,1.0234,0.9696
neutral,63,Q3,377,0.9706,0.2196
neutral,63,Q4,729,1.0148,0.4323
neutral,108,Q1,400,1.1048,46.9631
neutral,108,Q2,334,1.0278,0.8515
neutral,108,Q3,377,1.0305,0.5152
neutral,108,Q4,729,1.0269,0.4827
