geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,covariance,holdings cov,future,0.75-0.85,5865,173465,0.976003,0.925652,1.017673,0.522421
neutral,covariance,"holdings corr, stream vol",future,0.75-0.85,5865,173465,0.948773,0.910428,0.973409,0.780733
neutral,covariance,"blend, pair weight",future,0.75-0.85,5865,173465,0.948350,0.910368,0.973204,0.793862
neutral,correlation,holdings corr,future,0.75-0.85,5865,173465,0.866376,0.817764,0.908818,0.805797
neutral,correlation,blend corr,future,0.75-0.85,5865,173465,0.859546,0.809112,0.902100,0.822336
neutral,correlation,factor corr K5,future,0.75-0.85,5489,155893,0.939980,0.902894,0.976271,0.677355
neutral,correlation,factor corr K10,future,0.75-0.85,5164,143492,0.919638,0.890193,0.944051,0.769171
neutral,correlation,"proxy factor corr, core 13",future,0.75-0.85,4933,134591,0.931875,0.903858,0.953309,0.785729
neutral,correlation,"proxy factor corr, extended 22",future,0.75-0.85,4051,107794,0.946852,0.923504,0.965642,0.788694
neutral,covariance,holdings cov,future,0.85-0.95,19632,576413,0.981839,0.964098,0.998451,0.505552
neutral,covariance,"holdings corr, stream vol",future,0.85-0.95,19632,576413,0.963360,0.950776,0.974768,0.791769
neutral,covariance,"blend, pair weight",future,0.85-0.95,19632,576413,0.963331,0.950785,0.974659,0.794214
neutral,correlation,holdings corr,future,0.85-0.95,19632,576413,0.873898,0.851928,0.897001,0.803943
neutral,correlation,blend corr,future,0.85-0.95,19632,576413,0.872503,0.850084,0.895559,0.809291
neutral,correlation,factor corr K5,future,0.85-0.95,17740,509336,0.941289,0.917835,0.964232,0.651466
neutral,correlation,factor corr K10,future,0.85-0.95,16522,466117,0.921553,0.901131,0.940108,0.740044
neutral,correlation,"proxy factor corr, core 13",future,0.85-0.95,15913,438631,0.943766,0.924202,0.961194,0.742286
neutral,correlation,"proxy factor corr, extended 22",future,0.85-0.95,13126,348550,0.958824,0.939222,0.975955,0.730840
neutral,covariance,holdings cov,future,<0.75,4246,112320,0.978985,0.950694,1.025626,0.476213
neutral,covariance,"holdings corr, stream vol",future,<0.75,4246,112320,0.971669,0.953577,0.988674,0.618935
neutral,covariance,"blend, pair weight",future,<0.75,4246,112320,0.967949,0.950101,0.980823,0.663683
neutral,correlation,holdings corr,future,<0.75,4246,112320,0.891202,0.829656,0.968173,0.717146
neutral,correlation,blend corr,future,<0.75,4246,112320,0.841162,0.792335,0.886497,0.780499
neutral,correlation,factor corr K5,future,<0.75,3824,97114,0.953480,0.893091,1.018827,0.661872
