geometry,age,stratum,fund_dates,rmse_ratio_holdings_vol_to_stream,mean_loss_diff_over_noise
neutral,future,Q1,3898,1.0149,inf
neutral,future,Q2,2892,0.9918,
neutral,future,Q3,3695,0.9913,
neutral,future,Q4,8288,0.9799,
neutral,0,Q1,3905,1.0384,inf
neutral,0,Q2,2919,1.0096,
neutral,0,Q3,3703,0.9922,
neutral,0,Q4,8303,0.9626,
neutral,21,Q1,3840,1.0762,51.3258
neutral,21,Q2,2874,1.0063,0.2891
neutral,21,Q3,3638,0.9853,-1.2140
neutral,21,Q4,8136,0.9957,-0.8388
neutral,63,Q1,3695,1.1853,51.6055
neutral,63,Q2,2779,1.0227,2.6911
neutral,63,Q3,3497,0.9923,-0.7312
neutral,63,Q4,7788,1.0331,-0.5222
neutral,108,Q1,3542,1.1090,58.1927
neutral,108,Q2,2662,1.0335,3.4262
neutral,108,Q3,3338,0.9941,-0.9738
neutral,108,Q4,7407,1.0545,0.0220
