geometry,regression,channel,age,stratum,coef,se,t,nobs
risk,holdings cov vs stream,covariance,0,Q1,1.285251,1.094048,1.174767,5606156
risk,holdings cov vs stream,covariance,0,Q2,0.224206,1.590526,0.140963,5606156
risk,holdings cov vs stream,covariance,0,Q3,1.267888,1.657631,0.764880,5606156
risk,holdings cov vs stream,covariance,0,Q4,1.757240,1.749809,1.004247,5606156
risk,holdings cov vs stream,covariance,21,Q1,1.011302,1.135106,0.890932,5606156
risk,holdings cov vs stream,covariance,21,Q2,1.155979,1.234391,0.936477,5606156
risk,holdings cov vs stream,covariance,21,Q3,0.893241,1.703116,0.524475,5606156
risk,holdings cov vs stream,covariance,21,Q4,0.846238,1.888528,0.448094,5606156
risk,holdings cov vs stream,covariance,63,Q1,0.790209,1.162123,0.679971,5606156
risk,holdings cov vs stream,covariance,63,Q2,0.777088,1.251103,0.621122,5606156
risk,holdings cov vs stream,covariance,63,Q3,0.228029,1.787599,0.127561,5606156
risk,holdings cov vs stream,covariance,63,Q4,0.217077,1.955853,0.110988,5606156
risk,holdings cov vs stream,covariance,108,Q1,0.808956,1.045761,0.773558,5606156
risk,holdings cov vs stream,covariance,108,Q2,0.590306,1.197006,0.493152,5606156
risk,holdings cov vs stream,covariance,108,Q3,-0.047676,1.706757,-0.027934,5606156
risk,holdings cov vs stream,covariance,108,Q4,0.028003,1.868092,0.014990,5606156
risk,holdings cov vs stream,covariance,0,Q1 - Q4,-0.471989,0.980416,-0.481417,5606156
risk,holdings cov vs stream,covariance,21,Q1 - Q4,0.165064,0.862907,0.191289,5606156
risk,holdings cov vs stream,covariance,63,Q1 - Q4,0.573133,0.898698,0.637737,5606156
risk,holdings cov vs stream,covariance,108,Q1 - Q4,0.780953,0.917057,0.851586,5606156
risk,blend vs stream,covariance,0,Q1,-0.432341,0.355881,-1.214848,5606156
risk,blend vs stream,covariance,0,Q2,-0.382371,0.442719,-0.863688,5606156
risk,blend vs stream,covariance,0,Q3,-0.515400,0.499859,-1.031091,5606156
risk,blend vs stream,covariance,0,Q4,-0.511038,0.494419,-1.033614,5606156
risk,blend vs stream,covariance,21,Q1,-0.240896,0.346740,-0.694745,5606156
risk,blend vs stream,covariance,21,Q2,-0.123396,0.406797,-0.303337,5606156
risk,blend vs stream,covariance,21,Q3,-0.330514,0.493069,-0.670321,5606156
risk,blend vs stream,covariance,21,Q4,-0.325227,0.505286,-0.643648,5606156
risk,blend vs stream,covariance,63,Q1,-0.270521,0.358269,-0.755078,5606156
risk,blend vs stream,covariance,63,Q2,-0.141630,0.421711,-0.335847,5606156
risk,blend vs stream,covariance,63,Q3,-0.337001,0.494551,-0.681429,5606156
risk,blend vs stream,covariance,63,Q4,-0.377343,0.539133,-0.699908,5606156
risk,blend vs stream,covariance,108,Q1,-0.255775,0.363869,-0.702930,5606156
risk,blend vs stream,covariance,108,Q2,-0.187494,0.437907,-0.428159,5606156
risk,blend vs stream,covariance,108,Q3,-0.392108,0.526612,-0.744586,5606156
risk,blend vs stream,covariance,108,Q4,-0.394091,0.554117,-0.711206,5606156
risk,blend vs stream,covariance,0,Q1 - Q4,0.078697,0.172182,0.457060,5606156
risk,blend vs stream,covariance,21,Q1 - Q4,0.084331,0.165667,0.509038,5606156
risk,blend vs stream,covariance,63,Q1 - Q4,0.106822,0.179384,0.595496,5606156
risk,blend vs stream,covariance,108,Q1 - Q4,0.138317,0.187490,0.737730,5606156
risk,holdings corr vs stream,correlation,0,Q1,-0.019568,0.004198,-4.660974,5606156
risk,holdings corr vs stream,correlation,0,Q2,-0.013980,0.003958,-3.531589,5606156
risk,holdings corr vs stream,correlation,0,Q3,-0.018124,0.004433,-4.088727,5606156
risk,holdings corr vs stream,correlation,0,Q4,-0.014415,0.004336,-3.324115,5606156
risk,holdings corr vs stream,correlation,21,Q1,-0.006819,0.003875,-1.759726,5606156
risk,holdings corr vs stream,correlation,21,Q2,-0.008421,0.003631,-2.319415,5606156
risk,holdings corr vs stream,correlation,21,Q3,-0.011678,0.004078,-2.863465,5606156
risk,holdings corr vs stream,correlation,21,Q4,-0.009252,0.004050,-2.284272,5606156
risk,holdings corr vs stream,correlation,63,Q1,0.001851,0.003982,0.464900,5606156
risk,holdings corr vs stream,correlation,63,Q2,-0.004657,0.003322,-1.401937,5606156
risk,holdings corr vs stream,correlation,63,Q3,-0.008304,0.003667,-2.264292,5606156
risk,holdings corr vs stream,correlation,63,Q4,-0.006562,0.003789,-1.731783,5606156
risk,holdings corr vs stream,correlation,108,Q1,0.000697,0.003228,0.215767,5606156
risk,holdings corr vs stream,correlation,108,Q2,-0.001524,0.003259,-0.467532,5606156
risk,holdings corr vs stream,correlation,108,Q3,-0.005636,0.003702,-1.522400,5606156
risk,holdings corr vs stream,correlation,108,Q4,-0.003919,0.003850,-1.017994,5606156
risk,holdings corr vs stream,correlation,0,Q1 - Q4,-0.005153,0.003615,-1.425472,5606156
risk,holdings corr vs stream,correlation,21,Q1 - Q4,0.002433,0.003415,0.712356,5606156
risk,holdings corr vs stream,correlation,63,Q1 - Q4,0.008413,0.003766,2.234016,5606156
risk,holdings corr vs stream,correlation,108,Q1 - Q4,0.004615,0.003024,1.526279,5606156
risk,blend corr vs stream,correlation,0,Q1,-0.020616,0.004152,-4.964806,5606156
risk,blend corr vs stream,correlation,0,Q2,-0.014083,0.003948,-3.566743,5606156
risk,blend corr vs stream,correlation,0,Q3,-0.018167,0.004426,-4.104907,5606156
risk,blend corr vs stream,correlation,0,Q4,-0.014432,0.004333,-3.330998,5606156
