geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
risk,covariance,holdings cov,future,0.75-0.85,6253,197085,0.976427,0.948072,1.007622,0.306893
risk,covariance,"holdings corr, stream vol",future,0.75-0.85,6253,197085,0.965166,0.942891,0.986141,0.701423
risk,covariance,"blend, pair weight",future,0.75-0.85,6253,197085,0.965055,0.942868,0.985979,0.702863
risk,correlation,holdings corr,future,0.75-0.85,6253,197085,0.850197,0.785961,0.900685,0.772429
risk,correlation,blend corr,future,0.75-0.85,6253,197085,0.847545,0.783461,0.898229,0.779466
risk,correlation,factor corr K5,future,0.75-0.85,5959,179387,0.922666,0.877875,0.973031,0.679812
risk,correlation,factor corr K10,future,0.75-0.85,5742,166933,0.918826,0.881352,0.954072,0.697840
risk,correlation,"proxy factor corr, core 13",future,0.75-0.85,5586,158276,0.941035,0.908341,0.969227,0.653598
risk,correlation,"proxy factor corr, extended 22",future,0.75-0.85,4759,129257,0.953433,0.923541,0.978856,0.641731
risk,covariance,holdings cov,future,0.85-0.95,21274,657955,0.988807,0.970249,1.008761,0.283257
risk,covariance,"holdings corr, stream vol",future,0.85-0.95,21274,657955,0.972830,0.959438,0.986108,0.670960
risk,covariance,"blend, pair weight",future,0.85-0.95,21274,657955,0.972790,0.959374,0.986073,0.671665
risk,correlation,holdings corr,future,0.85-0.95,21274,657955,0.862131,0.829803,0.891610,0.727790
risk,correlation,blend corr,future,0.85-0.95,21274,657955,0.861361,0.829245,0.890727,0.729576
risk,correlation,factor corr K5,future,0.85-0.95,19735,588381,0.927128,0.900930,0.951936,0.632632
risk,correlation,factor corr K10,future,0.85-0.95,18663,542761,0.925599,0.901445,0.948656,0.661898
risk,correlation,"proxy factor corr, core 13",future,0.85-0.95,18129,513367,0.960129,0.935993,0.980877,0.605439
risk,correlation,"proxy factor corr, extended 22",future,0.85-0.95,15498,416590,0.971390,0.951370,0.989455,0.596916
risk,covariance,holdings cov,future,<0.75,4742,132990,0.955286,0.831887,1.028852,0.357233
risk,covariance,"holdings corr, stream vol",future,<0.75,4742,132990,0.947246,0.849931,0.987280,0.651835
risk,covariance,"blend, pair weight",future,<0.75,4742,132990,0.946510,0.848084,0.985343,0.667229
risk,correlation,holdings corr,future,<0.75,4742,132990,0.797429,0.734730,0.855294,0.800506
risk,correlation,blend corr,future,<0.75,4742,132990,0.779356,0.717851,0.833738,0.816322
risk,correlation,factor corr K5,future,<0.75,4467,118050,0.956483,0.915098,0.998490,0.625476
risk,correlation,factor corr K10,future,<0.75,4254,108447,0.956502,0.917453,0.999339,0.650682
risk,correlation,"proxy factor corr, core 13",future,<0.75,4011,100816,0.956166,0.924562,0.989761,0.645475
risk,correlation,"proxy factor corr, extended 22",future,<0.75,3150,76557,0.968861,0.944016,0.997719,0.656190
risk,covariance,holdings cov,future,>0.95,15836,469070,0.984509,0.954051,1.015310,0.284984
risk,covariance,"holdings corr, stream vol",future,>0.95,15836,469070,0.961980,0.941019,0.983092,0.731245
risk,covariance,"blend, pair weight",future,>0.95,15836,469070,0.961982,0.941024,0.983092,0.731624
risk,correlation,holdings corr,future,>0.95,15836,469070,0.876194,0.831656,0.914659,0.709144
risk,correlation,blend corr,future,>0.95,15836,469070,0.875995,0.831505,0.914439,0.709523
risk,correlation,factor corr K5,future,>0.95,15197,422002,0.955043,0.915522,0.990286,0.567349
risk,correlation,factor corr K10,future,>0.95,14445,386282,0.939280,0.896214,0.976862,0.607823
risk,correlation,"proxy factor corr, core 13",future,>0.95,13944,361683,0.968397,0.921571,1.004136,0.568488
risk,correlation,"proxy factor corr, extended 22",future,>0.95,11638,283104,0.980537,0.934523,1.013429,0.540729
risk,covariance,holdings cov,0,0.75-0.85,6261,197216,0.976236,0.947083,1.010818,0.317681
risk,covariance,"holdings corr, stream vol",0,0.75-0.85,6261,197216,0.964878,0.940928,0.986881,0.704680
risk,covariance,"blend, pair weight",0,0.75-0.85,6261,197216,0.964780,0.940918,0.986796,0.707395
risk,correlation,holdings corr,0,0.75-0.85,6261,197216,0.853479,0.790322,0.903816,0.754672
risk,correlation,blend corr,0,0.75-0.85,6261,197216,0.850951,0.788043,0.901150,0.761699
risk,correlation,factor corr K5,0,0.75-0.85,5953,179181,0.922572,0.877589,0.968071,0.680833
risk,correlation,factor corr K10,0,0.75-0.85,5744,166834,0.918768,0.882682,0.951856,0.697946
risk,correlation,"proxy factor corr, core 13",0,0.75-0.85,5586,158155,0.940983,0.905906,0.969708,0.653240
risk,correlation,"proxy factor corr, extended 22",0,0.75-0.85,4755,129104,0.953275,0.923124,0.978892,0.641640
risk,covariance,holdings cov,0,0.85-0.95,21289,659229,0.988760,0.969498,1.009138,0.280567
risk,covariance,"holdings corr, stream vol",0,0.85-0.95,21289,659229,0.972727,0.958893,0.986215,0.674480
risk,covariance,"blend, pair weight",0,0.85-0.95,21289,659229,0.972687,0.958867,0.986197,0.674996
risk,correlation,holdings corr,0,0.85-0.95,21289,659229,0.861183,0.830012,0.891617,0.730048
risk,correlation,blend corr,0,0.85-0.95,21289,659229,0.860420,0.829385,0.890950,0.732115
risk,correlation,factor corr K5,0,0.85-0.95,19624,588091,0.926871,0.902058,0.951850,0.632440
risk,correlation,factor corr K10,0,0.85-0.95,18697,544112,0.925424,0.901853,0.947470,0.661764
risk,correlation,"proxy factor corr, core 13",0,0.85-0.95,18133,514316,0.959803,0.937913,0.980898,0.605967
risk,correlation,"proxy factor corr, extended 22",0,0.85-0.95,15498,417318,0.971089,0.952309,0.988241,0.597432
risk,covariance,holdings cov,0,<0.75,4767,133362,0.960390,0.842464,1.052110,0.333543
risk,covariance,"holdings corr, stream vol",0,<0.75,4767,133362,0.948694,0.851444,0.991143,0.620096
risk,covariance,"blend, pair weight",0,<0.75,4767,133362,0.947852,0.850777,0.988882,0.631215
risk,correlation,holdings corr,0,<0.75,4767,133362,0.835052,0.766973,0.908771,0.776169
risk,correlation,blend corr,0,<0.75,4767,133362,0.814807,0.753233,0.876337,0.797986
risk,correlation,factor corr K5,0,<0.75,4480,118241,0.956708,0.914738,0.996490,0.624107
risk,correlation,factor corr K10,0,<0.75,4268,108585,0.956680,0.919212,0.995298,0.649719
risk,correlation,"proxy factor corr, core 13",0,<0.75,4020,100900,0.956254,0.926069,0.986556,0.645274
risk,correlation,"proxy factor corr, extended 22",0,<0.75,3152,76550,0.968896,0.943829,0.996976,0.654822
risk,covariance,holdings cov,0,>0.95,15836,469335,0.983618,0.953622,1.016464,0.292498
risk,covariance,"holdings corr, stream vol",0,>0.95,15836,469335,0.961976,0.942269,0.983956,0.734655
risk,covariance,"blend, pair weight",0,>0.95,15836,469335,0.961978,0.942282,0.983952,0.734782
risk,correlation,holdings corr,0,>0.95,15836,469335,0.874369,0.829266,0.912567,0.714322
risk,correlation,blend corr,0,>0.95,15836,469335,0.874173,0.829086,0.912353,0.714701
risk,correlation,factor corr K5,0,>0.95,15197,422139,0.955017,0.913893,0.990755,0.567349
risk,correlation,factor corr K10,0,>0.95,14446,386417,0.939289,0.894076,0.977276,0.607988
risk,correlation,"proxy factor corr, core 13",0,>0.95,13944,361807,0.968401,0.917703,1.005847,0.568273
risk,correlation,"proxy factor corr, extended 22",0,>0.95,11638,283198,0.980537,0.933017,1.015935,0.540471
risk,covariance,holdings cov,21,0.75-0.85,6176,191655,0.950182,0.874654,0.999637,0.359294
risk,covariance,"holdings corr, stream vol",21,0.75-0.85,6176,191655,0.946123,0.885676,0.982479,0.698996
risk,covariance,"blend, pair weight",21,0.75-0.85,6176,191655,0.946036,0.885806,0.982430,0.705635
risk,correlation,holdings corr,21,0.75-0.85,6176,191655,0.897632,0.840688,0.942810,0.686528
risk,correlation,blend corr,21,0.75-0.85,6176,191655,0.890841,0.833325,0.935397,0.705311
risk,correlation,factor corr K5,21,0.75-0.85,5967,179799,0.922647,0.878090,0.967694,0.680409
risk,correlation,factor corr K10,21,0.75-0.85,5742,167224,0.918823,0.881192,0.952013,0.698189
risk,correlation,"proxy factor corr, core 13",21,0.75-0.85,5587,158564,0.941010,0.909216,0.970231,0.653302
risk,correlation,"proxy factor corr, extended 22",21,0.75-0.85,4761,129505,0.953482,0.925878,0.981209,0.640832
risk,covariance,holdings cov,21,0.85-0.95,20787,635687,0.971694,0.939579,1.001261,0.328090
