set,stream_halflife,metric,band,n,median_log_ratio,ci_lo,ci_hi
all_scored,63.0000,rmse_forecast,<0.75,65,-0.0050,-0.0445,0.0190
all_scored,63.0000,rmse_forecast,0.75-0.85,56,0.0007,-0.0153,0.0244
all_scored,63.0000,rmse_forecast,0.85-0.95,187,0.0048,-0.0021,0.0140
all_scored,63.0000,rmse_forecast,>0.95,270,0.0162,0.0119,0.0199
all_scored,63.0000,rmse_forecast,all,578,0.0115,0.0063,0.0159
all_scored,63.0000,rmse_sizing,<0.75,65,-0.0265,-0.0784,0.0235
all_scored,63.0000,rmse_sizing,0.75-0.85,56,-0.0007,-0.0259,0.0316
all_scored,63.0000,rmse_sizing,0.85-0.95,187,0.0078,-0.0006,0.0179
all_scored,63.0000,rmse_sizing,>0.95,270,0.0221,0.0151,0.0274
all_scored,63.0000,rmse_sizing,all,578,0.0136,0.0083,0.0199
all_scored,252.0000,rmse_forecast,<0.75,65,-0.0303,-0.0653,0.0353
all_scored,252.0000,rmse_forecast,0.75-0.85,56,0.0114,-0.0185,0.0499
all_scored,252.0000,rmse_forecast,0.85-0.95,187,0.0434,0.0252,0.0569
all_scored,252.0000,rmse_forecast,>0.95,270,0.0328,0.0190,0.0530
all_scored,252.0000,rmse_forecast,all,578,0.0319,0.0204,0.0442
all_scored,252.0000,rmse_sizing,<0.75,65,-0.0645,-0.1056,-0.0024
all_scored,252.0000,rmse_sizing,0.75-0.85,56,0.0250,-0.0268,0.0467
all_scored,252.0000,rmse_sizing,0.85-0.95,187,0.0460,0.0309,0.0608
all_scored,252.0000,rmse_sizing,>0.95,270,0.0453,0.0275,0.0558
all_scored,252.0000,rmse_sizing,all,578,0.0401,0.0273,0.0468
all_scored,,turnover_per_refresh,holdings252,578,0.0346,,
all_scored,,turnover_per_refresh,holdings63,578,0.0704,,
all_scored,,turnover_per_refresh,stream252,578,0.0237,,
all_scored,,turnover_per_refresh,stream63,578,0.0617,,
admitted,63.0000,rmse_forecast,<0.75,37,-0.0125,-0.0640,0.0190
admitted,63.0000,rmse_forecast,0.75-0.85,32,-0.0079,-0.0505,0.0221
admitted,63.0000,rmse_forecast,0.85-0.95,108,0.0046,-0.0028,0.0169
admitted,63.0000,rmse_forecast,>0.95,192,0.0167,0.0116,0.0210
admitted,63.0000,rmse_forecast,all,369,0.0115,0.0063,0.0167
admitted,63.0000,rmse_sizing,<0.75,37,-0.0354,-0.0954,0.0243
admitted,63.0000,rmse_sizing,0.75-0.85,32,-0.0173,-0.0551,0.0255
admitted,63.0000,rmse_sizing,0.85-0.95,108,0.0074,-0.0014,0.0179
admitted,63.0000,rmse_sizing,>0.95,192,0.0248,0.0175,0.0303
admitted,63.0000,rmse_sizing,all,369,0.0146,0.0083,0.0223
admitted,252.0000,rmse_forecast,<0.75,37,-0.0186,-0.0653,0.0538
admitted,252.0000,rmse_forecast,0.75-0.85,32,0.0020,-0.0365,0.0375
admitted,252.0000,rmse_forecast,0.85-0.95,108,0.0452,0.0197,0.0570
admitted,252.0000,rmse_forecast,>0.95,192,0.0457,0.0226,0.0703
admitted,252.0000,rmse_forecast,all,369,0.0349,0.0210,0.0529
admitted,252.0000,rmse_sizing,<0.75,37,-0.0832,-0.1294,0.0504
admitted,252.0000,rmse_sizing,0.75-0.85,32,0.0058,-0.0370,0.0540
admitted,252.0000,rmse_sizing,0.85-0.95,108,0.0505,0.0298,0.0725
admitted,252.0000,rmse_sizing,>0.95,192,0.0524,0.0317,0.0847
admitted,252.0000,rmse_sizing,all,369,0.0460,0.0273,0.0565
admitted,,turnover_per_refresh,holdings252,369,0.0315,,
admitted,,turnover_per_refresh,holdings63,369,0.0686,,
admitted,,turnover_per_refresh,stream252,369,0.0235,,
admitted,,turnover_per_refresh,stream63,369,0.0617,,
